id,value
131828,KnockedDow
132014,Strafin
154316,Dodgin
187890,Unattackabl
193760,Injure
194097,NotAttackableViaRange
232231,Vaultin
241748,Berserkin
243431,HasInteractTarge
243647,StatusEffect_Fir
243648,StatusEffect_Ic
243649,StatusEffect_Poiso
243656,StatusEffect_Lightnin
243661,StatusEffect_Bleedin
243662,StatusEffect_Petrif
243674,StatusEffect_Char
243678,InComba
258312,Effect_Loo
264797,Ghos
270941,Idl
271022,PreventAmbientDialogFixu
273076,Hast
357673,Stealt
359225,Race_Almain_
359226,Race_Almain_
364842,Aggressiv
378939,Stealth_Curiou
378940,Stealth_Awar
404149,InJai
424296,SuperArmore
426014,Hidde
438593,Runnin
438699,Sprintin
440043,DEV_ConvertingShield0
441951,Staff_Charge
443196,UsesRunStartAndSto
443630,ManaShiel
446069,ButtonStatus_Bloc
448153,SkillUnlock_Telepor
453274,DEV_UnarmedBloc
456811,Invisibl
459586,DEV_ConvertingShield0
459587,DEV_ConvertingShield0
459692,Silen
460380,Passive_AdrenalineSurg
460383,Passive_Bloodlus
460797,HidingInAmbus
467365,RunningHom
479589,Wal
480697,Counte
480938,CounterSucces
482248,Prototype_Matt
485426,Parrie
486587,Scare
491910,Rig_Jottu
497480,Rig_HumanEl
503362,target_backfacin
506410,Crumpl
507118,Strafing_Required_Bo
512678,Trap_Activ
512690,Trap_Activat
513637,Brownie_Cut
514895,Trap_Destro
520406,Trap_Trigge
521910,StatusEffect_Stu
521979,Combat_DelayedHi
521980,Combat_JustFram
533374,GrapplingHook_TargetToPlaye
537016,Strafing_NoMovemen
537074,Healin
537091,Healing_All
537204,Blockin
537836,Shield_Buckle
537837,Shield_KiteShiel
537838,Shield_Talisma
538058,Warde
539394,ShoulderCamer
540249,Shiel
543524,Swimmin
555977,ACT_Drunke
555978,ACT_Gamin
556048,ACT_Eatin
556199,ACT_PlayingFlut
556208,ACT_Bartendin
556476,ACT_PlayingGuita
557634,HoldCombatThrea
560536,Boggar
560595,ACT_AtFir
561217,Bow_Ai
570978,Stealth_Walk_0
570979,Stealth_Walk_0
570980,Stealth_Walk_0
570981,Stealth_Walk_0
570982,Stealth_Walk_0
571244,ACT_GuardingCeremoniall
571931,Rig_Niskar
572790,Enrage
573515,ACT_Smashin
577199,UnEnrage
579945,EAVS_DEMO_NISKAR
580323,Idle_Loc
580429,UI_Sync_
580430,UI_Sync_
586110,No_Interact
591693,Sceptre_Ai
595205,HitReact_NoIgnoreLigh
595206,HitReact_NoIgnoreMediu
595207,HitReact_NoIgnoreHeav
595208,HitReact_NoIgnoreAl
598961,Stealth_Movemen
600412,Sprite_Boost_Flam
600413,Sprite_Boost_Fros
600414,Sprite_Boost_Stor
603214,Strafing_Cast_Require
606602,Sprite_Retalitory_Fros
607612,FALS
609897,CollisionSize_Larg
609899,CollisionSize_Mediu
609942,Rig_Trol
617426,Arrow_Struc
617427,Arrow_Fire
618017,Rune_Cas
618018,Rune_Activ
618019,Rune_Destro
619873,Sprite_Champion_Flam
619875,Sprite_Champion_Fros
619876,Sprite_Champion_Stor
624629,ReckoningMod
627134,Run_Lean_Lef
627276,HasAggr
628892,Lock_O
629732,DiseaseChanceWindo
629795,Run_Lean_Righ
630034,Running_Tur
632380,Sprint_Lean_Righ
632381,Sprint_Lean_Lef
632688,Bo
632689,Sceptr
632813,Rig_Sprit
632814,Rig_Banshae
632815,Rig_Barghes
632816,Rig_Gnom
632818,Rig_Bogeyma
632819,Rig_Browni
632821,Rig_GiantSpide
632822,Rig_GiantRa
632823,Rig_Antelop
632824,Rig_Bea
632825,Rig_Chicke
632826,Rig_MurghanKobol
632827,Rig_Wol
632833,Rig_Boggar
632860,StatusEffect_Incapacitate
633214,Combat_MashSequenc
633267,Combat_Mashin
634866,ReckoningMode_CannotExi
635796,EnvenomedEdg
635959,React_FX_Nod
636212,Stoppin
638098,Fate_Mas
639245,ACT_Urinatin
639246,ACT_Observin
639297,ReckoningBuff_PropogateHitReact
639357,fate_shift_right_arm_stage
639358,fate_shift_right_arm_stage
639359,fate_shift_right_arm_stage
639360,fate_shift_right_arm_stage
639591,Interrupte
639593,Staggere
639990,ACT_Leanin
640134,ACT_SleepingOnGroun
640300,ReckoningBuff_UnlimitedArrow
641074,DetectHidde
641249,Fate_Ful
641618,DetectHidden_Hidde
643199,ReckoningBuff_ExplodingProjectile
645221,ReckoningBuff_AoEonEnemyDeat
645224,ReckoningBuff_AoEonEnemyDo
645588,fate_shift_both_arms_stage
645589,fate_shift_both_arms_stage
