id,value
5115,flex_ani
5116,FXMesh-Moth_0
5117,fx-moths_10_ani
5118,FX-StoneChunk01_ani
5119,fx-stonechunk02_ani
5120,introgan_s2sh3_t3_ani
5131,odv-fauna-butterflie
5132,phoenix_embrace_ani
5134,res-flag_01_ani
5135,rov_bridge_destruction_ani
5136,rov_bridge_destruction_anim_begi
5137,rov_bridge_destruction_anim_en
5139,si-beach-kinglydoor_animatio
5140,si-beach-kinglydoor_close_idl
5141,si-beach-kinglydoor_open_idl
5142,si-catacomb-hallsecretdoor_01_anim
5143,si-catacomb-hallsecretdoor_01_doorsanim
5144,si-catacombchest0
5145,si-throneroom-tengrif
5146,si-throne_room-animbannertengri_ani
5147,si-throne_room-animbanner_ani
5148,si-throne_room-animbanner_anim0
5149,si_rovenna_fla
5151,tai-beserkcage_anim
5152,tai-beserkcage_anim
5154,temp_vaultkeeperani
5155,tester_animation0
5156,tai-vulture_sky01anim0
5409,hero_block0
5410,hero_blockhit0
5411,hero_blockstrafeleft0
5412,hero_blockstraferight0
5413,hero_blocktoidle0
5414,hero_blockwalk0
5415,hero_blockwalkback0
5416,hero_combatidle0
5417,hero_death0
5418,hero_dizzy0
5419,hero_dodgeback0
5420,hero_dodgeback0
5421,hero_dodgeforward0
5422,hero_dodgeleft0
5423,hero_dodgeright0
5424,hero_dodgerollback0
5425,hero_dodgerollforward0
5426,hero_dodgerollleft0
5427,hero_dodgerollright0
5428,hero_getup0
5429,hero_hitback0
5430,hero_hitbackhard0
5431,hero_hitfront0
5432,hero_hitfronthard0
5433,hero_hitleft0
5434,hero_hitlefthard0
5435,hero_hitright0
5436,hero_hitrighthard0
5437,hero_idle0
5438,hero_jump0
5439,hero_knockeddown0
5440,hero_leverpulldown0
5441,hero_leverpulldown0
5442,hero_leverpullup0
5443,hero_leverpullup0
5444,hero_parry0
5445,hero_rollforward0
5446,hero_run0
5447,hero_strafeleft0
5448,hero_straferight0
5449,hero_swordattack01
5450,hero_swordattack01a
5451,hero_swordattack01aa
5452,hero_swordattack01aa
5453,hero_swordattack01a
5454,hero_swordattack01ab
5455,hero_swordattack01aba
5456,hero_swordattack01abac
5457,hero_swordattack01ab
5458,hero_swordattack01alef
5459,hero_swordattack01arigh
5460,hero_swordattack01
5461,hero_swordattack01b
5462,hero_swordattack01bb
5463,hero_swordattack01
5464,hero_swordattack01c
5465,hero_swordattack01cc
5466,hero_swordattack01
5467,hero_swordattack01
5468,hero_swordattack01e
5469,hero_swordattack01
5470,hero_swordattack01
5471,hero_swordattack01
5472,hero_swordattackforwarda0
5473,hero_swordattacklong01
5474,hero_swordattacklong01
5475,hero_walk0
5476,hero_walkback0
5477,lever_idledown0
5478,lever_idleup0
5479,lever_pulldown0
5480,lever_pulldown0
5481,lever_pullup0
5702,player_swdattkbck1_01
5703,player_swdattkbck1_01a
5704,player_swdattkbck1_01aa
5705,player_swdattkbck1_01aaa
5706,player_swdattkbck1_01aaa
5707,player_swdattkbck1_01aa
5708,player_swdattkbck1_01a
5709,player_swdattkbck1_01
5710,player_swdattkbck2_01
5711,player_swdattkbck2_01
5712,player_swdattkfrt1_01
5713,player_swdattkfrt1_01a
5714,player_swdattkfrt1_01aa
5715,player_swdattkfrt1_01aaa
5716,player_swdattkfrt1_01aaa
5717,player_swdattkfrt1_01aa
5718,player_swdattkfrt1_01a
5719,player_swdattkfrt1_01
5720,player_swdattkfrt1_02aaa
5721,player_swdattkfrt1_02a
5722,player_swdattkfrt1_02
5723,player_swdattkfrt2_01
5724,player_swdattkfrt2_01
5725,player_swdattkl1_frta_r1_0
5726,player_swdattkl1_lfta_l2_0
5727,player_swdattkl1_rta_r2_0
5728,player_swdattkl2_frta_r2_0
5729,player_swdattkl2_lfta_l1_0
5730,player_swdattkl2_rta_r2_0
5731,player_swdattklft1_01
5732,player_swdattklft1_01a
5733,player_swdattklft1_01aa
5734,player_swdattklft1_01aaa
5735,player_swdattklft1_01aaa
5736,player_swdattklft1_01aa
5737,player_swdattklft1_01a
5738,player_swdattklft1_01
5739,player_swdattklft2_01
5740,player_swdattklft2_01
5741,player_swdattkr1_frta_l2_0
5742,player_swdattkr1_lfta_l2_0
5743,player_swdattkr1_rta_r2_0
5744,player_swdattkr2_frta_l2_0
5745,player_swdattkr2_lfta_l1_0
5746,player_swdattkr2_lfta_l2_0
5747,player_swdattkr2_rta_r1_0
5748,player_swdattkrt1_01
5749,player_swdattkrt1_01a
5750,player_swdattkrt1_01aa
5751,player_swdattkrt1_01aaa
5752,player_swdattkrt1_01aaa
5753,player_swdattkrt1_01aa
5754,player_swdattkrt1_01a
5755,player_swdattkrt1_01
5756,player_swdattkrt2_01
5757,player_swdattkrt2_01
5758,player_swdattk_frta_l1_0
5759,player_swdattk_lfta_l1_0
5760,player_swdattk_rta_r1_0
5851,introtaicpt_s7sh1_t
6127,thraan_attackleaping0
6128,thraan_attackswipe
6129,thraan_bored0
6130,thraan_combat_attackjump
6131,thraan_combat_attackleapleft0
6132,thraan_combat_attackleapright0
6133,thraan_combat_attackleapstraight0
6134,thraan_combat_attacklunge0
6135,thraan_combat_attacklunge0
6136,thraan_combat_attackswipe
6137,thraan_combat_attackswipea
6138,thraan_combat_attackswipe
6139,thraan_combat_attackswipe
6140,thraan_combat_attackswipe
6141,thraan_combat_blocked0
6143,thraan_combat_dizzy0
6144,thraan_combat_dodgeleft0
6145,thraan_combat_dodgeright0
6146,thraan_combat_downidle0
6147,thraan_combat_downtoidle0
6148,thraan_combat_hitback0
6149,thraan_combat_hitfront0
6150,thraan_combat_hitfront0
6151,thraan_combat_hitleft0
6152,thraan_combat_hitright0
6153,thraan_combat_idle0
6154,thraan_combat_idletodown0
6155,thraan_combat_leapattackleft0
6156,thraan_combat_leapattackstraight0
6158,thraan_combat_run0
6159,thraan_combat_run0
6160,thraan_combat_strafeleft0
6161,thraan_combat_strafeleft0
6162,thraan_combat_strafeleft0
6163,thraan_combat_straferight0
6164,thraan_combat_straferight0
6165,thraan_combat_straferight0
6166,thraan_combat_walk0
6167,thraan_combat_walkback0
6168,thraan_crashattacka0
6171,thraan_crashleap0
6172,thraan_crashrecover0
6173,thraan_runleanleft0
6174,thraan_runleanright0
6175,thraan_running180stop0
6176,thraan_running90leftturn0
6177,thraan_running90rightturn0
6178,thraan_running90stopleft0
6179,thraan_running90stopright0
6180,thraan_runningturn18
6181,thraan_runstop0
6182,thraan_standing180turn0
6183,thraan_standing90turnleft0
6184,thraan_standing90turnright0
6185,thraan_strafeleft0
6186,thraan_straferight0
6187,thraan_thrashattacka0
6189,thraan_thrashhit0
6190,thraan_thrashkickedoff0
6191,thraan_thrashleap0
6192,thraan_thrashstart0
6193,thraan_walk0
12509,player_sprattk_frta_l1_0
12748,player_sprattk_r1_frta_r2_0
12749,player_sprattk_r2_frta_l2_0
13560,Player_SprAttk_L1_FrtA_R1_0
13570,player_swdattk_r2_frta_l2_0
13573,tai-ballista_idle_0
13656,res-batteringramusable_idle0
13659,res-batteringramusable_moving0
13841,res-batteringramusable_ramming0
13875,player_sprattk_r1_lfta_r2_0
13876,player_sprattk_l1_rta_r1_0
13880,player_spridleft_0
13894,player_sprattk_l1_lfta_r1_0
14062,player_swdattk_r2_lfta_l2_0
14063,player_sprattk_r1_rta_r2_0
14067,player_sprattk_rtta_l1_0
14220,player_sprattk_lfta_l1_0
14802,player_sprattk_r2_lfta_l2_0
14803,player_sprattk_r2_rta_l2_0
14832,player_spridlefrt_0
14927,tai-ballista_idle0
15963,tai-platform01_idle0
15968,tai-platform01_hitfront0
15982,tai-platform01_collapse0
16002,si-catacomb-gate_01_close_an
16003,si-catacomb-gate_01_close_idl
16004,si-catacomb-gate_01_open_an
16005,si-catacomb-gate_01_open_idl
16009,si-catacomb-gate_01_rammed_an
16389,player_magattk_frtb_02_retur
16390,player_magattk_frtb_02_loo
16391,player_magattk_frtb_0
16392,player_magattk_frtb_01_retur
16393,player_magattk_frtb_01_loo
16394,player_magattk_frtb_0
16420,player_magattk_frtb_0
16542,player_magattk_frtaaaa_0
16543,player_magattk_frtaaa_0
16544,player_magattk_frtaa_0
