id,value
9028,chant_artse
9033,fireball_artse
9037,heal_artse
9039,no_ammo_effec
9042,sweetspo
171644,projectile_bow_arro
207846,Bow-Atck_Basi
228322,projectile_bow_arrow_charge
240018,Projectile_Spell_Lightnin
380737,Quill_Plant_Amm
442343,NiskaruRangedAttackAmm
442726,Hero_Meteor_Projectil
492921,Almain_Bandit_Archer_AmmoArtse
492938,Almain_FireMage_AmmoArtse
520788,projectile_lightning_tra
542318,projectile_grapplinghoo
587784,projectile_sceptre_ic
599530,projectile_sceptre_sprea
600599,projectile_bow_arrow_charged_Ic
600602,projectile_bow_arrow_charged_Fir
600603,projectile_bow_arrow_charged_Lightnin
600645,projectile_bow_arrow_charged_Poiso
600650,projectile_bow_arrow_Ic
600651,projectile_bow_arrow_Fir
600652,projectile_bow_arrow_Lightnin
600653,projectile_bow_arrow_poiso
602110,NPC_Sprite_Ice_Amm
624884,NPC_Kobold_Javelin_projectil
644365,projectile_bow_arrow_impactAo
644398,projectile_bow_arrow_charged_impactAo
695903,Trap_Arrow_Amm
700949,Trap_Arrow_Ammo_
713597,FateShiftThrea
722462,NPC_Summoner_HealOrb_projectil
754498,projectile_sceptre_small_ic
763493,projectile_sceptre_small_fir
763494,projectile_sceptre_small_lightnin
763886,projectile_sceptre_fir
763887,projectile_sceptre_lightnin
1051886,projectile_bow_arrow_shor
1051887,projectile_bow_arrow_short_Fir
1051888,projectile_bow_arrow_short_Ic
1051889,projectile_bow_arrow_short_Lightnin
1051890,projectile_bow_arrow_short_poiso
1267808,NPC_Ettin_ThorsHammer_projectil
1304154,NPC_Balor_eye_puls
1309623,Projectile_Spell_IceBarrag
1317816,NPC_Crudok_BugBreath_projectil
1323223,TRP_SpinningBlades0
1332430,NPC_Sorcerer_Tornado_Projectil
1343133,NPC_Archer_Arrow_Regula
1351667,NPC_Summoner_EnergyDisc_projectil
1352863,NPC_Sorcerer_ManaDrain_Projectil
1354111,NPC_Sorcerer_Fire_projectile_0
1355087,NPC_Sorcerer_IceAttack_projectil
1364949,NPC_Sorcerer_ManaDrain_Projectile_0
1366388,NPC_Sorcerer_Triple_Projectile_Fir
1368564,NPC_Archer_Arrow_Flamin
1378727,NPC_Banshaen_FriendlyBolt_projectil
1380483,NPC_Leanashe_ScreamBlas
1380515,NPC_Crudok_BeamGaze_projectil
1386883,NPC_Banshaen_Egg_Sac_Projectil
1387064,projectile_flashing_blad
1403004,projectile_seeking_blad
1410035,NPC_Kobold_Bomb_projectil
1418656,projectile_shadowblade
1425988,NPC_Thresh_RapidShot_projectil
1443587,Thresh_Taint_toBoggart_projectil
1443589,Thresh_Taint_fromBoggart_projectil
1474126,MarkOfFlame_Projectil
1519974,NPC_Banshaen_DongleBolt_projectil
1529293,NPC_Thresh_Root_Wav
1552378,NPC_FaerGorta_HealingOrb_projectil
1552532,NPC_Troll_Range
1562911,Tirnoch_Projectile_AmmoArtse
1584912,NPC_Murghan_AOEburst_projectil
1609798,projectile_sceptre_ground_lightnin
1613630,projectile_sceptre_ground_fir
1613631,projectile_sceptre_ground_ic
1616917,NPC_GiantSpider_WebShoot_Amm
1634591,projectile_bow_raining_arrow
1709561,PlayerDestiny_ManaDrain_Projectil
1721484,Player_DrainMana_projectil
1733425,projectile_EchoOfFateLarg
1736244,projectile_EchoOfFateSmal
1803360,HarmonicOverload_Fire_Proj_0
1803366,HarmonicOverload_Ice_Proj_0
1803368,HarmonicOverload_Storm_Proj_0
1882828,Player_Gambit_Projectil
1896738,NPC_Thresh_ChargeShot_projectil
1897060,Chicken_Egg_Ammo_Artse
1931799,Incap_FSK_Projectil
1949790,DLC1_Scarab_SporeLaunc
1953693,DLC1_Boggart_Amm
1967475,projectile_sceptre_large_ic
1967476,projectile_sceptre_large_lightnin
1967477,projectile_sceptre_large_fir
1980914,DLC2_Kollossae_IceFissure_projectil
2007444,ArrowStorm_01_ArtsetAmm
2007445,ArrowStorm_02_ArtsetAmm
2007446,ArrowStorm_03_ArtsetAmm
2007447,ArrowStorm_04_ArtsetAmm
2025811,Niskaru_HO_RangedAttackAmm
2034984,DLC2_Pteryx_Flap_Attack_Proj_0
2059436,DLC2_Projectile_Sceptre_Prima
2059437,DLC2_projectile_sceptre_ground_Prima
2059440,DLC2_projectile_sceptre_large_Prima
2064389,DLC2_Projectile_Sceptre_Small_Prima
2066713,DLC1_DeadKel_ProjectileAmm
2070405,projectile_bow_arrow_charged_Prima
2070406,projectile_bow_arrow_Prima
2070407,projectile_bow_arrow_short_Prima
2093291,DLC2_Kollosae_Wave_Projectil
