id,value
464704,default_boom_camera_controlle
465640,exploration_norma
473048,exploration_indoo
473049,combat_norma
486661,stealth_norma
516744,exploration_normal_idl
538464,shoulder_norma
710695,shoulder_screensho
721085,sync_norma
1349619,fixed_norma
1379116,combat_tilt_overrid
1432411,combat_wrat
1432712,exploration_wrat
1437929,boss_balor_norma
1505623,boss_tirnoch_stage
1546011,boss_tirnoch_stage
1546137,boss_tirnoch_stage
1558679,combat_mirrorblade_parr
1558680,exploration_mirrorblade_parr
1575952,combat_meteo
1575953,exploration_meteo
1628985,combat_chakram_juggl
1628993,exploration_chakram_juggl
1677574,boss_tirnoch_stage1_attack
1683091,boss_tirnoch_stage1_minion
1683092,boss_tirnoch_stage2_minion
1683093,boss_tirnoch_stage3_minion
1684145,combat_2hsword_jumpattac
1684146,exploration_2hsword_jumpattac
1684786,boss_tirnoch_stage3_attack
1684979,boss_tirnoch_stage1_intr
1692516,boss_tirnoch_stage1_reckonin
1692661,boss_tirnoch_stage2_reckonin
1692662,boss_tirnoch_stage3_reckonin
1693736,boss_tirnoch_stage2_attack
1722717,boss_balor_attack
1722914,boss_balor_attack
1732844,boss_malwyn_eyebea
1733163,boss_malwyn_eyebeam_0
1743767,boss_tirnoch_stage3_incapacitate
1768198,exploration_interio
1768199,exploration_interior_idl
1768200,exploration_swimmin
1768201,exploration_swimming_idl
1770466,shoulder_jumpin
1792361,boss_balor_incapacitat
1900021,shoulder_lookat_wellofsoul
1933305,boss_gadflow_reign_of_fire_loc_0
1935697,boss_gadflow_reign_of_fire_loc_0
1935699,boss_gadflow_reign_of_fire_loc_0
1935700,boss_gadflow_reign_of_fire_loc_0
1966252,stealth_interio
2035009,combat_noframn
2098776,DLC1_boss_whisperingwitch_ledg
2099647,DLC2_boss_primo
2116634,DLC2_primos_statu
