id,value
700881,Scene_06010
1426153,03_02_01
1426967,03_02_02
1427126,03_02_04
1427869,03_02_05
1427954,03_02_06
1430014,03_02_07
1430382,03_02_08
1430400,03_02_09
1430528,03_02_11
1430621,03_02_14
1430774,03_02_15
1431105,03_02_13
1433507,03_02_16
1437090,02_01_01
1437350,02_01_03
1437420,02_01_05
1437437,02_01_06
1437798,02_01_08
1437803,02_01_09
1437825,02_01_11
1559072,00_00_01
1559082,00_00_02
1559092,00_00_04
1559108,00_00_05
1559124,00_00_06
1559131,00_00_07
1559138,00_00_08
1559497,00_00_09
1559682,00_00_03
1641074,01_00_03
1641767,01_00_04
1641967,01_00_05
1642569,01_00_06
1664681,01_00_11
1674015,01_00_12
1674244,01_00_13
1675481,01_00_14
1675774,01_00_17
1680022,01_00_07
1680043,01_00_08
1682059,01_00_09
1682273,01_00_10
1694844,01_01_03
1695233,01_01_02
1695267,01_01_04
1695298,01_01_05
1695338,01_01_06
1695383,01_01_07
1695495,01_01_08
1695540,01_01_09
1695615,01_01_09
1695656,01_01_10
1695675,01_01_11
1695737,01_01_12
1695804,01_01_13
1700735,00_00_030_A
1701000,00_00_030_A
1701120,01_01_01
1701295,00_00_030_D
1701340,00_00_030_D
1701427,00_00_030_L
1701460,00_00_030_L
1701482,00_00_030_V
1701504,00_00_030_V
1703952,00_00_050_
1704007,00_00_050_
1719791,03_03_01
1720007,03_03_02
1720988,03_03_03
1721987,03_03_04
1722010,03_03_05
1722655,03_03_06
1722659,03_03_07
1722666,03_03_08
1722673,03_03_09
1723173,03_03_10
1723219,03_03_11
1723234,03_03_12
1723258,03_03_13
1723349,03_03_14
1723647,03_03_15
1723699,03_03_16
1723820,03_03_17
1723872,03_03_18
1723894,03_03_20
1723962,03_03_21
1724567,03_03_22
1724577,03_03_23
1724584,03_03_24
1724601,03_03_25
1724907,03_03_26
1724914,03_03_27
1725001,03_03_31
1725020,03_03_30
1725024,03_03_29
1725613,03_03_28
1750205,03_05_00
1750770,03_05_01
1750806,03_05_02
1750878,03_05_03
1750914,03_05_04
1750948,06_01_01
1751058,03_01_02
1751151,06_01_02
1751186,06_01_03
1751195,06_01_04
1751240,06_01_05
1751279,06_01_06
1751470,03_01_03
1751647,06_01_07
1751669,06_01_08
1752148,03_05_05
1752164,03_05_07
1752232,03_05_08
1752792,06_01_09
1752845,06_01_10
1752898,06_01_11
1752928,06_01_12
1752972,06_01_13
1752999,06_01_14
1753022,06_01_15
1753047,03_05_09
1753081,03_05_11
1753086,06_01_16
1753126,03_05_12
1753157,06_01_17
1753184,03_05_13
1753203,06_01_18
1753264,06_01_19
1753348,06_01_20
1753395,06_01_21
1753417,06_01_22
1753473,06_01_23
1802118,03_04_01
1805126,03_03_19
1807654,03_04_02
1808733,02_01_02
1808999,02_01_04
1812200,03_04_020
1812910,03_04_03
1813911,03_04_04
1814654,03_04_05
1815614,03_04_06
1860884,03_02_010_
1861941,03_02_010_Fina
1862668,02_01_07
