id,value
535701,Hero-Staff_Attack_Chai
538128,Hero-Staff_Idle
577578,Hero-Hamme
602338,Hero_Bow_Character_F
602569,Hero_bow_Character_fx_tabl
1248253,Hero-Sword_2
1248254,Hero-Sceptr
1262978,Hero-Dagger_Character_F
1272086,Hero-Chakra
1345200,Hero-FaeBlade_Characte
1450764,Hero-Staff_Attack_Charge_Specia
1507671,Hero-Hammer_Specia
1523216,Hero-Staff_Attack_Block_Specia
1534045,Hero-Staff_Delay_Specia
1582939,Hero-Swor
1597455,Hero-Sceptre_Specia
1607618,Hero-Arrow_Trai
1673765,Hero-Chakram_Specia
