id,value
408493,Gem
413360,Gem
418635,Gem
422902,Gem
481813,Ha
570662,Fee
578143,Leg
624695,Hor
670419,Han
701554,hea
713639,Arm
714332,Bod
761890,Gem
766872,Rob
771605,Ear
1024178,tors
1026990,Code
1057589,Hand
1203266,Spea
1333230,Shiel
1543744,broke
1733455,Weapo
1769600,agart
3025508,alynshi
4315234,WholeBod
4607854,Ship_bod
4628173,Full_Bod
4650589,Bird_Bod
5164612,Left_Cla
5866769,Troll_Bod
6044425,FacialHai
6811747,Codex_Show
6846870,Ettin_Tors
6884860,SpearSheat
7146327,OLD_DeleteM
7164204,Sprite_Bod
7267089,Corpse_bod
7308789,Gurney_bod
7959736,ShoulderPad
8032336,FxNodeWeapo
8432741,Sheath_Bac
8440293,Ettin_Weapo
8644608,Second_Spea
8917587,HairAndHelme
9034203,Boggart_bod
9045530,Niskaru_Bod
9346487,Prop_LeftHan
9766263,Prop_TwoHand
10220950,Barghest_Bod
10347306,Weapon_Node_
10441327,Weapon_Node_
10887638,Prop_RightHan
10911898,FaceAccessor
11087976,Head_Collisio
11324185,CIN_Spear_Mes
11401350,BoggartPreAmm
11412795,CIN_Arrow_Mes
11476400,Prop_BothHand
12373781,asseteditoronl
12547631,FateShift_Cla
12612369,Flashing Blade
12665449,Weapon_LeftHan
12731926,Weapon_Node_A
13233105,Weapon_TwoHand
13495373,FaceAccessorie
13728101,Ship_Group_bod
14083300,Spear_Swap_Spo
14438326,Weapon_RightHan
16022878,Giant_Spider_Mes
16331670,Weapon_Equip_Lef
16788114,asset_editor_onl
16813353,Weapon_Sheath_Hi
17575154,Weapon_Equip_Bot
17725711,FacialAccessorie
18268128,FateSplinterHamme
18539901,Weapon_Equip_Righ
19474474,WeaponSheath_Bac
19726587,Hyperion_Door_bod
20000937,PressurePlate_Bod
22134047,Weapon_Sheath_Bac
22428725,FateSplinterLeftHan
22449646,SpinningBlades_Bod
28185783,CIN_Army_Formation_0
29768259,CIN_WOS_DoorGnome_Bod
31454404,CIN_VIL_BannerStand_0
43978558,CIN_MEL_Rock_Collapse_Mes
50284895,CIN_DOK_MEL_DoorOutside_Bod
51118589,CIN_Gnome_Hall_Collapse_Mes
52201379,CIN_Tirnoch_DoorCrystal_Mes
54257961,CIN_DOK_BossBattleBridge_Mes
61791125,Weapon_Equip_Both_(Hip_Attach
