id,value
9559,default
17174,player
187423,default_good
187424,default_evil
187426,default_ambient
380306,default_ghost
380436,default_guard
417729,default_chicken
437915,quest_sq01_wolfcompanion
439778,quest_sq08_woerlowe
446806,quest_sq08_hunter
448531,quest_sq09_oldhermit
449133,village_didenhil
449134,narrative_warsworn
453391,quest_sq02_geoffmadmyr
457978,quest_sa01_delgadra
458074,quest_sa01_firespritechampion
458958,quest_tr01_ametair
464556,narrative_houseofballads
464589,narrative_houseofballads_pledges
471317,quest_sa03_cathan
472174,quest_sa03_gargwydern
473568,quest_hm04_crethchampion
473569,quest_hm04_airmerchampion
482448,quest_kv05_hofwesmugglers
482669,default_prisoners
492030,quest_sq03_crimsonfist
494348,narrative_scholiaarcana
496900,quest_hm08_rathirdock
502537,narrative_travelers
502773,quest_hm06_kobold
502775,quest_hm06_troll
504551,quest_hm07_kingwencen
504552,quest_hm07_maidofwindemere
504677,quest_hm07_kingwencen_clones
509443,city_adessa
509444,city_ysa
509445,city_rathir
509446,city_melsenshir
520082,quest_sq15_mermaid
522551,quest_sq23_ugnarodgray
522552,quest_sq23_redthedead
522958,quest_sq16_spider
523458,quest_sq16_barten
526998,quest_sq12_testsubject
528855,quest_sq21_thief
529184,quest_sq18_paedryygyn
534126,quest_kv10_anrubesin
545792,quest_sq26_faitir
545803,quest_sq26_scathghost
545805,quest_sq26_firstscath
548586,quest_sq27_niahm
549164,quest_sq27_runnelskirt
551421,faction_assassins
555851,quest_hp02_unseelieassassins
556228,default_ettin
557438,quest_mq03_alynshir
557518,quest_sq26_scrivener
557527,village_melaglir
558408,quest_sq36_guards
558431,quest_sq36_scouts
559159,default_environmentaldamage
564775,narrative_houseofseasons
567309,quest_sq31_hillared
567310,quest_sq31_racinon
570509,default_jottun
570510,default_boggart
570566,default_niskaru
577074,quest_sq35_hreid
579090,quest_sq44_ghost_faction_1
579091,quest_sq44_ghost_faction_2
581431,quest_sq44_aurenda
584568,narrative_houseofvalor
587564,quest_sq54_steglaval
588142,quest_sq54_ambard
589295,quest_sq54_grundiambard
589998,quest_sq61_eriad
590000,quest_sq61_sparrows
590992,quest_sq52_mayor
592194,default_beasts
592195,default_wildfae
592763,quest_sq61_dunnmen
595182,quest_sq62_daltyn
