id,value
155083,unibox_location_center
155085,unibox_location_1
155087,unibox_location_2
155090,unibox_location_3
155092,unibox_location_4
155094,unibox_location_5
155096,unibox_location_6
174641,fasttravel_to_unibox
178041,droom_spawn_1
235157,ft_dangerroom
256258,unibox_merchant_01
361664,m0_npc_lordratofer
378121,loc_combatdemo
378139,loc_unibox
434039,dmo_m1_npc_tiedupwoman
438533,obj_sq01_well_loc1
438535,obj_sq01_well_loc2
438537,obj_sq01_well_loc3
438539,obj_sq01_well_loc4
438567,obj_sq01_wanderingwell
439248,npc_sq01_strangeprisoner
439363,npc_sq01_tmp_thraan
439366,obj_sq01_wolf_loc
439697,npc_waneemundas
440569,obj_sq07_berebescu_pedestal
440571,dmo_m1_mob_jottun_a
440771,npc_sq08_spider
441094,dmo_m1_beastlocation
441095,dmo_m1_mob_niskaru
442187,dmo_m1_loc_summonobject
442839,dmo_m1_mob_jottun_b
442840,dmo_m1_mob_jottun_c
443279,dmo_m1_book
443496,npc_dal_alm_fatherdynwel
443599,npc_dal_alm_brotheregan
444355,location_sq06_faemound_entrance
445879,worldmapcenterobject_dmo_m1
445919,patrol_m1_demo_activitypatrol_garden
446289,location_sq06_egan_dungeonentrance
446613,npc_dal_see_thehunter
446698,dmo_m1_noantelopezone
446812,location_sq06_dynwel_return
446894,obj_sq06_helm_of_truth
447089,dmo_ftp_shattered_shrine
447090,dmo_ftp_river_ander
447091,dmo_ftp_leaning_king
447092,dmo_ftp_forester_crofts
447099,dmo_ftp_alder_thoroughfare
447100,dmo_ftp_anders_bank_village
447101,dmo_ftp_stalker_way
447102,dmo_ftp_watchers_point
447103,dmo_ftp_silent_highwayman
447107,dmo_ftp_valenont
447110,dmo_ftp_ruindale
447806,dmo_m1_loc_playerconversation
450377,npc_dal_alm_othelholn
451023,sq01_sweetrose_loc
456316,worldmapcenterobject_out_detyre_region
457001,npc_dal_alm_grimonwig
457063,npc_klu_alm_harrisetdonel
457068,npc_poe_ljo_erencalse
457070,npc_dal_gno_benarhidon
457074,tr01_sun_grimloc
457151,npc_det_alm_allonvennt
457569,npc_tinedelfric
457571,npc_ostordura
457703,obj_hm01_lantern1
457705,obj_hm01_lantern2
457707,obj_hm01_lantern3
457714,npc_dal_see_hallamthewhite
457907,npc_dal_see_steward
457910,npc_dal_see_crilgarin
458076,npc_dal_alm_heraorhelm
458426,int_dal_yolvan_thelibrary_exit
458810,tr02_ametairhouse
458954,npc_dal_uns_nix
458966,out_dal_gorhartinn_exit
458967,int_dal_gorhartinn_entrance
459154,npc_dal_see_ficon
459323,int_dal_ballads_enchantments_exit
459327,int_dal_ballads_enchantments_entrance
459330,int_dal_stodwigsperpetualmission_entrance
463237,tr21_mercyrep_loc
463881,dgn_dal_fae_arduath_entrance
463923,int_ysa_ametairmanor_entrance
463945,ysa_ftp_dalentarthentrance
463948,int_ysa_ametairmanor_exit
464240,npc_dal_see_tarr
464242,npc_dal_see_bris
464244,npc_dal_see_glindiner
464254,out_dal_yumy_exit
464256,npc_dal_see_alveb
464258,npc_dal_cry_digpascal
464275,dgn_hol_cathrus_exit
464294,dgn_fca_castleyolvan_exit
464997,int_dal_guelmuinlodge_entrance
465035,enemy_hm01_beast
465037,obj_hm01_sirsagrell
465043,dgn_hol_gorguath_entrance
465145,dgn_cav_shattertiermines_entrance
465163,dgn_cav_shattertiermines_exit
465198,out_dal_gorguath_exit
465556,door_hm01_beastlair
465657,tr01_allondoor
465734,npc_dal_see_airmer
465735,npc_dal_see_oleyn
465736,npc_dal_see_farrara
465738,npc_dal_see_queenbelmaid
465739,npc_dal_see_kingwencen
465742,npc_dal_see_creth
467734,npc_det_gno_gefroystebic
467740,npc_det_str_shivanilermanar
467822,dev_tr03_gefroychest
467825,dev_tr03_labchest
467949,tr03_labloc
467954,int_dal_ballads_accolades_entrance
468012,npc_dal_see_tarca
468049,location_hm03_farraradungeon
469110,dgn_cav_ironholdpassageentrancesw
469660,dgn_hol_uduath_entrance
469831,door_hm03_dungeon_2
469844,door_hm03_dungeon_1
470190,int_cty_adessa_tr03house_entrance_lower
470495,sa03_lerkaarasdesk
470641,npc_poe_dok_iriontal
471434,out_dal_wellofgreaterdidenhil_exit
471586,npc_dal_see_bloodybones
472365,dgn_dvg_tulan_entrancefront
472367,dgn_dvg_tulan_entranceback
473032,sa04_barghest
473335,npc_det_alm_griansheen
473437,tr05_locketchest
473476,npc_klu_ljo_maireganan
473478,npc_klu_cry_phasmerhumm
473591,npc_dal_uns_maidofwindemere
473593,npc_dal_see_airmerchampion
473597,npc_dal_see_crethchampion
473822,tmp_qa_automationcliffs_dng_entrance
473837,tmp_qa_automation_travel_well
473848,tmp_qa_automation_combat_falls
473860,tmp_qa_automation_combat_cliffs
474679,tmp_qa_qaautomation_questnpc
474767,obj_kv04_gwynlockuploc
474910,dgn_fca_castleyolvan_entrance
474982,dgn_hol_cathrus_entrance
475256,tmp_qa_automation_travel_welldng
475405,int_dal_canneroc_inn_entrancea
475904,tmp_qa_automation_cliffs_dng
476006,int_dal_canneroc_inn_exita
476047,int_dal_canneroc_house01_entrance
476049,int_dal_canneroc_house02_exit
476058,int_dal_canneroc_house02_entrance
476548,out_poe_north_00_maddingwind_exit
476974,tr03_labdoor
477392,int_vil_large_exit
477407,int_vil_small_exit
478422,tr03_jaildoor_a
478441,tr03_gefroynotes
478629,sa03_location01
478697,npc_dal_ljo_arnickarduna
479784,npc_dal_see_fauna
480109,int_det_adessa_kv04house_exit
480791,dgn_dvg_yumy_entrance
481326,greaterdidenhil_baker_entrance
481327,greaterdidenhil_baker_exit
481413,int_dal_littledidenhil_healer_exit
481414,int_dal_littledidenhil_healer_entrance
481687,greaterdidenhil_houseoftrade_entrance
481803,greaterdidenhil_houseoftrade_exit
481905,littledidenhil_holnhouse
481943,int_dal_greaterdidenhil_luminitsahouse_entrance
482081,littledidenhil_inn_entrance
482094,int_dal_greaterdidenhil_luminitsahouse_exit
482095,littledidenhil_inn_exit
482096,littledidenhil_holnhouse_exit
482192,dgn_dvg_deepoma_entrance
483309,npc_dal_alm_udomarsh
484096,int_cty_rathir_chamberoftrade_entrance
484099,int_cty_rathir_kv05catacombs_exit
484114,int_cty_rathir_kv05catacombs_entrance
484124,int_cty_rathir_chamberoftrade_exit
484877,npc_poe_alm_jubalcaledus
485687,int_dal_sthadwynsperpetualmission_entrance
485789,out_dal_sthadwynsperpetualmission_exit
486866,npc_kv03_summoner
486909,sa05_stormcrownmountain_location
489755,npc_dal_alm_idwoldfreward
490226,dev_npc_bal_hum_mikelegrand
494014,out_klu_isleofeamonn_entrance
494015,out_klu_isleofeamonn_beachexit
494358,int_cty_rathir_salibrary_entrance
494410,int_cty_rathir_salibrary_exit
494574,int_cty_rathir_samainhall_entrance
494646,obj_kv06_gwynloc
494756,int_cty_rathir_sadormitory_entrance
494837,int_cty_rathir_sadormitory_exit
494844,int_cty_rathir_samainhall_exit_a
495033,npc_tr06_aife
495219,dgn_dvg_vlaskersforge_entrance
495803,npc_dal_gno_jorumquintus
495807,npc_dal_alm_pellgrandy
495809,npc_dal_ljo_rainanjorn
495821,npc_det_dok_siobhanreen
495831,npc_poe_ljo_itransconn
495833,npc_poe_str_artancaid
495835,npc_poe_alm_wildonall
495837,npc_poe_dok_urthannara
495839,npc_poe_gno_redthombrum
496216,int_cty_ysa_samainhall_exit
496259,int_cty_ysa_samainhall_entrance
496715,npc_era_str_ugnarodgray
497518,dgn_str_windemerecastle_entrance
497683,int_dal_ballads_hobgrounds_entrance
497700,int_dal_ballads_hallofaccolades_exit
497701,int_dal_ballads_summersanctuary_exit
498174,int_dal_ballads_summersanctuary_entrance
498604,npc_dal_alm_gawaithand
498606,npc_dal_alm_agraivinhand
498608,npc_dal_ljo_rhosebadon
498610,npc_dal_see_hiroen
498612,npc_det_dok_parwenwell
498644,npc_poe_ljo_vulgardonnoh
498646,npc_poe_alm_minnthegrinner
498648,npc_poe_str_eormengest
498650,npc_klu_gno_elayendaque
498652,npc_klu_dok_cutterbrannagh
498654,npc_klu_str_inthaelsscyld
498976,int_dal_ballads_hobgrounds_exit
499348,int_dal_summersend_thechantry_entrance
499361,npc_dal_see_arvia
499364,out_dal_dgn_summersend_thechantry_exit
499367,out_dal_dgn_summersend_windemerecastle_exit
499369,out_dal_dgn_summersend_entrance
499372,npc_dal_see_ucobal
499374,npc_dal_see_ellova
499376,npc_dal_see_green
499380,npc_dal_see_seterlu
499523,out_dal_north_01_summersend_exit
499526,npc_dal_see_glianal
501663,tr07_ancienttome
501819,object_hm06_prismere_1
501821,object_hm06_prismere_2
501830,object_hm06_prismere_3
501832,object_hm06_prismere_4
501835,object_hm06_prismere_5
501905,out_dal_dgn_summersend_belltower_exit
501988,int_dal_summersend_belltower_entrance
502233,object_hm06_bellrope
502331,tr07_hallentrance
502359,tr07_vaultloc
502462,door_hm06_castle
502931,obj_kv07_enaanwycorpse
502935,npc_poe_alm_jubalcaledusdream
503223,obj_kv07_gwynfinalloc
503568,tr08_shivanilloc_a
504541,tr08_latrine
504582,npc_poe_alm_tr08captain
505287,door_hm07_courtyard
505463,door_hm05_champion
505798,dgn_dvg_cotw_entrance
506931,tr08_torchhall
507288,int_poe_archsagedreamworld_entrance
507521,sa_marustorix
507522,sa_eleanorbrea
507523,sa_elodanbloodgood
508008,dgn_str_forbiddenhall
508058,tr07_dumbwaiter
508616,dgn_cav_stonecandlemines_entrance
508765,int_cty_adessa_library_entrance
509320,sa06_archsagecorpse
509343,int_cty_adessa_library_exit
509537,tr08_shivanilloc_c
509577,int_poe_archsagechambers
510315,dgn_cav_overgrownthicket_entrance
510343,dgn_dvg_cotw_mainexit
510744,dgn_dvg_cotw_mainentrance
511710,obj_tr07_puzzle_a1
511712,obj_tr07_puzzle_a2
511714,obj_tr07_puzzle_a3
511716,obj_tr07_puzzle_b1
511718,obj_tr07_puzzle_b3
511720,obj_tr07_puzzle_c1
511722,obj_tr07_puzzle_c2
511724,obj_tr07_puzzle_c3
511782,npc_dal_alm_oleandersinclair
516719,npc_dal_ljo_fionaterane
516726,npc_dal_alm_grimapedeoras
516927,npc_klu_var_golseyeidar
517313,obj_tr07_keychest
518983,npc_dal_str_enconegholn
519869,sq15_cliffoverhang
520244,sq15_ettinshaman
521392,npc_dal_alm_dedaeolfred
521447,dgn_cav_whisperingcaves_entrance
521753,sq15_pool
521969,npc_dal_alm_brotherdelf
521989,npc_sq13_antelope_oreyn
522101,npc_dal_var_redthedead
522563,npc_dal_alm_garanervernt
522565,npc_dal_var_barten
523297,sq16_cannerocloc
523521,dgn_cav_waterhalldown_backentrance
523522,dgn_cav_waterhalldown_frontentrance
524877,npc_dal_gno_nannehanri
524880,int_dal_gorhart_alchemistshop_entrance
524975,out_dal_waterhalldown_frontexit
524977,out_dal_waterhalldown_backexit
525603,dgn_dvg_hurvarsdoorsill_entrance
525745,obj_vlaskarsforge
525878,npc_dal_see_paedryygyn
525884,sq17_spot1
527042,object_sq12_barrel1
527046,object_sq12_barrel3
527048,object_sq12_barrel4
527050,object_sq12_barrel5
527055,object_sq12_barrel6
527056,object_sq12_barrel7
527057,object_sq12_barrel8
527058,object_sq12_barrel9
527060,object_sq12_barrel10
527076,dgn_yolvan_hiddenentrance
527118,worldmapcenterobject_dalentarth_region
527669,npc_tmp_dialogtester
527909,int_dal_gorhart_alchemistshop_exit
527971,sq17_yolvanloc
529333,npc_dal_see_cras
529519,sq18_innloc
530082,dgn_cav_splitrockdepths_entrance
530115,sq18_cathrus
531341,dgn_cav_splitrockcaverns_exit
532159,dgn_cav_crownofclouds_craterentrance
532517,ffq05_ossuary
533125,npc_det_dok_anrubesin
533126,obj_kv10_pillar5
533132,dgn_cav_shaderivercaves_entrance
533142,obj_kv10_pillar4
533143,obj_kv10_pillar3
533144,obj_kv10_pillar2
533145,obj_kv10_pillar1
534322,npc_kv10_khamazandu
535356,npc_poe_alm_singingnell
535359,npc_poe_ljo_banraunthesmithy
535443,npc_poe_var_askelthorin
535448,npc_poe_dok_fynwickiver
535451,npc_poe_ljo_gordanlot
537471,dgn_cav_sanctuarygrotto_entrance
540271,dgn_cav_fellfirepit_exit
541750,dgn_cav_sevenwidowmine_entrance
541855,dgn_cav_sevenwidowmine_exit
543217,sq24_chest
544470,npc_poe_dok_alretterond
544472,npc_poe_dok_dennritrond
544474,sq25_chest01
544476,sq25_chest02
544478,sq25_chest03
544530,int_dal_balladlodge_exit
544560,sq25_strangedevice
544642,dgn_hol_bristlethorn_entrance
544654,dgn_hol_bristlethorn_exit
544658,dgn_hol_syl_entrance
545144,dgn_hol_cranalt_exit
545355,dgn_cav_shaderivercaves
545444,int_dal_warswornbase_exit
545634,dgn_dvg_damalroc_entrance
545821,dgn_dvg_mullrane_entrance
545953,npc_poe_ljo_firstscath
545989,npc_poe_ljo_faitirscath
546082,sq26_camp
546208,sq26_bell
546212,npc_poe_see_callor
546221,sq26_book
546385,sq26_candle
546792,int_poe_caerpurendal_exit
546882,dgn_cav_brandycove_entrance
547233,dgn_cav_luckymine_entrance
548486,npc_poe_dok_niahm
549016,dgn_cav_ironholdpassagesw_exit
549019,dgn_cav_ironholdpassagene_exit
549308,npc_dal_alm_kaharineholn
549314,dgn_hol_rundamir_exit
549321,dgn_hol_rundamir_entrance
550034,npc_poe_alm_atheofcergren
550230,dgn_str_dolvearne_exit
550237,dgn_str_dolvearne_entrance
550402,dgn_dolvewayle_poe_entrance
550616,dgn_wellofsouls_lab_exit
550625,npc_mq_gno_fomoroushugues
550657,npc_dal_var_agarth
550718,ffq08_a
550720,ffq08_b
550722,npc_poe_see_hendi
550724,ffq08_c
550726,ffq08_d
550728,ffq08_e
551286,npc_poe_alm_bedepengaras
551949,out_poe_caertosai_exit
552407,npc_dal_var_billisaideh
552409,npc_dal_var_beckryaideh
552411,npc_dal_dok_carteryjayck
552413,npc_dal_alm_jenneryvauner
552415,npc_dal_alm_syllaretavauner
552417,npc_dal_alm_johanvernt
553286,npc_poe_dok_erionraff
553771,obj_sq29_nearculn
553930,canneroc_johanbed
553931,canneroc_garanerbed
553960,dgn_str_kandrian_entrance
553961,canneroc_vaunerbed
553968,canneroc_beckrybed
553970,canneroc_billisbed
553977,sq18_carteryloc
553979,sq18_johanloc
553981,sq18_syllaretaloc
553983,sq18_jenneryloc
554088,out_klu_kandrian_exit
554599,dgn_str_dolvewayle_exit
555461,sq16_garanerloc
555475,sq16_bartenloc
556038,sq18_kelleryloc
556118,dgn_cav_adessamine_entrance
557125,forge_ayten
557516,npc_mq_dok_alynshir
557531,npc_poe_ljo_scrivener
557538,mq_envquestitem_yumydestinystone
558316,obj_sq36_pool
559143,npc_poe_alm_anelacergren
559165,activity_didenhil_coveredbridge
559211,dal north 03 vignette marker
559293,dgn_cav_seasons_tunnel_entrance_1
559659,npc_poe_dok_kandriangatekeeper
562001,hvsq01_amplitudemarker
562150,hvsq02_choicebox
562978,mq_scryingmirror
563459,dgn_cav_huntermine_meleeentrance
563461,dgn_cav_huntermine_sneakyentrance
563687,dgn_cav_huntermine_secretexit
563696,dgn_cav_huntermine_meleeexit
563703,dgn_cav_huntermine_sneakyexit
563720,out_poe_ayteninn_exit
563891,int_poe_ayteninn_entrance
564261,mob_mq04_cagedbeast_a
564262,mob_mq04_cagedbeast_b
564263,mob_mq04_cagedbeast_c
564264,mob_mq04_cagedbeast_d
564282,mq04_alyn_melee
564284,mq04_alyn_sneak
564318,loc_mq04_bridgeencounter
564319,mob_mq04_bridgearcher_a
564320,mob_mq04_bridgearcher_b
564345,obj_mq04_monsterlevertwo
564346,obj_mq04_monsterleverone
567402,npc_det_dok_racinonhalfer
567651,npc_mq_nyralim
567687,npc_det_alm_hillaredtheblade
568103,dgn_dvg_vlaskersforge_exit
568448,int_ysa_throneroom_exit
568455,int_ysa_throneroom_entrance
568525,dgn_hol_shadowthorn_exit
568531,dgn_str_corganhold_exit
568566,dgn_str_corganhold_entrance
568567,dgn_hol_shadowthorn_entrance
568745,dgn_dvg_urultusk_exit
568942,dgn_cav_sanctuarygrotto_exit
569529,int_det_whitestone_inn_exit
569538,int_det_whitestone_inn_entrance
569883,dgn_hol_caerohn_entrance
573254,sq33_initiateloc1
576343,npc_det_dok_efyrdynnwel
576426,sq35_barodsbody
577017,sq35_caveentrance
577573,obj_sq46_efyrdepartloc
577575,obj_sq46_efyrsanvil
577803,npc_poe_dok_idristheonen
578052,mq05_troll_gnarsh_gor
578075,npc_mq_see_erawn
578087,obj_sq46_brokenblade
578091,npc_mq_see_titarion
578390,tr07_dumbwaiterexit
579223,obj_sq44_intruderwalk3
579238,npc_det_see_aurenda
579675,obj_sq44_intrudercorpse1
580378,obj_sq44_inquiryloc
580424,obj_sq44_inquiryloc2
580426,obj_sq44_inquiryloc3
580428,obj_sq44_inquiryloc4
581382,dgn_cav_haxhidam_entrance
