id,value
7631,canceleven
7632,Cheat
7633,Cheat
7634,CheatDPadDow
7635,CheatDPadLef
7636,CheatDPadRigh
7637,CheatDPadU
7638,CheatListScrollDow
7639,CheatListScrollDownHol
7640,CheatListScrollU
7641,CheatListScrollUpHol
7642,Cheat
7643,Cheat
7644,conversationmenuselec
7645,downeven
7646,drop_squa
7647,EnterCheatMod
7648,enterMajestyAttackMen
7649,enterOppAttackMen
7650,enterRadialMenuAncesto
7651,enterRadialMenuMagi
7652,ExitCheatMod
7653,exitMajestyAttackMen
7654,exitOppAttackMen
7655,exitradialmenuAncesto
7656,exitradialmenumagi
7657,invali
7658,modalBac
7659,modalL
7660,modalR
7661,modalStar
7662,MotionButton
7663,MotionButton
7664,MotionButton
7665,MotionButton
7666,oppAttackCompanion
7667,oppAttackCompanion
7668,oppAttackCompanion
7669,oppAttackCompanion
7670,paddowneven
7671,padupeven
7672,pckbdowneven
7673,pckbupeven
7674,radialmenuselec
7675,radialQuickSelectAr
7676,radialQuickSelectMagi
7677,rangedattac
7678,rangedattackhol
7679,rangedattacku
7680,SaveDebugModeStac
7681,selecteven
7682,TakeScreensho
7683,targetInf
7684,uninite
7685,upeven
7686,AbilitySelect
7687,AbilitySelect
7688,AbilitySelectExi
7689,AbilitySelectRema
7690,AbilitySelect
7691,AbilitySelect
7692,action
7693,AddModeDemoPlayerWal
7694,AimingToggl
7695,AncestorShardMenuL
7696,AncestorShardMenuR
7697,AncestorTestMenu
7698,AncestorTestMenu
7699,AncestorTestMenuDow
7700,AncestorTestMenuU
7701,AncestorTestModeLef
7702,AncestorTestModeRigh
7703,BattleofRovennaMa
7704,BattleStartWin
7705,BattleWin
7706,BattleWinDow
7707,BattleWinLef
7708,BattleWinMajorLef
7709,BattleWinMajorRigh
7710,BattleWinMinorLef
7711,BattleWinMinorRigh
7712,BattleWinRigh
7713,BattleWinU
7714,BigBattlePlan
7715,BigBattleResults
7716,BigBattleResults
7717,BigBattleResultsDow
7718,BigBattleResultsExi
7719,BigBattleResultsLef
7720,BigBattleResultsMajorTabLef
7721,BigBattleResultsMajorTabRigh
7722,BigBattleResultsMinorTabLef
7723,BigBattleResultsMinorTabRigh
7724,BigBattleResultsRigh
7725,BigBattleResultsU
7726,BigBattleResults
7727,BigBattleResults
7728,BigBattleWin
7729,BigBattleWin
7730,BigBattleWinBac
7731,BigBattleWinDow
7732,BigBattleWinExi
7733,BigBattleWinLef
7734,BigBattleWinMajorTabLef
7735,BigBattleWinMajorTabRigh
7736,BigBattleWinMinorTabLef
7737,BigBattleWinMinorTabRigh
7738,BigBattleWinRigh
7739,BigBattleWinU
7740,BigBattleWin
7741,BigBattleWin
7742,blockof
7743,blocko
7744,CastSpellinMen
7745,changecategor
7746,changestatustablef
7747,changestatustabrigh
7748,cinematicski
7749,CinematicSkipMen
7750,CinematicSkip
7751,CloseMarqueeWi
7752,CombatTestMenu
7753,CombatTestMenu
7754,CombatTestMenuDow
7755,CombatTestMenuLef
7756,CombatTestMenuRigh
7757,CombatTestMenuU
7758,CompanionAllComman
7759,CompanionCommandHol
7760,CompanionLeftComman
7761,CompanionRecallComman
7762,CompanionRightComman
7763,CompanionSelect
7764,CompanionSelect
7765,CompanionSelectLef
7766,CompanionSelectRigh
7767,CompanionSelect
7768,CycleTargetLef
7769,CycleTargetRigh
7770,CycleTargetStickLef
7771,CycleTargetStickRigh
7772,dangerMenu
7773,dangerMenu
7774,dangerMenuDow
7775,dangerMenuLef
7776,dangerMenuRigh
7777,dangerMenuU
7778,DRoomControls_
7779,DRoomControls_
7780,DRoomControls_
7781,DRoomControls_
7782,DropObjec
7783,enterItemSelec
7784,EnterMagicMod
7785,EnterQuickPaus
7786,enterradialmen
7787,equipselecte
7788,ExitMagicMod
7789,exitradialmen
7790,fastattac
7791,fastattackhol
7792,fastattackholdlon
7793,fastattacku
7794,FreeCameraCheat
7795,interac
7796,interact_with_or_actio
7797,InventoryChangeTabLef
7798,InventoryChangeTabRigh
7799,InventoryScrollDow
7800,InventoryScrollLef
7801,InventoryScrollRigh
7802,InventoryScrollU
7803,inventoryuseite
7804,InventoryWindo
7805,KingdomWindow
7806,KingdomWindow
7807,KingdomWindowBac
7808,KingdomWindowStar
7809,Ledger
7810,Ledger
7811,LedgerDow
7812,LedgerExi
7813,LedgerLaunchMa
7814,LedgerLef
7815,LedgerLStickClic
7816,LedgerMajorTabLef
7817,LedgerMajorTabLeftReleas
7818,LedgerMajorTabRigh
7819,LedgerMajorTabRightReleas
7820,LedgerMa
7821,LedgerMinorTabLef
7822,LedgerMinorTabRigh
7823,LedgerRigh
7824,LedgerU
7825,Ledger
7826,Ledger
7827,LockTargetOf
7828,LockTargetO
7829,MagicMode_
7830,MagicMode_
