id,value
7405,360AButtonLon
7406,360LBdownlon
7407,360RBdownlon
7408,360rbuttonandlbutto
7409,360rbuttondownandlbuttondow
7410,360RStickLeftHardStar
7411,360RStickRightHardStar
7412,360StartDownU
7413,360StartLon
7414,360YButtonLon
7416,PCKB_
7418,PCKB_AltDow
7419,PCKB_AltLon
7420,PCKB_
7421,PCKB_Dow
7422,PCKB_
7423,PCKB_EDow
7424,PCKB_ELon
7425,PCKB_Ente
7426,PCKB_Escap
7427,PCKB_
7428,PCKB_Lef
7429,PCKB_LeftCtrlDow
7430,PCKB_LeftCtrlU
7431,PCKB_
7432,PCKB_P_Lon
7433,PCKB_
7434,PCKB_Righ
7435,PCKB_
7436,PCKB_Spac
7437,PCKB_SpaceDow
7438,PCKB_SpaceLon
7440,PCKB_Ta
7441,PCKB_U
7442,PCKB_
7443,PS3CircleButtonDow
7444,PS3CrossButtonLon
7445,PS3LBdownlon
7446,PS3r1buttonandl1butto
7447,PS3StartLon
7448,PS3TriangleButtonLon
7461,360_Button_A_Hol
7462,360_Button_A_Hold_Lon
7463,360_Button_A_Pres
7464,360_Button_A_Releas
7465,360_Button_Back_Pres
7466,360_Button_Back_Releas
7467,360_Button_B_Hol
7468,360_Button_B_Hold_Lon
7469,360_Button_B_Pres
7470,360_Button_B_Releas
7471,360_Button_L_Pres
7472,360_Button_L_Releas
7473,360_Button_R_Pres
7474,360_Button_R_Releas
7475,360_Button_Start_Pres
7476,360_Button_Start_Releas
7477,360_Button_X_Hol
7478,360_Button_X_Hold_Lon
7479,360_Button_X_Pres
7480,360_Button_X_Releas
7481,360_Button_Y_Hol
7482,360_Button_Y_Hold_Lon
7483,360_Button_Y_Pres
7484,360_Button_Y_Releas
7485,360_DPad_Down_Hol
7486,360_DPad_Down_Pres
7487,360_DPad_Down_PureHol
7488,360_DPad_Down_Releas
7489,360_DPad_Left_Hol
7490,360_DPad_Left_Pres
7491,360_DPad_Left_PureHol
7492,360_DPad_Left_Releas
7493,360_DPad_Right_Hol
7494,360_DPad_Right_Pres
7495,360_DPad_Right_PureHol
7496,360_DPad_Right_Releas
7497,360_DPad_Up_Hol
7498,360_DPad_Up_Pres
7499,360_DPad_Up_PureHol
7500,360_DPad_Up_Releas
7501,360_StickButton_L_Releas
7502,360_StickButton_R_Releas
7503,360_Stick_L_Down_Har
7504,360_Stick_L_Down_Pure_Hol
7505,360_Stick_L_Left_Har
7506,360_Stick_L_Left_Pure_Hol
7507,360_Stick_L_Right_Har
7508,360_Stick_L_Right_Pure_Hol
7509,360_Stick_L_Up_Har
7510,360_Stick_L_Up_Pure_Hol
7511,360_Stick_R_Down_Har
7512,360_Stick_R_Down_Pure_Hol
7513,360_Stick_R_Left_Har
7514,360_Stick_R_Left_Pure_Hol
7515,360_Stick_R_Right_Har
7516,360_Stick_R_Right_Pure_Hol
7517,360_Stick_R_Up_Har
7518,360_Stick_R_Up_Pure_Hol
7519,360_Trigger_L_Hol
7520,360_Trigger_L_Hold_Har
7521,360_Trigger_L_Hold_Sof
7522,360_Trigger_L_Pres
7523,360_Trigger_L_Press_Har
7524,360_Trigger_L_Press_Sof
7525,360_Trigger_L_Pure_Hol
7526,360_Trigger_L_Releas
7527,360_Trigger_L_Release_Har
7528,360_Trigger_L_Release_Sof
7529,360_Trigger_R_Hol
7530,360_Trigger_R_Hold_Har
7531,360_Trigger_R_Hold_Sof
7532,360_Trigger_R_Pres
7533,360_Trigger_R_Press_Har
7534,360_Trigger_R_Press_Sof
7535,360_Trigger_R_Pure_Hol
7536,360_Trigger_R_Releas
7537,360_Trigger_R_Release_Har
7538,360_Trigger_R_Release_Sof
7539,PS3_Button_Circle_Pres
7540,PS3_Button_Circle_Releas
7541,PS3_Button_Cross_Pres
7542,PS3_Button_Cross_Releas
7543,PS3_Button_L1_Pres
7544,PS3_Button_L1_Releas
7545,PS3_Button_L2_Pres
7546,PS3_Button_L2_Releas
7547,PS3_Button_L3_Pres
7548,PS3_Button_L3_Releas
7549,PS3_Button_R1_Pres
7550,PS3_Button_R1_Releas
7551,PS3_Button_R2_Pres
7552,PS3_Button_R2_Releas
7553,PS3_Button_R3_Pres
7554,PS3_Button_R3_Releas
7555,PS3_Button_Select_Pres
7556,PS3_Button_Select_Releas
7557,PS3_Button_Square_Pres
7558,PS3_Button_Square_Releas
7559,PS3_Button_Start_Pres
7560,PS3_Button_Start_Releas
7561,PS3_Button_Triangle_Pres
7562,PS3_Button_Triangle_Releas
7563,PS3_DPad_Down_Pres
7564,PS3_DPad_Down_Releas
7565,PS3_DPad_Left_Pres
7566,PS3_DPad_Left_Releas
7567,PS3_DPad_Right_Pres
7568,PS3_DPad_Right_Releas
7569,PS3_DPad_Up_Pres
7570,PS3_DPad_Up_Releas
7623,360LTdownlon
7624,360XButtonLon
7625,360_StickButton_L_Pres
7626,PS3l2u
7628,PS3R1u
7629,PS3r2u
7630,PS3SquareButtonLon
99721,360_Button_R_Hol
105256,PS3_Button_Circle_Hol
167456,360_Button_LT_Hold_And_X_Pres
167457,360_Button_LT_Press_And_X_Pres
167459,PS3_Button_L2_Hold_And_Square_Pres
167460,PS3_Button_L2_Press_And_Square_Pres
168124,360_Button_LT_Hold_And_X_Hol
173589,360_Button_A_Hold_2
173897,PS3_Button_L2_Hol
176856,PS3_Button_R2_Hol
185992,360_Button_LT_Press_And_Y_Pres
185993,360_Button_LT_Hold_And_Y_Pres
228123,PS3_Button_Triangle_Hol
249736,360_Button_L_Hol
375864,360_DPad_Down_PureHold_50m
375865,360_Stick_L_Down_Pure_Hold_50m
375868,360_Stick_L_Up_Pure_Hold_50m
375869,360_DPad_Up_PureHold_50m
377450,PCKB_Up_PureHold_50m
377451,PCKB_Down_PureHold_50m
377573,360_Stick_R_Up_Pure_Hold_50m
377574,360_Stick_R_Down_Pure_Hold_50m
377641,360_StickButton_R_Pres
385271,360_DPad_Right_PureHold_50m
385272,360_Stick_L_Right_Pure_Hold_50m
385273,360_DPad_Left_PureHold_50m
385274,360_Stick_L_Left_Pure_Hold_50m
441203,360_Block_and_Rol
441204,PS3_Block_and_Rol
442955,360_Button_X_Hold_Shor
442956,PS3SquareButtonShor
442957,360_Button_Y_Hold_Shor
442958,PS3TriangleButtonShor
457591,PS3_Button_Cross_Hold_Lon
457592,PS3_Button_Square_Hold_Lon
457593,PS3_Button_Triangle_Hold_Lon
457594,PS3_Button_Circle_Hold_Lon
