id,value
198236,interact_default_alchemy
198238,interact_default_close
198239,interact_default_custom
198240,interact_default_harvest
198241,interact_default_loot
198243,interact_default_open
198245,interact_default_read
198246,interact_default_repair
198249,interact_default_talk
198250,interact_default_unlock_with_key
198251,interact_default_use
226960,interact_default_sleep
231665,interact_default_spellbinding
260145,interact_sq027_plant_heartflower_seed
261218,interact_sq027_pick_heartflower
264835,interact_default_recruit
267779,interact_default_inspect
275428,interact_default_lever
343683,na_interact_place_skull
359349,interact_default_loaddoor
432404,interact_tmp_m1demo_door
432682,interact_tmp_m1demo_talk_noorient
454105,interact_default_pickpocket
458017,interact_default_loot_container
462365,interact_default_unlock_very_easy
462366,interact_default_unlock_easy
462367,interact_default_unlock_average
462369,interact_default_unlock_hard
462370,interact_default_unlock_very_hard
464126,interact_default_lorestone
468015,interact_default_dispel_average
468016,interact_default_dispel_easy
468017,interact_default_dispel_hard
468018,interact_default_dispel_very_easy
468019,interact_default_dispel_very_hard
470261,interact_default_harvest_item
479429,interact_custom_tr03_talking_orb
483991,interact_travel
490061,interact_default_grab_crystal
504523,interact_custom_tr08_latrine
505628,interact_custom_tr06_talking_head
507501,sa08_froststone
507504,sa08_sunstone
507505,sa08_stormstone
507825,interact_custom_tr08_frame
509273,interact_sa06_archsagebody01
514443,interact_custom_kv07_give_gift
522242,interact_custom_sq13_use_item
523069,interact_howling_shrine
525671,interact_custom_sq17_hiddenentrance
526041,interact_custom_kv09_use_forge
527814,interaction_default_pickup
530197,interact_custom_sq18_talkingdoor
532154,interact_custom_ffq05_ossuary
534123,interact_custom_sq16_talkingshed
534302,interact_custom_sq16_bartentalk
534305,interact_shrine
534623,interact_shrine_gnomishrandomizer
540510,interact_custom_kv10_talk_khamazandu
548128,interact_custom_sq26_talk
550674,interact_custom_ffq08_a
550682,interact_custom_ffq08_b
550683,interact_custom_ffq08_c
550685,interact_custom_ffq08_d
550686,interact_custom_ffq08_e
551489,interact_custom_ffq09_1
551490,interact_custom_ffq09_2
551491,interact_custom_ffq09_3
551492,interact_custom_ffq09_4
558134,interact_sq36_flower
561091,interact_sq03_inspect
574330,interact_custom_sq34_manon
576599,interact_custom_sq35_pile
578398,interact_custom_tr02_ametair
580865,quest_interact_seeker_board
583144,interact_custom_talk_hv
587814,interact_custom_fp01_talkingcrystal
589204,interact_custom_fp01_talkingcrystal2
589205,interact_custom_fp01_talkingcrystal3
595117,sq58_eilalydeskinteraction
595135,sq58_montaineldeskinteraction
595197,interact_sq62_poison
596285,interact_custom_sq52_hang
599539,interact_custom_sq63_herb
600052,interact_custom_sq56_check
600053,interact_custom_sq56_speak
612279,interact_custom_hm05_take
620366,sa01_trialinteraction
621113,mq12_stone_altar_interaction
621218,interact_ladder_loaddoor
622045,interact_custom_hm04_well
628905,interact_sq67_use_phial
633487,interact_sq68_magetable
640354,interact_custom_tr05phamser
641888,interact_default_disarm
644320,interact_default_disarm_loot
648483,fp07_braceinteract_a
655441,fp07_braceinteract_b
655442,fp07_braceinteract_c
655443,fp07_braceinteract_d
658409,interact_tr06_plain_amulet
658413,interact_tr06_take_tear
673265,interact_default_quest_door
674650,u04_bookinteraction
677993,interact_custom_tr07_dumbwaiter
689220,interact_default_loot_container_crime
689221,interact_default_open_crime
691688,interact_default_unlock_average_crime
