id,value
709957,Lore_LS03_YolvanStone_
709959,Lore_LS03_YolvanStone_
709960,Lore_LS03_YolvanStone_
709961,Lore_LS03_YolvanStone_
709962,Lore_LS03_YolvanStone_
734537,Lore_LS07_Talarane_
734538,Lore_LS07_Talarane_
734539,Lore_LS07_Talarane_
1316930,Lorestone_FFQ54_Kandrian_
1316931,Lorestone_FFQ54_Kandrian_
1316932,Lorestone_FFQ54_Kandrian_
1316933,Lorestone_FFQ54_Kandrian_
1316934,Lorestone_FFQ54_Kandrian_
1387404,Lore_KLU_CaeledCoast_
1387405,Lore_KLU_CaeledCoast_
1387406,Lore_KLU_CaeledCoast_
1387407,Lore_KLU_CaeledCoast_
1387408,Lore_KLU_CaeledCoast_
1427785,Lore_DAL_Odarath_
1427786,Lore_DAL_Odarath_
1427787,Lore_DAL_Odarath_
1427788,Lore_DAL_Odarath_
1427789,Lore_DAL_Odarath_
1430127,Lore_DAL_Ettinmere_
1430128,Lore_DAL_Ettinmere_
1430129,Lore_DAL_Ettinmere_
1430130,Lore_DAL_Ettinmere_
1430131,Lore_DAL_Ettinmere_
1440946,Lore_DGN_FaeHollows_
1440947,Lore_DGN_FaeHollows_
1440948,Lore_DGN_FaeHollows_
1440949,Lore_DGN_FaeHollows_
1440950,Lore_DGN_FaeHollows_
1484371,Lore_POE_Galafor_
1484372,Lore_POE_Galafor_
1484373,Lore_POE_Galafor_
1484374,Lore_POE_Galafor_
1484375,Lore_POE_Galafor_
1527425,Lore_DAL_Webwood_
1527429,Lore_DAL_Webwood_
1527436,Lore_DAL_Webwood_
1527439,Lore_DAL_Webwood_
1527440,Lore_DAL_Webwood_
1596755,Lore_DAL_Glendara_
1596756,Lore_DAL_Glendara_
1596757,Lore_DAL_Glendara_
1596758,Lore_DAL_Glendara_
1596759,Lore_DAL_Glendara_
1596821,Lore_DAL_Haxhi_
1596822,Lore_DAL_Haxhi_
1596823,Lore_DAL_Haxhi_
1596824,Lore_DAL_Haxhi_
1596825,Lore_DAL_Haxhi_
1596826,Lore_DET_RedMarches_
1596827,Lore_DET_RedMarches_
1596828,Lore_DET_RedMarches_
1596829,Lore_DET_RedMarches_
1596830,Lore_DET_RedMarches_
1596837,Lore_DET_Alserund_
1596839,Lore_DET_Alserund_
1596840,Lore_DET_Alserund_
1596842,Lore_DET_Alserund_
1596843,Lore_DET_Alserund_
1596907,Lore_DET_Hollowlands_
1596908,Lore_DET_Hollowlands_
1596909,Lore_DET_Hollowlands_
1596910,Lore_DET_Hollowlands_
1596911,Lore_DET_Hollowlands_
1596936,Lore_POE_Wolds_
1596937,Lore_POE_Wolds_
1596938,Lore_POE_Wolds_
1596939,Lore_POE_Wolds_
1596940,Lore_POE_Wolds_
1596941,Lore_POE_CradleofSummer_
1596942,Lore_POE_CradleofSummer_
1596943,Lore_POE_CradleofSummer_
1596944,Lore_POE_CradleofSummer_
1596945,Lore_POE_CradleofSummer_
1597063,Lore_KLU_Midden_
1597064,Lore_KLU_Midden_
1597067,Lore_KLU_Midden_
1597069,Lore_KLU_Midden_
1597071,Lore_KLU_Midden_
1597461,Lore_ALA_Amaura_
1597462,Lore_ALA_Amaura_
1597463,Lore_ALA_Amaura_
1597464,Lore_ALA_Amaura_
1597465,Lore_ALA_Amaura_
1597466,Lore_ALA_Bhaile_
1597467,Lore_ALA_Bhaile_
1597468,Lore_ALA_Bhaile_
1597469,Lore_ALA_Bhaile_
1597470,Lore_ALA_Bhaile_
1777371,Lore_DET_Apotyre_
1777372,Lore_DET_Apotyre_
1777373,Lore_DET_Apotyre_
1777374,Lore_DET_Apotyre_
1777380,Lore_DET_Apotyre_
1793666,Lore_DAL_Sidhe_
1793667,Lore_DAL_Sidhe_
1793668,Lore_DAL_Sidhe_
1793669,Lore_DAL_Sidhe_
1793670,Lore_DAL_Sidhe_
1818973,Lore_DAL_SummersEnd_
1818974,Lore_DAL_SummersEnd_
1818975,Lore_DAL_SummersEnd_
1818976,Lore_DAL_SummersEnd_
1818977,Lore_DAL_SummersEnd_
