id,value
4069,par_dust_bits_01_trans
4070,par_smoke_03_add
4071,par_fog_01
4072,par_leaves_green_01_4x4_trans
4073,par_water_droplets_01_trans
4076,par_fog_trans_02
4078,par_dust_bits_01_add
4080,par_moths_01_add
4093,par_glow_godray_03_add
4094,par_smoke_03_trans
4096,collision_default
4097,collision_wood
4102,par_glow_godray_04_add
4109,par_glow_star_06_add
4110,par_ring_01_add
4111,invalid
4125,physical_material_armor
4126,physical_material_arrow
4127,physical_material_axe
4128,physical_material_blade
4129,physical_material_bone
4130,physical_material_chain
4131,physical_material_cloth
4132,physical_material_dirt
4133,physical_material_flesh
4134,physical_material_grass
4135,physical_material_grit
4136,physical_material_hide
4137,physical_material_leather
4138,physical_material_mace
4139,physical_material_metal
4140,physical_material_mud
4141,physical_material_puddle
4142,physical_material_quickglass
4143,physical_material_shield
4144,physical_material_staff
4145,physical_material_stone
4146,physical_material_taibaflesh
4147,physical_material_wood
4156,terrain_brush
4157,terrain_wire_frame_material
4159,testnoalpha
4161,uninited
4162,debug_font
4164,depth_solid
4173,postproc_copy
4174,postproc_distort
4176,postproc_downsample_2x
4179,postproc_gaussian_filter
4184,simple_color
4185,simple_constant
4186,simple_masked_texture
4187,simple_normal
4189,simple_texture
4190,simple_texture_alpha
4191,simple_weighted_normal
4192,editor_volume_selection
4193,standard_blank
4199,par_arc_02_add
4200,par_aura_03_add
4207,par_debris_ember_01
4210,butterflies
4213,fxfab-distortion_shield_01
4214,par_distortion_01
4215,trl-distortion_01
4216,par_glow_radial_01_a
4217,editor_blank
4218,par_electric_01_add
4223,par_fire_ball_01_add
4225,fireparticledistortion
4226,fxfab-force_energy_interference_01
4233,gauntlet_glow_material_01
4234,ghaisu
4235,par_glow_star_04_add
4236,par_glow_radial_03_add
4239,par_glow_godray_01_add
4240,ground_plane
4250,hat_farmer
4254,hero_bow
4257,par_ring_02_add_soft
4258,interacthighlight
4259,invisible
4266,par_spray_lava_01_add
4267,lever_material
4269,beam-lightning_01
4270,loothighlight
4315,par_glow_flare_01_add
4319,par_blood_mist_01
4322,par_spark_02_add
4325,par_symbol_spiral_01_add
4327,par_spark_offset_02_trans
4328,par_spark_offset_02_add
4329,par_crescent_01_add
4330,par_distortion_03
4331,par_dust_cloud_02_2x2_trans
4332,par_electric_02_2x2_add
4333,par_electric_03_3x1_add
4335,par_glow_godray_05_add
4336,par_glow_star_05_add
4337,par_glow_streak_03_add
4339,par_fire_style_02_add
4340,par_debris_wood_01_2x2_trans
4341,par_arc_03_add
4343,par_ring_flare_01_add
4344,par_ring_twist_01_add
4345,par_glow_star_03_add
4346,par_aura_01_add
4347,par_debris_ember_01_add
4349,par_fire_flames_02_3x3_add
4350,par_smoke_07_trans_soft
4351,par_smoke_06_2x2_trans
4353,phoenix_embrace_mesh
4354,phoenix_embrace_meshmaterial
4355,pickaxe01
4356,pickaxe02
4357,poison_cloud_material
4358,portalback
4359,portalbackmask
4360,portalfront
4361,portalfrontmask
4362,postprocancestor
4378,par_distortion_ring_01
4389,set_z
4390,set_z_mask
4395,par_glow_star_blur_add
4413,targethighlight
4416,par_smoke_04_4x4_add
4417,par_smoke_04_4x4_trans_soft_white
4419,par_smoke_swirl_01_trans
4420,par_smoke_swirl_01_add
4425,terrain_dirt
4426,terrain_grass
4427,terrain_path
4431,trl-bloody01
4443,trl-faeblades_01
4444,watertestmaterial
4445,weightedtemp
4446,weightedwitch
4447,weighted_editor_blank
4448,weighted_standard_blank
4449,zpass
4450,zpass_mask
4540,rov-flora_grass01
4560,tmp_gatemask
4594,x-sandytest
4595,x-sandytestshadowed
4597,test-plasterdebrismat
4599,fau_carcass
4601,odv-cliff_big
4604,odv-fab_temp
4612,for_flora_twistgreen
4613,odv-flora_deadtree
4651,odv-ruins_brick_01
4655,odv-stone_wall02
4699,tai-vulture
4701,tai-wood_01
4703,res-clutter_01
12430,dun_temp
12449,testtileocc
16098,tmp_gate
17091,trl-style_01_add
17193,par_shockwave_half_01_add
17774,par_glow_sparkles_01_add
18712,fxfab-scrollingspirits
19221,par_symbol_circle_spl_01_add
23277,par_symbol_glyph_01_add
72695,river
73323,par_electric_04_2x2_add
73411,par_smoke_10_2x2_add
75762,par_debris_crystal_01_2x2_trans
76811,rov-market-wood
78055,player_base_chestpiece
78080,player_base_feet
78084,player_base_hands
78086,player_base_legs
78388,default_debug_collision_geometry_material
80696,terrainpalettematerial
82833,player_mage_torso
82870,player_mage_pants
82871,player_mage_gloves
82872,player_mage_boots
82873,player_mage_hood
82914,par_water_mist_01_trans
82915,par_water_fall_02_trans
85185,player_angular_head
85186,player_angular_hair
93370,par_shockwave_06_add
93398,si-greyboxcave
101192,test-circle01
