id,value
401395,kobolds__b
401399,kobolds__d
401400,kobolds__y
401404,kobolds__a
401405,kobolds__c
401406,kobolds__z
401416,obsolete_ettin_brutes_s
440738,bear_s
440739,bear_m
440740,bear_l
440778,giantspider__c
440790,giantspider__b
440800,giantspider__a
440829,mg_sprite_soldier_e_s
440886,obsolete_brownies_s
440914,obsolete_brownies_m
440924,obsolete_brownies_l
519988,boggart_tribesman_m_noemerge
519989,boggart_tribesman_s_noemerge
519990,boggart_tribesman_l_noemerge
520173,dlc0_hov_untouchabletroll
520676,niskarutyrant__a
541767,test_kruts_activesummoningmonstergroup
548514,quest_sq27_runnelskirt
558411,quest_mq03_assassins_s_wave1
558412,quest_mq03_assassins_s_wave2
564562,boggart_tribesman_xl_noemerge
568687,boggart_tribesman_1_noemerge
575433,boggart_tribesman_20_noemerge
591261,sq52_outlaw_miners
594820,unseelieguards_m_01
595331,quest_mq07_assassins_l
595452,unseelieguards_l_01
595453,unseelieguards_s_01
604996,mq09_niskaru_test
608001,giantrats_s
608007,giantrats_m
608012,giantrats_l
611681,quest_kv01_outlaws
619576,quest_hm02_sprites_uduath
619577,quest_hm02_boggarts_uduath
619580,quest_hm02_barghest_uduath
621385,quest_kv03_niskaruwhelp_s
621390,quest_kv03_niskaruwhelp_l
621391,quest_kv03_niskaruwhelp_m
621394,quest_kv03_mages_s
621395,quest_kv03_mages_m
621396,quest_kv03_mages_l
622011,warsworn_huellassassins_m
622036,warsworn_huellassassins_l
625177,mg_sprite_mix_storm_h_m
625178,mg_sprite_mix_storm_h_l
625179,mg_sprite_mix_frost_h_m
625180,mg_sprite_mix_frost_h_l
625181,mg_sprite_mix_flame_h_m
625182,mg_sprite_mix_flame_h_l
625245,mg_sprite_soldier_e_m
625246,mg_sprite_soldier_e_l
630504,mg_barghest_feral_h_s
630528,mg_barghest_feral_h_l
630530,mg_barghest_feral_h_m
630531,mg_troll_rock_h_m
632493,quest_mq14_sonsoflaz_test
640627,quest_mq15_pride_blasters_monsters
640638,quest_mq15_pride_summoners_monsters
640762,quest_mq15_alfar_attack_monsters
654485,quest_hm06_boggarts_summersend
654487,quest_hm06_trolls_summersend
654489,quest_hm06_sprites_summersend
654570,quest_hm06_kobolds_summersend
660591,quest_hm07_sprites
660662,quest_ffq69_friendlyboggart
660839,jottun_melee_s
660840,jottun_melee_m
660841,jottun_melee_l
664617,murghan__a
664626,quest_kv10_mages_s
664634,quest_kv10_niskaruhunter_m
666330,warsworn_mages_l
666331,warsworn_mages_m
666332,warsworn_mages_s
680146,bolgans_melee_s
680147,bolgans_melee_m
680148,bolgans_melee_l
680665,quest_tr08_cathedralguards
680695,quest_tr08_gnomesentries
683852,quest_sq15_barghest
690714,quest_sq04_bogeyman
690884,guards_adessa
691940,mq03_niskaru_pack
693006,niskaru_mixed_m
693007,niskaru_mixed_l
701752,mg_sprite_mix_frost_h_s
702544,quest_sq12_brownies
715402,tuatha_raider_g
715403,tuatha_raider_a
715404,tuatha_raider_f
715405,tuatha_raider_c
715406,tuatha_raider_e
715408,tuatha_raider_d
734547,bogeyman_s
734548,bogeyman_m
734549,bogeyman_l
734553,leanashe_s
734554,leanashe_m
734555,leanashe_l
735860,faer_gorta_m
735909,quest_ffq21_kobold_mixed_rotclaw
735910,quest_ffq21_kobold_mixed_blackshriek
735911,quest_ffq21_kobold_mixed_kingfang
739755,gnome_henchmen_s
741024,faer_gorta_l
750233,quest_ffq23_darkvari
750243,quest_ffq23_cynric
750245,quest_ffq23_zungar
757222,mq09_niskaru_tyrant
760300,bandit_human_darkvari__a
760301,bandit_human_darkvari__c
760302,bandit_human_cynric__a
760303,bandit_human_cynric__b
760304,bandit_human_zungar__a
760305,bandit_human_zungar__e
845011,wolves__a
845012,wolves__b
845013,wolves__c
894631,faer_gorta_s
898614,boggarts_thresh__z
898615,boggarts_thresh__b
898617,boggarts_thresh__a
1057386,quest_mq03_assassins_s_caster
1259879,valor_1vm_easy_round_01
1259880,valor_1vm_easy_round_02
1259881,valor_1vm_easy_round_04
1259882,valor_1vm_easy_round_05
1259883,valor_1vm_easy_round_06
1259884,valor_1vm_easy_round_03
1259885,valor_1vm_easy_round_07
1259886,valor_1vm_easy_round_08
1259887,valor_1vm_easy_round_09
1259888,valor_1vm_easy_round_10
1260764,banshaen_murghan_cave__a
1260778,banshaen_cave__a
1260782,banshaen__a
1260784,banshaen__z
1266265,quest_u04_feargorta_m
1271138,adessa_loansharks
1288745,melsenshir_laddermelee
1288746,melsenshir_ladderarcher
1288809,melsenshir_crossbattle
1290335,melsenshir_tuatha_melee_mix
1290455,quest_adessa_sparring_faergorta
1290839,adessa_container_veryeasy
1290840,adessa_container_easy
1290841,adessa_container_average
1290842,adessa_container_hard
1290844,adessa_container_veryhard
1305882,tuatha_priests_s
1305883,tuatha_priests_m
1305887,tuatha_priests_l
1318535,quest_sq103_niskaruhunter
1320220,quest_sq95_barghest
1320297,quest_sq95_brownies_m
1323795,quest_sq96_mirriusguards
1330277,enc_fp04_kobolds
1337035,jottun_runewielder_m
1337037,jottun_chieftain_s
1341553,quest_hv01_wave_01
1341554,quest_hv01_wave_02
1341555,quest_hv01_wave_03
1343820,melsenshir_reinforcement_ranged
1343830,melsenshir_reinforcement_melee
1347536,niskarutyrant__a_ne
1349219,melsenshir_tuatha_1h
1349280,melsenshir_guard_melee
1353252,melsenshir_tuatha_casterambush
1361837,tuatha_raider_b
1361838,tuatha_raider_z
1361869,tuatha_soldier_a
1361870,tuatha_soldier_b
1361871,tuatha_soldier_c
1361872,tuatha_soldier_d
1361873,tuatha_soldier_e
1361874,tuatha_overlord_a
1361875,tuatha_overlord_b
1361876,tuatha_overlord_c
1361877,tuatha_overlord_d
1361878,tuatha_zealot_a
1361881,tuatha_zealot_b
1361882,tuatha_zealot_c
1361883,tuatha_zealot_d
1361884,tuatha_zealot_e
1361886,tuatha_soldier_z
1361887,tuatha_soldier_y
1361894,quest_fp06_final_fae
1365382,troll_prismere
1366480,wellofsouls_crossbattle_l
1372829,redlegion__a
1372830,redlegion__z
1374940,wellofsouls_crossbattle_m
1374941,wellofsouls_crossbattle_s
1378609,bandit_freeman__a
1378611,bandit_freeman__z
1378729,wellofsouls_assassin_final_01
1379798,sq69_commander
1383259,kobolds_mixed_tutorial
1383263,wellofsouls_crossbattle_kobolds
1386118,quest_kv_dokkalfar_sorcerers_a1
1386122,quest_kv_dokkalfar_sorcerers_b1
1386124,quest_kv_dokkalfar_sorcerers_c1
1386224,quest_kv_dokkalfar_sorcerers_d1
1386239,quest_kv_dokkalfar_sorcerers_z1
1386241,quest_kv_dokkalfar_sorcerers_y1
1386242,quest_kv_dokkalfar_sorcerers_x1
1399280,jottun__a
1399281,jottun__b
1399282,jottun__c
1399283,jottun__z
1399284,jottun__y
1399285,jottun__x
1399286,jottun__w
1399287,jottun__d
1400686,kobolds_barghests__z
1400687,kobolds_barghests__y
1400688,kobolds_barghests__d
1400689,kobolds_barghests__c
1400690,kobolds_barghests__b
1400691,kobolds_barghests__a
1401985,guards_arden
1402300,tuatha_troll_a
1402301,tuatha_troll_b
1402302,tuatha_troll_c
1402639,guards_gorhart
1410939,wellofsouls_assassin_final_02
1411064,wellofsouls_lab_assassins
1413912,quest_tr01_gnomishtroops
1424239,guards_ysa
1426163,kobolds__a_nofateshift
1426164,kobolds__b_nofateshift
1426165,kobolds__c_nofateshift
1426167,kobolds__d_nofateshift
1426268,ettin_brutes_s_nofate
1426269,ettin_shamans_s_nofate
1426351,ettin_mixed_earlygame_m_nofate
1434490,barghests_boggarts__a
1434800,barghests_faergorta__a
1435440,barghests_boggarts__b
1435441,barghests_boggarts__y
1435442,barghests_faergorta__z
1435443,barghests_faergorta__y
1435518,boggarts_leanashe__a
1435519,boggarts_leanashe__b
1435520,boggarts_leanashe__z
1435557,faergorta_leanashe__a
1435558,faergorta_leanashe__y
1435559,faergorta_leanashe__z
1435563,leanashe_sprite__z_flame
1435564,leanashe_sprite__a
1435577,barghests__a
1435578,boggarts__z
1435579,boggarts__a
1435580,boggarts__b
1435705,faergorta__a
1435714,faergorta__b
1435715,faergorta__c
1435716,faergorta__e
1435719,faergorta__d
1435736,leanashe__a
1435737,leanashe__z
1435742,thresh__a
1435745,sprite_flame__a
1435746,sprite_flame__b
1435747,sprite_flame__c
1437575,bandit_freeman__c
1439668,barghests_leanashe_z
1439678,boggarts_sprites__z
1439679,boggarts_sprites__y
1439680,boggarts_sprites__h
1439681,boggarts_sprites__a
1439683,boggarts_sprites__p
1444691,boggarts_troll__a
1444692,boggarts_troll__b
1444693,boggarts_troll__y
1444694,boggarts_troll__z
1444695,barghests_troll__a
1444696,sprites_troll__a
1444697,sprites_troll__b
1444698,obsolete_sprites_troll__z_flame
1444714,troll__a
1444715,troll__m
1444739,boggarts_faergorta__z
1444740,boggarts_faergorta__y
1444741,boggarts_faergorta__a
1444742,boggarts_faergorta__h
1444743,boggarts_faergorta__i
1444744,boggarts_faergorta__b
1444751,faergorta_sprites__z
1444752,faergorta_sprites__y
1444753,faergorta_sprites__x
1444754,faergorta_sprites__c
1444755,faergorta_sprites__b
1444756,faergorta_sprites__a
1444757,faergorta_troll__z
1444758,faergorta_troll__y
1444759,faergorta_troll__n
1444760,faergorta_troll__m
1444761,faergorta_troll__b
1444762,faergorta_troll__a
1444787,kobolds_giantratswolves__a
1444788,kobolds_giantratswolves__b
1444789,kobolds_giantratswolves__c
1444790,kobolds_giantratswolves__z
1444791,kobolds_giantratswolves__d
1444792,kobolds_giantratswolves__e
1444793,kobolds_giantratswolves__f
1444794,kobolds_giantratswolves__y
1444795,kobolds_giantratswolves__x
1444796,kobolds_giantratswolves__w
1444797,kobolds_giantratswolves__v
1444800,kobolds_giantratswolves__u
1444942,ettins_bears__a
1444944,ettins_bears__b
1444945,ettins_bears__c
1444946,ettins_bears__x
1444947,ettins_bears__z
1444948,ettins_bears__y
1444951,ettins__a
1444952,ettins__b
1444953,ettins__u
1444954,ettins__c
1444958,ettins__y
1444959,ettins__z
1453395,crudok__a
1499379,guards_didenhil
1509144,crudok_giantspider__d
1509145,crudok_giantspider__b
1509146,crudok_giantspider__a
1509147,crudok_giantspider__c
1509162,brownies_giantrats__a
1509163,brownies_giantrats__b
1509164,brownies_giantrats__c
1509165,brownies_giantrats__y
1509166,brownies_giantrats__z
1509167,faergorta_giantrats__a
1509169,faergorta_giantrats__e
1509170,faergorta_giantrats__c
1509171,faergorta_giantrats__b
1509174,faergorta_giantrats__f
1509175,faergorta_giantrats__d
1509176,giantrats__a
1509177,giantrats__b
1509178,giantrats__d
1509442,giantspider__c__ww
1509443,giantspider__b__ww
1509444,giantspider__a__ww
1509513,giantspider_v_brownies__a__ww
1509515,giantspider_v_brownies__b__ww
1509519,giantspider_v_brownies__c__ww
1509520,giantspider_v_brownies__d__ww
1509529,giantspider_v_giantrat__d__ww
1509530,giantspider_v_giantrat__c__ww
1509534,giantspider_v_giantrat__b__ww
1509535,giantspider_v_giantrat__a__ww
1513622,hv02_bandits
1525870,guards_rathir
1531640,hv02_remus
1533842,barghests_brownies__y
1533844,barghests_brownies__b
1533846,barghests_brownies__a
1533865,barghests_brownies__z
1533918,barghests_crudok__a
1533919,barghests_crudok__z
1533951,barghests_sprites__z_flame
1533952,barghests_sprites__b_flame
1533953,barghests_sprites__a
1533982,barghests_sprites__b_storm
1533983,barghests_sprites__z_storm
1534026,barghests_sprites__b_frost
1534027,barghests_sprites__z_frost
1534097,boggarts_brownies__a
1534103,boggarts_brownies__b
1534104,boggarts_brownies__h
1534105,boggarts_brownies__i
1534108,boggarts_brownies__r
1534109,boggarts_brownies__p
1534110,boggarts_brownies__y
1534112,boggarts_brownies__z
1534240,boggarts_crudok__a
1534279,boggarts_crudok__b
1534280,boggarts_crudok__y
1534283,boggarts_crudok__z
1534416,brownies__z
1534417,brownies__b
1534418,brownies__a
1534419,obsolete_crudok__z
1534428,brownies_crudok__z
1534430,brownies_crudok__y
1534432,brownies_crudok__b
1534434,brownies_crudok__a
1534441,brownies_faergorta__z
1534442,brownies_faergorta__y
1534443,brownies_faergorta__x
1534444,brownies_faergorta__w
1534446,brownies_faergorta__d
1534447,brownies_faergorta__c
1534448,brownies_faergorta__b
1534449,brownies_faergorta__a
1534525,sprites_thresh__z
1534526,sprites_thresh__y
1534529,sprites_thresh__b
1534530,sprites_thresh__a
1534680,sprite_frost__c
1534681,sprite_frost__b
