id,value
131123,0
133302,0
135685,0
145690,U
278451,of
308076,0
364433,Ru
377763,Fl
440131,Ic
464512,NC
489186,Hid
514750,idl
549408,Fir
577232,ope
624910,Gri
646938,Dow
651734,Loo
652835,Idle
662529,Ja
673267,Gro
706088,Das
708359,fal
717147,Wal
823480,Roa
862571,Smil
871071,Cas
878372,Prim
878522,Slee
914613,Swin
952831,Ente
998527,clos
1006378,Stor
1012422,Ghos
1013970,GetU
1027619,rais
1044180,Shou
1093305,Deat
1126279,smas
1175853,Taun
1191543,Enter
1200406,Enter
1209881,Enter
1213814,Spaw
1233921,Star
1351151,Hidde
1355034,Prime
1359974,Emerg
1405304,Downe
1427647,Strik
1457104,Finis
1462174,warde
1475189,close
1543744,broke
1564797,Poiso
1598969,PreRu
1604739,Sprin
1620439,Dialo
1707866,Sheat
1720076,Enter
1725969,Activ
1747312,damag
1782940,Defea
1815240,Prima
1825471,Ambus
1846892,Ice_O
2025558,collid
2027563,Explod
2060936,Trigge
2112269,Idle_0
2122584,Idle_0
2137522,Up_Idl
2191383,Cast0
2203076,RunPos
2226791,attac
2331697,Ice_Of
2353381,Disgus
2358386,Scuttl
2364511,Bow Ad
2373908,Idle_O
2378859,Releas
2408566,Fire_O
2426846,Destro
2461286,idle_u
2503883,defaul
2508743,Forwar
2601665,GENERI
2622122,Despaw
2636990,respaw
2709693,AoE_Ic
2791518,Spinnin
2888942,Idle_Of
2910684,BindPos
2923600,Fire_Of
2953438,Ice_Idl
2967535,disarme
2975124,AoE_Fir
3021879,Telepor
3059635,breakin
3068264,detecte
3075030,BasePos
3113811,Trail_0
3115310,Idle_Ho
3123102,Rotatin
3125236,Trail_0
3137477,Trail_0
3201740,Unsheat
3209830,Bed_Exi
3226422,spike_u
3246640,Detonat
3271207,Collaps
3274712,Level_U
3303630,Run_Sto
3398063,Inactiv
3473214,NPC_Ar
3475629,open idl
3491331,Charm_O
3525925,activat
3555705,idle_da
3640391,Bow Bas
3706979,Lightnin
3752732,Fire_Idl
3777684,NoCollid
3780556,open_idl
3818914,Trail_0
3850262,Down_Idl
3872110,Sleep_Of
3872432,Stun_Idl
3885121,Cute_Idl
3941552,FadeAwa
3965306,Explosio
3981821,PreGrowt
3984232,idle_ope
4012024,Roll_Lef
4070899,Bed_Ente
4090425,Attack_
4112528,idle_dow
4136606,Mgc_Lung
4170800,Referenc
4208367,Fate_Ful
4216606,Charm_Of
4277493,Poison_O
4282919,Frozen_O
4295432,Stun_Exi
4373355,Powerwal
4407586,Attack_
4425619,Mage_Mal
4449773,tightova
4464531,Attack_
4514355,Close Idl
4527936,Primal_O
4609133,death idl
4634792,Celebrat
4642646,React_Hi
4659724,Cute_Wal
4736305,Idle_Yaw
4778051,NPC_Cowe
4804583,Run_Star
4814628,Panic_Ru
4852255,Sleep_Idl
4857171,ActiveIdl
4914096,Cinemati
4972260,close_idl
5059806,idle_nigh
5067038,death_idl
5123421,Poison_Of
5123692,Wrath_Idl
5128847,Frozen_Of
5180421,Roll_Righ
5196751,Charm_Idl
5207654,start_idl
