id,value
6194,null_fab_motion
6208,dark_smoke_large_motion
6211,fireball_motion
6214,FX-Moths_Mtn
6215,FXMesh-Moth_0
6229,lever0
17016,artifac
18630,Mage_Teleport_Spo
18673,FX-MagicCircle_Mtn
24500,Wisp_MotionSet_Gold_Smal
24501,Wisp_MotionSet_Red_Smal
24502,Wisp_MotionSet_Red_Larg
24503,Wisp_MotionSet_Green_Larg
24504,Wisp_MotionSet_Green_Smal
87354,FX-TestDarkBeam_Mtn
103195,Playe
128173,Motion Se
154053,test-WispCrystal01_Mtn
161647,Rune_Emitte
161675,FXMesh-Wisp_lightnin
207384,Runic_wall_motio
227903,FXMesh-HelixPlane_Mtn
243211,Player_Effect
252486,Purple_Flower_0
274186,WO_Lever0
321364,GB_Doo
358094,Jottun_Defaul
358110,Jottun_VVS_Mele
361338,FOR_Lamp_0
365535,Bird_Defaul
365541,Antelope_Defaul
365590,FOR_Lamp_Moth_0
365941,M0_OUT_Tree_Bridge_MotionSe
368820,FOR_Moth_Large_0
375385,FOR_LivingVin
378369,Reagent_Breezeros
379584,M0_DoorInside_Motio
384880,BirdGrou
385381,Buffshrin
393865,Sword_2H_Standar
412150,Niskaru_Defaul
412156,Niskaru_Mele
413497,chicken_defaul
417758,FOR_Waterwhee
420384,FOR_ruins_spiketra
426988,FOR_Fauna_Fish_0
438887,FOR_Windmill_Motion_Se
442790,FOR_ruins_torchbrazier0
447266,Magic_Shield_Man
450715,FOR_Entrance_GateF
452572,FOR_Chest0
458015,Niskaru_Summon_fx_0
460346,FXMesh-Meteor_Charge_Trails_0
462524,FXMesh-MeteorStor
463283,Human_NP
463598,Jottun_Effect
464176,Niskaru_Effect
465651,Invisible_mesh_0
466225,Player_Femal
467173,Staff_Ice_attack_aoe_mes
469586,Human_NPC_TwoHanded_Weapo
473104,INT-Chair0
474418,Human_NPC_Swordwielde
475412,INT_Table_Long_0
484437,Boggart_Defaul
492753,Human_NPC_Tied_Up_Gir
492908,Human_NPC_Arche
492957,Human_NPC_Sorcere
492962,Human_NPC_DaggerRogu
492964,Human_NPC_Spearwielde
494555,Boggart_Mele
496594,POI_Mesh_0
497406,Boggart_Effect
504132,tmp_waterfall_motion
505395,Brownie_Defaul
507845,Explosion_Skel_0
508748,Brownie_Mele
508784,Explosion_Skel_0
509593,MIN_Door0
518461,TMP_M2_Dummy_Buffshrin
530328,Weapon_staf
530616,Weapon_Bo
534159,Staff_Ice_Attack_0
534861,Human_NPC_Summone
535054,Murghan_Defaul
535349,Staff_Ice_Shard_0
535938,Staff_Fire_attack_0
536523,Staff_Lightning_Attack_0
541380,Human Male Fac
541812,VIL_Lamp_N
541936,VIL_Lamp_NS_Hangin
543152,Barghest_Comba
543164,Barghest_Defaul
543186,IdleOnl
543860,Giant_Spider_Defaul
544566,IdleContaine
544617,IdleInteractio
544802,VIL_Building_NS_Windmill_Ani
544931,VIL_Lamp_NS_Wall_Moun
548132,DET_Flora_Cactus_SaguaroFat0
553034,VIL_Waterwhee
553086,FHO_DoorGlow0
561983,Chicken_Effect
561988,Giant_Spider_Effect
562072,LootBag_Effect
562074,Brownie_Effect
569452,NCA_Flora_Mushrooms_turno
571223,MIN_Chest0
572907,MIN_Torch0
575424,SQ45_CenturyFlowe
575583,FXMesh-Shadow_Prism_01
577099,NCA_Flora_Saguaro_Ope
577598,PLN_SparrowSwar
577853,FOR_Doo
577861,Village_LoadDoo
580336,Lightning_Spell_Small_0
580367,Lightning_Spell_Large_0
580724,Lightning_Spell_Small_0
580876,MIN_Crate0
