id,value
100644,Playe
131515,Grun
172227,Followe
208929,idle_onl
242028,Container_St
260682,Flowe
351502,Door_St
357135,Trap_TimedSpik
357350,Smashable_St
360153,Trap_Proximit
362677,Trap_SpinningBlade
363701,Trap_Swin
366100,Flower_Magica
376231,Smashable_Objec
385475,Buffshrin
393778,Smashable_Persistent_Objec
421061,Stage
458439,One_Animatio
488137,Waterwhee
530929,Weapon
544646,idle_interactio
544720,Smashable_Explosio
559574,DayNigh
571457,ProximityChang
573011,Trap_Time
576329,test_cop
616662,TargetingTurre
617948,Run
630381,Two_Animation
641760,Player_Trap_Proximit
661417,Reagent_Sourc
666832,Fac
687600,FX_FateWeapon
733909,ExplodaPo
1247563,Weapon_Bo
1254598,Boggart_Controllabl
1269637,Balo
1290576,Chakra
1317340,Spawn_Objec
1319303,Idle_And_Deat
1322866,Fab_Multiple_Idle_Tre
1327942,NPC_Sorcerer_SpellRun
1351151,MelSenshir_Ladde
1352708,NPC_Summoner_CircleOfFir
1373509,Weapon_FlashingBlade
1379891,MelSenshir_Bridg
1386629,Spawn_Idle_Deat
1389441,Codex_Of_Destiny_Stan
1389696,ERU_Gat
1466069,Trap_PoisonPoo
1471613,Trap_PlantSnappe
1499231,Tirnoc
1509843,Smashable_Barrel_0
1509854,Smashable_Barrel_0
1509867,Smashable_Crate_0
1509878,Smashable_Crate_0
1509889,Smashable_Crate_0
1509918,Smashable_Crate_0
1509931,Smashable_Crate_0
1509944,Smashable_Crate_0
1509955,Smashable_Urn_0
1509966,Smashable_Urn_0
1509977,Smashable_Urn_0
1509988,Smashable_Urn_0
1510004,Smashable_Urn_0
1510015,Smashable_Urn_0
1510026,Smashable_Urn_0
1510037,Smashable_Urn_0
1558422,PressurePlat
1566174,Character_Windo
1601255,Smashable_Two_State
1639183,Spawn_Idle_DeleteOnDeat
1643109,MysteriousToxin
1650760,Splinter_Spawne
1654241,FX_Idle_Onl
1671010,DelayedAttac
1683596,Cra
1684061,WAR_Barrie
1687420,EchoesOfFat
1687604,Smashable_Fate_0
1691500,HarmonicOverloa
1715249,Play_Once_Then_Destro
1732011,Banne
1754466,MQ09_Altar_BlindingLightSpea
1767526,Trap_SlidingBlade
1782364,Trap_Diversio
1794686,ExplodingPrismer
1802555,Door_Smashabl
1824488,Smashable_PrismereCrysta
1824506,Smashable_PrismereChantr
1852082,MQ09_Windston
1881365,WintersEmbrac
1939400,Cinematic_Objec
1951351,Prop_Boo
1952813,Arro
1957539,DLC1_Scarab_Spawne
2005749,DLC1_Scarab_GroundPoiso
2007401,PickupableLoo
2007413,ArrowStor
2031644,MelSenshir_CardArm
2035244,DLC1_DarkHarbor_Counterweigh
2040924,DLC2_Smashable_Egg_0
2050162,DLC1_FallingRockRepeatin
2064666,DLC2_Primo
2082177,DLC2_Smashable_Pot_0
2097301,DLC2_Shrine_Of_Ethen
2099283,DLC2_Kollossae_Statu
2109898,DLC2_Hyperio
2113559,DLC2_Smashable_Pot_0
2119206,DLC3_Trap_PlantSnappe
