id,value
135231,Jump_Over_Clos
135244,Jump_Over_Runnin
135246,Jump_Over_Off_Clos
135253,Landing_Shor
135254,Landing_Mediu
135257,Landing_Lon
135612,Jump_Onto_Clos
135613,Jump_Onto_Runnin
135673,Jump_Down_Lo
135674,Jump_Down_Hig
139489,Jump_Vault_Over_Clos
139490,Jump_Vault_Over_Runnin
139491,Jump_Vault_Off_Clos
139492,Jump_Vault_Off_Runnin
139512,Jump_Mantle_O
363839,_Prototype_Jump_Ove
394265,_Prototype_Vault_Ove
466002,TestLandin
609531,Jump_Dow
637757,Launc
638893,Juggle_Norma
669569,Juggle_Lon
669578,Juggle_Hig
733010,Launch_Hig
1282767,Jump_Down_Wate
1344317,Launch_Very_Hig
1347136,Juggle_Lo
1424202,Juggle_Normal_NoHorizonta
1424238,Launch_Wrat
1444382,Juggle_SlamOu
1529297,Juggle_SlamDow
1536291,Launch_Low_Ou
1536387,Juggle_Ou
1609694,Juggle_Floa
1619308,Launch_Lo
1619314,Juggle_Low_NoHorizonta
1624093,Launch_High_Ou
1670134,Juggle_Low_Towar
1670258,Juggle_Low_Toward_ChakramDodge
1670259,Juggle_Low_Toward_Mediu
1670260,Juggle_Low_Toward_Shor
1683749,Juggle_Low_Toward_ChakramDodge
1683750,Juggle_Low_Toward_ChakramDodge
1683751,Juggle_Low_Toward_ChakramDodge
1683752,Juggle_Low_Toward_ChakramDodge
1683753,Juggle_Low_Toward_ChakramDodge
1734275,Launch_High_NotOu
1953766,Juggle_Fla
1988945,Juggle_Float_Harpoo
