id,value
500436,JAW
1079183,BAG02
1085352,BAG03
1092031,BAG04
1097450,BAG05
1103289,BAG06
1269918,EAR_L
1311912,EAR_R
1422609,BIP01
1519865,HAIR02
1520844,BAG01
1528728,HAIR03
1538203,HAIR04
1546166,HAIR05
1995726,RT_EAR
2048398,HAIR01
2129509,TAILEND
2137644,BN_JAW
2175949,FX_NODE
2197236,BONE002
2207551,BONE003
2218580,BONE004
2227845,BONE005
2230711,BONE012
2237698,BONE006
2241026,BONE013
2252055,BONE014
2257295,BONE007
2261320,BONE015
2268198,BONE008
2271173,BONE016
2276707,BONE009
2290770,BONE017
2301673,BONE018
2369722,BN_LEYE
2382915,FX_EYES
2402908,BN_REYE
2513941,EAR_LFT
2554102,JAWBONE
2567885,WINGFL02
2579310,WINGFL03
2600785,FINGER02
2612210,FINGER03
2624451,FINGER04
2625264,TONGUE02
2626838,WINGML02
2627039,WINGFR02
2634676,FINGER05
2636689,TONGUE03
2638263,WINGML03
2638464,WINGFR03
2645573,FINGER06
2667606,FINGER07
2679703,FINGER08
2685992,WINGMR02
2689064,FINGER09
2697417,WINGMR03
2710185,BELLY01
2808329,BONE010
2813883,BONE001
2847358,BONE011
2970019,WINGBL02
3029173,WINGBR02
3183332,FX_MOUTH
3272988,WINGFL01
3305888,FINGER01
3330367,TONGUE01
3331941,WINGML01
3332142,WINGFR01
3391095,WINGMR01
3542470,FX_NODE02
3655300,JAWLEFT02
3675122,WINGBL01
3698859,BONE_JAW
3734276,WINGBR01
3902617,WINGMBL02
3916890,WINGMBL03
3971479,WINGMBR02
3985752,WINGMBR03
3996270,BN_JAW01
4104359,FX_NODE_F
4222533,TAILDUMMY
4447121,JAWLEFT01
4528064,BN_LEYE01
4561250,BN_REYE01
4645387,JAWRIGHT02
4694438,WINGMBL01
4763300,WINGMBR01
4815525,FX_NODE_B
4887895,FX_NODE_02
4904274,FX_NODE_03
4982118,IMPACT_FX
5162702,EYELID_LFT
5226964,BIP01_JAW
5252143,EYELID_RGT
5524668,JAWRIGHT01
5651838,FX_XTRA_02
5668217,FX_XTRA_03
5685616,FX_XTRA_04
5700495,FX_XTRA_05
5716214,FX_XTRA_06
5910092,BIP01_HEAD
5956993,SPRITE_JAW
6220894,BIP01_TAIL
6237629,BIP01_NECK
6355235,FX_MOUTH_02
6368851,HEAD_HELPER
6452032,NECK_HELPER
6478915,FX_FATEKILL
6531119,FX_XTRA_01
6709722,FX_HELPER01
6735941,BIP01_TAIL2
6753738,BIP01_TAIL3
6772657,BIP01_TAIL4
6788804,BIP01_TAIL5
6805875,BIP01_TAIL6
6838258,BIP01_TAIL7
6849832,BIP01_SPINE
6856979,BIP01_TAIL8
6873588,BONE_GRIP_L
6991326,BONE_GRIP_R
7123589,EYEBALL_LFT
7133798,SPIKEDUMMY02
