id,value
365021,TEMP_Rumble_Test0
450337,Meteor_Rumbl
450443,Meteor_Cast_Rumbl
458063,React_Blocked_Ligh
458065,React_Blocked_Heav
463775,Player_Staff
464637,Player_Staff
465000,Player_Staff
572427,Player_Hamme
591270,Player_Bow_Charg
591271,Player_Bow_Fir
602088,Player_Scepter_Charge
602090,Player_Scepter_Charge
602267,Player_Scepter_Charge1_
602268,Player_Scepter_Releas
603636,Player_Scepter_ReleaseCharge
604317,Player React Knockdow
604319,Player React Interrup
634955,Reckoning_Ente
634956,Reckoning_O
639642,DetectHidden_Nea
659237,Fate Shift Button Mas
659651,Left Side Heav
659673,Right Side Heav
664800,Fade Out Rumbl
664801,Fade In Rumbl
1521545,Impact_VeryLigh
1521568,Impact_Ligh
1521572,Impact_Norma
1521583,Impact_Heav
1521584,Impact_VeryHeav
1924958,Player_Bow_Chrage
