id,value
8792,color_only
8793,debug_font
8794,depth_solid
8795,flat
8796,flat_mask
8799,snowydot3
8801,snowyvertexblendmodifiedmask
8804,postproc_distort
8806,postproc_downsample_2x
8809,postproc_gaussian_filter
8814,simple_color
8815,simple_constant
8816,simple_masked_texture
8817,simple_material_constant
8818,simple_normal
8819,simple_texture
8820,simple_texture_alpha
8821,simple_weighted_normal
8822,weightedflat
8823,characterrim
8824,cyclicobjecthighlight
8825,distortionbufferwrite
8826,distortionshield
8827,dot3
8828,dot3offset
8830,energyshield
8832,glassmetal
8833,god_rays
8834,interactionobjecthighlight
8841,particledistortion
8842,particlesepia
8843,particle_prealpha
8845,postprocancestor
8846,rock
8848,set_z
8849,set_z_mask
8852,standard
8854,basichighlight
8856,terrain_solid
8857,terrain_solid_debug
8859,treeleaf
8860,trunkdot3
8861,veggiecheap
8863,water
8864,weightedcharacterrim
8866,weighteddot3
8867,weightedstandard
12446,vertexblend
12569,textureblend
14238,scrollingflat
14243,textureblendanddecal
72694,river
137020,textureemissive
147432,disintegrate
162375,energydistortionshield
163234,characterrimnoshadow
199526,diffuseblendemissive
199633,detailnormal
210906,particlefogadditive
210911,particlefogtransparent
257617,textureemissivealphamask
278988,scrollingsmoke
279281,scrollingvapor
334029,postproc_velocity_blur
346703,velocity
346951,fresnelglassmetal
358221,fresnelglassmetalprobe
358224,glassmetalprobe
361694,texturemultiplymask
363355,particlefogadditivesoft
375696,fogadditive
380512,simple_texture_cube
412268,scrollingwaterfall
412422,textureblendnormaledge
412555,scrollingemissive
419915,dot3alpha
430067,emissivewithalphafog
438177,basichighlightalpha
445389,vertexblendmodifiedmask
451382,impostor
454300,characterreflectemissive
476673,postproc_downsample_depth_motion_2x
518262,glassmetalwithemissive
518264,glassmetalwithemissiveprobe
534203,simple_normal_color
545211,characterreflect
545212,characterhardlight
569311,characteremissive
580655,stealth
587414,crystal
609073,vertexblendmodifiedmaskemissive
627234,dot3tint
639332,particlefogtransparentsoft
643576,dot3_2uvs
645605,reckoningvelocity
649436,characterhead
649640,characterskin
677950,dynamicdecal
695766,simple_texture_fog
737390,characterhair
737934,charactereye
740949,postproc_restorescene
769895,devonlycharacterhead
772227,devonlycharacterhair
795758,devonlycharactereye
976276,characterbeard
1260467,minimap
1277779,terrainsolidpvs
1302415,emissivedynamicdecal
1305864,staticdecal
1305865,emissivestaticdecal
1313626,simple_texture_desaturate
1348522,devonlycharacterskin
1360586,normalmappedflipbook
1403279,terrain_distant
1452732,terrain_distant_runtime
1458714,ghostly
1603380,stealthhair
1603382,stealthskin
1604275,stealthbeard
1620957,particlefogadditivedistortion
1695229,characterfaehair
1695242,devonlycharacterfaehair
1702425,hair
1704577,characterfaebeard
1711565,splash
1874181,rivernopointlights
1937892,ui_portrait
2007555,veggieemissive
