id,value
159266,ODV_Sk
159757,LES_Sk
168039,SAN_Sk
185181,BH_Sk
259734,BH_WoSk
266883,BH_TaibaSk
266884,BH_BoneYar
268957,BH_Spook
297485,SAN_Sky_Blu
302377,BH_SKY_TEM
321757,DGN_Mondul_Test_Sk
325844,OUT_FOR_ProtoTyp
426542,FOR_Spide
432725,DMO_M1_Sk
449362,DMO_M1_SkyRuins0
449459,DMO_M1_SkyRuins0
449460,DMO_M1_SkyRuins0
467449,JoshCombat_Sk
469016,OUT_PLN_Sk
507070,SA06_WhiteSk
511893,DEV_BlackSk
530075,OUT_DET_Sk
568814,OUT_ALA_Sk
576135,DGN_NCA_Sk
585036,DGN_SHO_Sk
588407,OUT_DAL_Josh_Sk
602342,OUT_ALA_SkyFores
612495,OUT_KLU_Sk
615507,CTY_Adessa_Sk
664522,OUT_ALA_SkyCreep
664948,OUT_ALA_Sky
710620,OUT_PLN_Sky_0
731618,OUT_DET_Arena_Sk
974334,CTY_YSA_Sk
1249928,CTY_DOK_Sky_Nigh
1260794,CTY_MelSenchir_BossBattl
1260873,CTY_MelSenshir_BossBattle_Sk
1261207,OUT_FOR_ProtoTypeSpook
1262642,DGN_SHO_Sky_0
1436556,OUT_DET_Spooky_Sk
1437962,OUT_FOR_ProtoTypeFogg
1448618,OUT_OUT_Dalentarth_Nyrali
1474233,OUT_Dalentarth_Nyralim_Cente
1493845,OUT_ALA_Spooky_Sk
1497846,SKY_OUT_Alabastra_Fogg
1529541,CTY_MelSenshir_Sk
1529566,CTY_MelSenshir_Shrine_Sk
1530410,CTY_MelSenshir_Docks_Sk
1539186,OUT_ALA_Sky_CourtofWinte
1539281,OUT_ALA_Bhaile_Sk
1542903,OUT_Dalentarth_Sidhe_Sk
1548119,OUT_KLU_Sky_Fogg
1553400,OUT_DAL_Webwood_Sk
1558868,CIN_OUT_PLN_Sk
1579173,CTY_Rathir_Sk
1605868,CIN_OUT_FOR_ProtoTypeFogg
1649281,OUT_Dream0
1661888,CTY_MelSenshir_Bossbattle_InsideSk
1663674,OUT_KLU_Keening_Foggy_Sk
1663676,OUT_KLU_Keening_Lower_Sk
1670385,OUT_DAL_HOB_Grounds_Sk
1681723,CIN_OUT_ALA_Sky_CourtofWinte
1694365,ArchsageDreamworld_01_Sk
1701714,OUT_ALA_Spooky_Green_Sk
1704856,CTY_Rathir_Open_Sk
1704863,CTY_Rathir_Spooky_Sk
1707996,OUT_KLU_Sky_Midde
1709330,CTY_MelSenshir_Open_Sk
1719208,CTY_Rathir_Slum_Sk
1735282,OUT_PLN_Skycrown_Sk
1737905,OUT_PLN_Spooky_Sk
1768035,CTY_MelSenshir_BossBattle_Platform_Sk
1808900,DMO_MoveCaptur
1878533,DLC1_OUT_GAL_Sk
1878543,OUT_GAL_Fores
1896985,DLC2_OUT_TON_Sk
1899076,DLC2_SEW_Defaul
1911902,DLC1_OUT_GAL_SkySpook
1912750,OUT_KLU_Sky_Foggy_IsleofEamon
2005108,CIN_OUT_Destiny_Cards_Sk
2059617,DLC2_TMP_Blackness_Sk
2090742,DLC2_TON_Spooky_Sk
2096484,DLC2_OUT_TON_Quarry_Sk
2098571,DLC1_OUT_GAL_Keep_Sky_Stage_
2100209,DLC2_OUT_TON_KahrunkTower_Sk
