id,value
0,Uninited_Soun
2570466,event0
4610446,DLC2_Haw
4669018,DLC2_Bug
8127057,DLC2_UI_Evi
8173181,DLC2_Wind_L
8484724,DLC2_Lake_L
9458709,DLC2_Flies_L
10752556,DLC2_Fire_Kol
11081924,DLC2_UI_Ladde
11486931,DLC2_Rock_Rin
11493550,DLC2_Fire_Blu
11674102,DLC2_Fire_Wal
11960635,DLC2_Egg_Burs
12701083,DLC2_Pteryx_Di
12719200,DLC2_SEW_DoorL
13385175,DLC2_Glass_Loo
13596708,DLC2_Creepy_Ur
14719600,DLC2_Pos_Fire_L
14792987,DLC2_Primos_Jum
15182868,DLC2_Statue_Mov
15360856,DLC2_Pteryx_Hur
15532531,DLC2_Pteryx_Fat
15698856,DLC2_Pteryx_Fla
16636579,DLC2_Pteryx_Cal
17173366,DLC2_Pteryx_Shor
17192012,DLC2_Heavy Wind E
17387546,DLC2_Pteryx_Aggr
17447179,DLC2_UI_Fill_Vas
17934044,DLC2_Music_Idyll
18346885,DLC2_SEW_Stonethu
18532600,DLC2_Fishfood_Pou
18807388,DLC2_SEW_Door_Ope
19166810,DLC2_Kollossae_Hi
19231392,DLC2_Lake_LP_Quie
19478992,DLC2_UI_Crowd_Am
19782712,DLC2_Primos_Charg
20190821,DLC2_Hyperion_Bea
20221134,DLC2_UI_Magic_Fad
20563032,DLC2_Pteryx_Breat
21463898,DLC2_Pteryx_Feathe
21534857,DLC2_Kollossae_Mov
21677238,Mud_Footstep_Ptery
21841711,DLC2_Plant_Waterin
21899683,DLC2_FX_Water_Drip
22041468,DLC2_Pteryx_Attac
23527934,DLC2_Cine_Hyper_Tim
23668037,Pos_WaterfallSm_DLC
24083315,Wood_Footstep_Ptery
24152585,Dirt_Footstep_Ptery
24171037,DLC2_Rubble_Pile_Hi
24217026,DLC2_Kollossae_Deat
24245388,DLC2_Kollossae_Grun
24482161,DLC2_Kollossae_Laug
24585051,DLC2_Cine_Hyper_Time
25463264,Pos_WaterfallMed_DLC
25893454,DLC2_Primal_Magic_L
26729986,Stone_Footstep_Ptery
26818657,DLC2_Rubble_Pile_Gri
27021159,Grass_Footstep_Ptery
27311455,DLC2_Cine_Hyper_Quak
28013306,DLC2_Bank_Coyote_How
28180314,DLC2_Primos_RockEmerg
28708621,DLC2_Primal_Magic_TR
29106407,DLC2_Crystal_Rocks_L
29649508,DLC2_Cine_Primos_Grun
29714350,Gravel_Footstep_Ptery
29952873,DLC2_Kollossae_Attac
30073955,DLC2_UI_Scroll_Putdow
30363318,DLC2_AlmainMale_Denri
30673244,DLC2_Pos_Waterfall_To
31190561,DLC2_Kollossae_Threehi
31335202,DLC2_Cine_Secandra_Hi
31512207,DLC2_Hyperion_Activat
31862412,DLC2_Cine_SEW_Stonethu
31893173,DLC2_Hyperion_Door_Mov
32154292,DLC2_Kollossae_Footste
32457621,DLC2_Cine_SEW_Door_Ope
32992148,DLC2_Hyper_Walkway_Or
33253709,DLC2_Rubble_Pile_Debri
33304640,DLC2_UI_Altar_Activat
34031308,DLC2_Primal_Magic_Swin
35104032,Pos_WaterfallSm_log_DLC
35144594,DLC2_Cine_Hyper_Retrac
35466160,DLC2_Brick_N_Stone_Slid
35886599,DLC2_Primos_Rock_Impac
36011202,DLC2_Kollossae_Move_Sof
36133999,DLC2_Cine_Primos_Attac
36208490,DLC2_SEW_Stonescrape_Me
36209317,DLC2_KollossaeMale_Piou
36640444,DLC2_Cinematic_Rogue_Hi
36646528,DLC2_KollossaeMale_Guar
37083997,DLC2_Kollossae_Grunt_Bi
37296563,DLC2_KollossaeMale_Brut
37925724,DLC2_SEW_Stonescrape_Bi
38104512,DLC2_Cine_Secandra_Grun
38368114,DLC2_Music_Rogue_Vignett
38846625,DLC2_Crystal_Rocks_Sm_L
39063701,DLC2_Brick_N_Stone_Latc
39074282,DLC2_Brick_N_Stone_Bric
39279188,DLC2_Music_Boss_Anokato
39642214,DLC2_Cine_Hyper_Fate_Ful
40028186,DLC2_Primal_Magic_Impac
40239714,DLC2_Cine_Hyper_Rock_Ope
40444770,DLC2_Crystal_Rocks_Shrin
40517809,DLC2_Cine_Hyper_Rock_Mov
41268468,DLC2_Cine_Hyper_Ring_Bas
41431721,DLC2_Wind_Shrine_Activat
41453551,DLC2_Cine_Secandra_IceHi
41833939,DLC2_Cine_Hyper_Fate_Suc
42474237,DLC2_KollossaeFemale_Piou
42488234,DLC2_Cinematic_Rogue_Fles
42787210,DLC2_Cinematic_Rogue_HitF
42836025,GrityStone_Footstep_Ptery
42943884,DLC2_KollossaeFemale_Guar
43321637,DLC2_KollossaeMale_Villai
43581954,DLC2_Kollossae_Attack_Bi
43657915,Pos_WaterfallSm_LOG_A_DLC
43689291,DLC2_KollossaeFemale_Brut
43810466,DLC2_KollossaeMale_Haught
43965101,DLC2_Cine_Hyper_Energybal
44028773,DLC2_Cine_Primos_Grunt_Bi
44306188,DLC2_Pteryx_Celebrate_Lon
45042528,DLC2_SEW_Stonescrape_Smal
45669528,DLC2_Primal_Magic_Impact_
46521788,DLC2_Cine_Primos_Long_Grun
46780785,DLC2_Music_Idylla_Interior
46865461,DLC2_KollossaeMale_Doubtin
46945393,DLC2_Hyperion_Beam_Exterio
47207359,DLC2_VoiceType_Unique_Arke
47844859,DLC2_Voicetype_Unique_Pagu
47919522,DLC2_Primos_Lightning_Strik
48212192,DLC2_Cine_Hyper_Rock_Debri
48358058,DLC2_VoiceType_Unique_Ethen
48733199,DLC2_Pteryx_Celebrate_Shor
49080959,DLC2_Kollossae_Threehit_Exp
49681923,DLC2_Cine_Hyperion_Door_Mov
49783193,DLC2_Cinematic_Rogue_Trigge
49946686,DLC2_Cine_Hyper_Fate_Impac
50024578,DLC2_Primos_Lightning_Charg
50205505,DLC2_KollossaeFemale_Villai
50224076,DLC2_Music_Idylla_Flythroug
50275725,DLC2_Cine_Hyper_Rock_Scrap
50536344,DLC2_Hyperion_Rock_Activat
50683042,DLC2_SEW_Stonescrape_Medplu
50727250,DLC2_KollossaeFemale_Haught
50963637,DLC2_Music_Anokatos_Vignett
51108227,DLC2_Brick_N_Stone_Slide_Bi
51117258,DLC2_Cine_Primos_Attack_Bi
51120287,DLC2_SEW_Nerotelos_Cage_Ope
51439020,DLC2_SEW_Nerotelos_Cage_Mov
52199695,DLC2_Cine_Hyper_Fate_Stream
52542308,DLC2_Cine_Hyper_Impact_Swee
52893413,DLC2_Cine_Hyper_Rocks_Tumbl
53072040,DLC2_KollossaeMale_Default_0
53124487,DLC2_KollossaeMale_Default_0
53746579,DLC2_Cine_Secandra_Grunt_Bi
54109671,DLC2_KollossaeFemale_Doubtin
54412695,DLC2_Kollossae_Threehit_Trai
54592368,DLC2_Voicetype_Unique_RatKin
55617007,DLC2_KollossaeMale_Default_0
56225769,DLC2_Cinematic_Rogue_ScaredF
56701554,DLC2_SEW_Nerotelos_Cage_Clos
56897768,DLC2_Cinematic_Rogue_Barefoo
56953658,DLC2_KollossaeUnarmed_Handfir
57685817,DLC2_Voicetype_Unique_Onesimo
58730558,DLC2_Brick_N_Stone_Slide_Shor
59042662,DLC2_Hyperion_Breath_Activat
59459484,DLC2_Music_Teeth_Of_Naros_Am
60818126,DLC2_KollossaeFemale_Default_0
60875397,DLC2_KollossaeFemale_Default_0
61007166,DLC2_SEW_Nerotelos_Cage_Rattl
61078448,DLC2_VoiceType_Unique_Anokato
61475367,DLC2_Cinematic_Rogue_Arrow_Hi
61536659,DLC2_Music_Teeth_Of_Naros_Mai
61920181,DLC2_VoiceType_Unique_Secandr
63537401,DLC2_KollossaeFemale_Default_0
64210543,DLC2_KollossaeMale_Default_02_
64722548,DLC2_SEW_Nerotelos_Cage_Open_S
66755510,DLC2_KollossaeMale_Default_01_
69212414,DLC2_KollossaeUnarmed_Fireimpac
70580797,DLC2_VoiceType_VaraniFem_Mercnr
72372749,DLC2_Cinematic_Rogue_BladeScrap
72946398,DLC2_Cine_Secandra_IceHitSweetne
73338135,DLC2_Cinematic_Rogue_Arrow_Flyb
74850210,DLC2_VoiceType_Unique_HelycCross
78819290,DLC2_Music_Secandra_Intro_Vignett
79551568,DLC2_Cinematic_Rogue_Bodyfall_Lon
82114346,DLC2_VoiceType_AlfarMale_Mercenar
82391775,DLC2_Cine_Rock_Debris_Impact_Larg
93804741,DLC2_SEW_Nerotelos_Cage_Metal_Scrap
97250362,DLC2_Kollossae_Threehit_Electricburs
