id,value
4718,legacy_set
4720,terrainpal-odayle_valley
101423,graybox
154921,terrainpal-odayle_valleylesion
159935,tmp_footstep_palette
173898,terrainpal-black_hills
228075,terrainpal-stronghold
302316,terrainpal-odv_to_bh
325525,out_for_prototype
469020,out_pln_palletset
529345,out_det_palletset
568807,out_ala_palletset
612494,out_klu_palletset
686525,dmo_viewerscene
1402999,out_ala_bhaile_palleteset
1425997,cty_rathir_palletset
1450690,cty_rathir_scholia_arcana_palletset
1528097,cty_melsenshir_palletset
1528214,cty_melsenshir_bossbattle_palletset
1600365,cty_adessa_paletteset
1611943,cty_ysa_paletteset
1878547,dlc1_out_gal_palletset
1897015,dlc2_out_ton_palletset
1904582,dlc1_int_dvg
2059631,dlc2_tmp_blackness
2500214,out_mit_palletset
