id,value
466001,niskaru_entranc
466009,Niskaru_deat
492784,Dagger_backstab_Jottu
502280,Dagger_backstab_Huma
542053,Camera1
546254,LORE_Ques
572699,Coilsbane_Entranc
576746,Jottun_Hammer_Finis
576887,Jottun_Hammer_Finish_AL
577683,niskaru_counterblade
580318,Jottun_Dagger_Finis
580483,Player_Counterblades_Niskar
580490,Player_Hammer_Niskar
634957,sync_fate_humanmal
645707,sync_fate_humanmale_0
649070,sync_fate_Niskar
688996,sync_fate_Boggar
689642,sync_fate_Jottu
727897,sync_fate_trol
729081,sync_fate_Barghes
1241547,sync_fate_kobold
1244828,sync_fate_bolga
1265382,sync_fate_sprit
1357697,balor_eyebeam_intr
1357972,balor_bridg
1393115,sync_fate_Leanash
1396672,MelSenshir_ladder_flythroug
1396673,ladder_kic
1401347,sync_fate_Bogeyma
1402184,CTY_Mel_BossBattle_BridgeDestro
1426094,sync_fate_balor_0
1426095,sync_fate_balor_0
1438048,sync_fate_NiskaruHunte
1438049,Sync_fate_Human_0
1466763,sync_fate_Banshae
1472326,Sync_Fate_Human0
1478458,Agarth_Ettin_Encounte
1479190,Agarth_Ettin_Meetin
1522167,sync_fate_Thres
1536427,Tirnoch_Transition_Stg
1539881,Tirnoch_HeadButt_Stg
1540956,well_of_souls_entranc
1553823,Sync_fate_human_0
1578747,well_of_souls_hughes_greetin
1580607,Dagger_backstab_Human_0
1584359,sync_fate_troll_AL
1584477,GDC_Troll_UrulTus
1584504,sync_fate_Boggart_AL
1584505,sync_fate_kobold_AL
1613568,Tirnoch_Transition_Stg
1627874,Tirnoch_Reckoning_Stg
1649714,Tirnoch_Reckoning_Stg
1664519,Dagger_Human_stealthkill_0
1665613,Dagger_Gome_Stealth_Kill_0
1675915,Dagger_Human_stealthkill_02_CAM_
1677703,Tirnoch_HeadButt_Stg
1678290,Tirnoch_Reckoning_Stg
1684168,Tirnoch_Fate_Shif
1694085,Dagger_Murghan_stealthkill_0
1698476,sync_fate_GiantSpide
1704300,Dagger_Bolgan_stealthkill_0
1716083,sync_fate_Gnome_0
1725340,sync_fate_Human_0
