id,value
1445206,alchemy_0
1445616,alchemy_0
1445618,alchemy_0
1445619,blacksmithing_0
1445620,blacksmithing_0
1445621,blacksmithing_0
1445716,combat_0
1445717,combat_0
1446652,combat_0
1446653,combat_0
1446654,combat_0
1446656,combat_1
1446659,combat_1
1446660,combat_1
1446661,combat_1
1446662,combat_1
1446663,combat_1
1446788,crime_0
1446789,crime_0
1446870,destiny_0
1446871,exploration_0
1446872,exploration_0
1446873,money_0
1446875,other_0
1446876,other_0
1446877,quest_1
1465908,quest_1
1465910,quest_1
1465911,quest_1
1465912,quest_1
1465914,quest_2
1465915,quest_2
1465916,quest_2
1465917,quest_2
1465923,sagecraft_0
1492172,exploration_0
1509517,destiny_0
1509727,destiny_0
1826372,crime_0
1826424,other_0
1826428,other_0
1826476,sagecraft_0
1826479,stealth_0
1826493,exploration_0
1826983,crime_0
1827003,crime_0
1828036,quest_2
1828037,silly_0
1829350,quest_2
2003275,combat_1
2073667,DLC2_quest_0
2073668,DLC2_quest_0
2073669,DLC2_quest_0
2073670,DLC2_quest_0
2073671,DLC2_combat_0
2104255,DLC1_combat_0
2104256,DLC1_quest_0
2104257,DLC1_quest_0
2104258,DLC1_quest_0
2104259,DLC1_quest_0
2112834,DLC2_silly_0
