id,value
15331,roo
109557,combat_behavio
109558,noncombat_behavio
109559,idle_behavio
109560,combat_idle_behavio
109583,melee_combat_behavio
109589,melee_combat_approach_behavio
109614,melee_attack_behavio
110947,wander_behavio
157241,ranged_combat_behavio
157243,ranged_special_attac
157443,melee_combat_stepback_behavio
159278,circle_to_assigned_slo
161651,check_for_better_slo
166020,follow_basi
166477,follow_comba
166970,ranged_maintain_rang
237612,activity_behavio
237758,activity_goto_behavio
237760,activity_interact_behavio
238944,protector_behavio
238946,move_to_protect_behavio
240299,ranged_dodge_attac
241723,berserk_behavio
251924,celebrate_behavio
252448,knockback_behavio
327510,script_strict_behavio
327512,script_loose_behavio
365030,goto_location_behavio
366449,move_along_waypoints_behavio
386700,find_and_use_bed_behavio
410000,activity_patrol_behavio
414852,chicken_behavio
416631,flee_behavio
419011,coward_behavio
461684,investigate_sensory_inpu
484205,stealth_reaction_behavio
534085,teleport_behavio
535206,summoning_behavio
535208,summon_ally_behavio
535210,heal_summoned_ally_behavio
612787,trespass_behavio
612789,trespass_warn_behavio
618417,trespass_announce_crime_behavio
650684,escort_behavio
652042,niskaru_hunter_respond_to_bleeding_behavio
652109,niskaru_hunter_respond_to_noise_behavio
652111,niksaru_hunter_respond_to_peripheral_sense_behavio
679120,guard_despawn_behavio
679144,guard_defeat_player_behavio
679157,guard_seek_wanted_player_behavio
679162,guard_goto_crime_location_behavio
679164,guard_investigate_crime_location_behavio
679805,guard_approach_to_arrest_behavio
691355,citizen_report_crime_behavio
691357,citizen_shout_to_report_crime_behavio
691359,citizen_goto_report_crime_behavio
731548,panic_behavio
1301337,bogeyman_combat_behavio
1301343,bogeyman_ranged_combat_behavio
1331831,banshaen_combat_behavio
1331833,banshaen_ranged_combat_behavio
1339225,activity_cleanup_behavio
1340308,combat_investigate_sensory_inpu
1341328,archer_cower_behavio
1341433,archer_volley_behavio
1342622,archer_solo_behavio
1362828,tilera_combat_behavio
1362829,tilera_special_attack_ranged_behavio
1362830,tilera_special_attack_shield_behavio
1363324,malwyn_combat_behavio
1364422,malwyn_ranged_combat_behavio
1386742,banshaen_relocate_behavio
1425676,aggro_behavio
1444505,thresh_consume_boggart_behavio
1504972,tirnoch_stage1_behavio
1504976,tirnoch_stage2_behavio
1504977,tirnoch_stage3_behavio
1511547,tirnoch_transition_behavio
1619686,cow_behavio
1625937,beastmaster_behavio
1635929,tirnoch_spawn_minion_behavio
1683594,crab_behavio
1691460,balor_combat_behavio
1703375,balor_normal_combat_behavio
1703405,balor_low_health_combat_behavio
1703676,nonhostile_sensory_decay_behavio
1716155,loanshark_defeat_player_behavio
1716172,loanshark_seek_wanted_player_behavio
1716176,loanshark_approach_to_collect_behavio
1716981,loanshark_despawn_behavio
1729116,archer_combat_behavio
1732489,activity_dropoff_behavio
1789163,archer_flee_behavio
1803278,script_idle_behavio
1803283,script_escort_player_behavio
1803284,script_approach_actor_behavio
1803286,script_goto_waypoints_behavio
1881332,wintersembrace_behavio
1927196,sorcerer_goto_shield_behavio
1927198,sorcerer_stay_within_shield_behavio
1955216,activity_idle_behavio
1985993,follow_fleeing_player_behavio
1993075,return_to_idle_location_behavio
