id,value
101035,Empt
101036,Idle_Onl
237034,Base_Enem
379310,Base_Guar
420805,Chicke
494556,Boggar
494558,Niskaru_Type
517960,Browni
534086,Sorcere
535204,Summone
569756,Jottu
652043,NiskaruHunte
752363,QA_RayM_Chicken_BehaviorTre
1251868,Sprit
1252755,Bolga
1300978,Bogeyma
1331834,Banshae
1340586,Arche
1362692,Tiler
1363123,Malwy
1444506,Thres
1502484,Tirnoc
1619687,Co
1625932,Etti
1646194,Splinte
1683592,Cra
1686687,Balo
1695155,Echoe_of_Fat
1716177,Loanshar
1881333,WintersEmbrac
2039876,DLC1_DeadKe
2096587,DLC1_Cra
