id,value
213747,itembuff_firedotflat_01
213748,itembuff_lightningdmgflat01
213750,itembuff_poisondotflat01
213789,itembuff_iceresistance_01
213791,itembuff_fireresistance_01
213792,itembuff_lightningresistance_01
350982,shrine_damagebonus
357215,alchemy_firedamage_01
357253,alchemy_criticalchance_01
385267,itembuff_magearmor_manaregen_torso01
385357,destiny_fatelessone
387029,itembuff_magearmor_manaregen_head01
387030,itembuff_magearmor_manaregen_hands01
387031,itembuff_magearmor_manaregen_legs01
387032,itembuff_magearmor_manaregen_feet01
398707,shrine_armorbonus
398708,shrine_regenhp
398709,shrine_regenmp
398711,finesse_assassinsart_01
411242,m0_debuff_healthdegen
411489,itembuff_icedmgflat01
411498,itembuff_icedotflat01
417714,itembuff_lightningdotflat01
417757,itembuff_firedmgflat_01
417806,itembuff_lightningdmgpercent_01
417809,itembuff_bleedingdotflat01
417907,itembuff_lightningdurationpercent01
417965,itembuff_piercedmgflat01
418189,itembuff_healthregenpercent01
418198,itembuff_criticalhitchancebonus_01
418203,itembuff_skillbonus_alchemy_01
418204,itembuff_skillbonus_dispelling_01
418205,itembuff_skillbonus_blacksmithing_01
418206,itembuff_skillbonus_detecthidden_01
418207,itembuff_skillbonus_persuasion_01
418208,itembuff_skillbonus_lockpicking_01
418209,itembuff_skillbonus_mercantile_01
418211,itembuff_skillbonus_sagecraft_01
418213,itembuff_speedbonus01
418217,itembuff_healthmaxincreasepercent_01
424115,dev_nullbuff
424413,finesse_longbowmastery_01
424417,finesse_longbowmastery_02
424418,finesse_longbowmastery_03
424433,sorcery_overload_buff01
426662,itembuff_totalresistance01
426663,itembuff_magicresistance_01
447084,debuff_healthdegenovertime
448116,unlock_teleport
460013,might_adrenaline_surge_buff01
460014,might_adrenaline_surge_buff02
460015,might_adrenaline_surge_buff03
460029,might_bulwark_01
460030,might_bulwark_02
460031,might_bulwark_03
460032,might_powerstrike_buff01
460033,might_powerstrike_buff02
460034,might_powerstrike_buff03
464590,tr02_ametairbuff
465778,finesse_drawpower_buff01
465779,finesse_drawpower_buff02
465780,finesse_drawpower_buff03
465781,finesse_enduringagony_buff01
465782,finesse_enduringagony_buff02
465783,finesse_enduringagony_buff03
465784,finesse_execution_buff01
465785,finesse_execution_buff02
465786,finesse_execution_buff03
465792,finesse_inocculated_buff01
465794,finesse_inocculated_buff02
465795,finesse_inocculated_buff03
465821,sorcery_elementalattunement_buff01
465851,sorcery_fulmination_buff01
465862,sorcery_mysticism_buff01
467988,buff_slowtime
468394,destiny_fighter_01
468395,destiny_fighter_02
468396,destiny_fighter_03
468397,destiny_fighter_04
468398,destiny_fighter_05
468399,destiny_fighter_06
468403,destiny_rogue_06
468404,destiny_rogue_05
468405,destiny_rogue_04
468406,destiny_rogue_03
468407,destiny_rogue_02
468408,destiny_rogue_01
468409,destiny_mage_01
468410,destiny_mage_02
468411,destiny_mage_03
468412,destiny_mage_04
468413,destiny_mage_05
468414,destiny_mage_06
468421,destiny_fightermage_05
468422,destiny_fightermage_04
468423,destiny_fightermage_03
468424,destiny_fightermage_02
468425,destiny_fightermage_01
468654,destiny_fighterrogue_01
468655,destiny_fighterrogue_02
468656,destiny_fighterrogue_03
468657,destiny_fighterrogue_04
468658,destiny_fighterrogue_05
468659,destiny_magerogue_01
468660,destiny_magerogue_02
468661,destiny_magerogue_03
468662,destiny_magerogue_04
468663,destiny_magerogue_05
468670,destiny_jackofalltrades_01
468671,destiny_jackofalltrades_02
468673,destiny_jackofalltrades_03
468675,destiny_jackofalltrades_04
468676,destiny_jackofalltrades_05
469096,destiny_jackofalltrades_06
469099,destinybuff_fighter_06a
469100,destinybuff_fighter_05a
469101,destinybuff_fighter_04a
469102,destinybuff_fighter_03a
469103,destinybuff_fighter_02a
469104,destinybuff_fighter_01a
469147,destinybuff_fighter_01b
469148,destinybuff_fighter_02b
469149,destinybuff_fighter_03b
469150,destinybuff_fighter_04b
469151,destinybuff_fighter_05b
469152,destinybuff_fighter_06b
469167,destinybuff_fighter_06c
469168,destinybuff_fighter_05c
469169,destinybuff_fighter_04c
469170,destinybuff_fighter_03c
469215,destinybuff_fighter_05d
469216,destinybuff_fighter_06d
469477,destinybuff_rogue_06d
469478,destinybuff_rogue_06c
469479,destinybuff_rogue_06b
469480,destinybuff_rogue_06a
469481,destinybuff_rogue_05d
469482,destinybuff_rogue_05c
469483,destinybuff_rogue_05b
469484,destinybuff_rogue_05a
469485,destinybuff_rogue_04c
469486,destinybuff_rogue_04b
469487,destinybuff_rogue_04a
469488,destinybuff_rogue_03c
469489,destinybuff_rogue_03b
469490,destinybuff_rogue_03a
469491,destinybuff_rogue_02b
469492,destinybuff_rogue_02a
469493,destinybuff_rogue_01b
469494,destinybuff_rogue_01a
470299,destinybuff_mage_06d
470300,destinybuff_mage_06c
470301,destinybuff_mage_06b
470302,destinybuff_mage_06a
470303,destinybuff_mage_05d
470304,destinybuff_mage_05c
470305,destinybuff_mage_05b
470306,destinybuff_mage_05a
470307,destinybuff_mage_04c
470308,destinybuff_mage_04b
470309,destinybuff_mage_04a
470310,destinybuff_mage_03c
470311,destinybuff_mage_03b
470312,destinybuff_mage_03a
470313,destinybuff_mage_02b
470314,destinybuff_mage_02a
470315,destinybuff_mage_01b
470316,destinybuff_mage_01a
470501,destinybuff_fightermage_05a
470502,destinybuff_fightermage_04a
470503,destinybuff_fightermage_03a
470504,destinybuff_fightermage_02a
470505,destinybuff_fightermage_01a
470508,destinybuff_fightermage_01b
470509,destinybuff_fightermage_02b
470510,destinybuff_fightermage_03b
470511,destinybuff_fightermage_04b
470512,destinybuff_fightermage_05b
470642,destinybuff_fightermage_02c
470643,destinybuff_fightermage_03c
470644,destinybuff_fightermage_04c
470645,destinybuff_fightermage_05c
470646,destinybuff_fightermage_04d
470647,destinybuff_fightermage_05d
470648,destinybuff_fightermage_03d
470649,destinybuff_fightermage_04e
470650,destinybuff_fightermage_05e
470652,destinybuff_fightermage_05f
470653,destinybuff_fighterrogue_05f
470654,destinybuff_fighterrogue_05e
