id,value
680935,TMP_Cinemati
1426746,TMP_CIN_03_02_01
1437132,TMP_CIN_02_01_01
1558692,TMP_CIN_00_00_01
1622425,TMP_CIN_00_00_030_A
1622426,TMP_CIN_00_00_030_A
1622427,TMP_CIN_00_00_030_V
1622428,TMP_CIN_00_00_030_V
1622435,TMP_CIN_00_00_030_L
1622436,TMP_CIN_00_00_030_L
1622437,TMP_CIN_00_00_030_D
1622438,TMP_CIN_00_00_030_D
1626002,TMP_CIN_00_00_05
1638646,TMP_CIN_JoshRef_00_00_01
1641060,TMP_CIN_01_00_03
1642461,TMP_CIN_00_00_050_
1642462,TMP_CIN_00_00_050_
1649318,TMP_CIN_00_00_050_
1654524,Cinematic_00_00_Part
1654551,Cinematic_00_00_Part2_A
1654558,Cinematic_00_00_Part2_A
1654559,Cinematic_00_00_Part2_D
1654560,Cinematic_00_00_Part2_D
1654561,Cinematic_00_00_Part2_L
1654562,Cinematic_00_00_Part2_L
1654563,Cinematic_00_00_Part2_V
1654564,Cinematic_00_00_Part2_V
1654565,Cinematic_00_00_Part3_
1654566,Cinematic_00_00_Part3_
1662008,TMP_Cinematic_01_00_Part
1662395,TMP_Cinematic_01_00_Part
1662396,TMP_Cinematic_01_00_Part
1665969,TMP_Cinematic_01_00_Part
1675932,CIN_01_00_Part
1680348,CIN_01_00_part
1682247,CIN_01_00_Part
1695857,CIN_01_0
1723070,CIN_01_00_Part
1723114,TMP_CIN_03_0
1753129,CIN_03_01_Part
1753132,CIN_03_01_Part
1753267,CIN_03_0
1754437,CIN_06_0
1805522,CIN_03_0
1808506,CIN_02_0
1847580,Cinematic_01_0
1859613,CIN_03_0
1862739,CIN_02_01_Part
1864098,CIN_02_01_Part
1864914,CIN_02_01_Part
1876356,Cinematic_03_0
1879775,Cinematic_01_0
1880989,Temp_03_04_06
1883647,Cinematic_03_0
1883832,Cinematic_03_0
1884458,Cinematic_06_0
1893042,Cinematic_02_0
1895981,Cinematic_03_0
1896773,Cinematic_03_0
1906204,CIN_03_03_Part1_RunTim
1906206,CIN_03_03_Part2_PreRende
1906207,CIN_03_03_Part3_RunTim
1906933,CIN_06_0
1908930,CIN_01_00_Lette
1909165,Cinematic_06_0
1909249,CIN_01_00_FlyThroug
1915782,Vignette_WellOfSouls_Tuatha_PlaceBom
1923255,CIN_03_02_Shot100_Runtim
1923774,Vignette_OUT_DAL_West_01_AgarthIntr
1924034,CIN_06_01_Shot170_BlackBo
1924956,Vignette_OUT_DAL_West_01_AgarthAmbus
1928740,Vignette_OUT_DAL_West_01_AgarthAmbush_Rogu
1934814,Vignette_TheaterOfFates_AlynShir_Intr
1935616,Vignette_WellOfSouls_Hughes_La
2005704,CIN_01_0
2007797,DLC1_WhisperingWitch_Intro_Vignett
2017841,DLC1_Altar_Magic_Infus
2018042,DLC1_Player_Shipwrecke
2018102,DLC1_Dead_Kel_Intr
2018633,Balor_Stage_4_Entranc
2018873,DLC1_Sit_In_Throne_Enter_Lvl_
2018970,DLC1_Sit_In_Throne_Exit_Lvl_
2022944,CIN_01_00_030_GrassPopFi
2022945,CIN_01_00_040_GrassPopFi
2022946,CIN_01_00_050_GrassPopFi
2022947,CIN_01_00_060_GrassPopFi
2022948,CIN_01_00_070_GrassPopFi
2022949,CIN_01_00_080_GrassPopFi
2023086,DLC1_Sit_In_Throne_Enter_Lvl_
2023087,DLC1_Sit_In_Throne_Enter_Lvl_
2023089,DLC1_Sit_In_Throne_Enter_Lvl_
2023183,DLC1_Sit_In_Throne_Exit_Lvl_
2023190,DLC1_Sit_In_Throne_Exit_Lvl_
2023193,DLC1_Sit_In_Throne_Exit_Lvl_
2031991,Vignette_WellOfSouls_Troll_Deat
2041209,DLC2_NPC_Rogue_Trap_Deat
2041214,DLC1_Grimjaw_Intro_Vignett
2044271,DLC1_Baronet_Intro_Vignett
2050218,DLC2_Secandra_Intr
2051916,DLC2_Anokatos_Intr
2087665,DLC2_Openin
2087678,DLC1_Openin
2096481,DLC1_DeadKel_BossFight_Intr
2100501,DLC2_Hyperion_Risin
2104457,DLC2_Hyperion_Rising_Exterio
2116833,DLC2_CIN_Hyperion_Antechamber_Doo
2125366,DLC2_Primos_Secandra_Tra
2126672,DLC2_Secandra_Trap_Exi
