id,value
4724,Alars_Haste_pop_0
4725,Alars_Haste_pop_0
4727,ambient_dust_0
4729,ambient_dust_0
4730,Ambient_Fog_0
4736,Ambient_Fog_0
4737,Ambient_Dust_Motes_0
4738,Ambient_Dust_Motes_0
4739,Ambient_Moth_0
4740,Ambient_Dust_Motes_0
4754,Ancestral_Runes_0
4757,Bow_Default_Arrow_Trail_0
4759,Hero-Battle_Frenzy_Star
4764,Status-Blood_Player_0
4766,Blood_Status_0
4775,Env-BurningAsh_0
4776,Ambient_candle_flame_cluste
4784,Human-Dazed_Idl
4787,TRL-Hero_Sword_Distor
4799,Dust-CircularImpac
4801,Dust-HandTrai
4802,Dust-Impact_Lrg0
4807,Dust-Footstep_Human_0
4808,Dust-Novar_Ste
4818,Dust-Footstep_Barghes
4833,Fire_Large_01_NoSmok
4834,Fire_Large_01_Magic_Gree
4835,Fire_Large_01_Magic_Purpl
4836,Fire_Medium_01_DUPE0
4837,Fire_Large_01_DUPE0
4838,Fire_Large_0
4839,Fire_Large_01_DUPE0
4840,Fire_Large_0
4841,Fire_Medium_0
4843,Fire_Small_01_NoSmok
4844,Fire_Small_01_DUPE0
4846,Fire_Small_01_DUPE0
4849,Ambient_Fog-Ground_Ligh
4850,Fog_SlowMovin
4851,Fog_SlowMoving_Orang
4858,Tirnoch_Fireball_01_Impac
4859,Tirnoch_Fireball_01_Tendri
4863,Gauntlet_glow_cluster_0
4876,Ambient-GodRay-Large_0
4877,Ambient-Godray_Medium_0
4878,Ambient-Godray_Medium_0
4881,Heal_buff_cluster_0
4883,Hero-HealingSurge_Hands_0
4884,heal_helix_cluster_0
4885,Heal_rays_cluster_0
4892,WOS_Flies_Swarm_0
4893,WOS_Flies_Swarm_0
4900,Leaves-Falling01_Gree
4901,Spell_Lightning_Tempest_Bolt_0
4939,Smoke_LargeDark0
4940,Smoke_LargeThin0
4941,Smoke_Low_Distor
4942,Smoke_SmallDark0
4943,Smoke_SmallDark0
4975,FXtest-energybal
4997,SQ55_Explosio
4998,TEMP_DGN_HOL_Gorguat
5025,Fire_Small_01_Torc
5053,TRL-Blood_0
5061,Ettin_Shaman_Charge_0
16813,SpiritWall-ShieldXtr
17738,Mage_AOE_charge_0
17775,Mage_AOE_charge_0
17782,Mage_AOE_charge_0
17823,Meteor_charge_aura_0
17906,Meteor_Charge_aura_0
17919,Meteor_Charge_aura_0
18623,Mage-Teleport_FX_0
18875,Wisp-Red_Smal
18883,Wisp-Red_Larg
18888,Wisp-Green_Smal
18889,Wisp-Green_Larg
18894,Wisp-Gold_Smal
18907,Wisp-Gold_Larg
19099,Spell-Magnon_BeamCharge01_Or
19133,Spell-Magnon_BeamCharge01_Cor
19589,Spell-Magnon_BeamCharge03_B
21390,test-DarkFlam
24814,Sorcerer_Fire_Attack_Plum
73374,test-DarkFlame_FlameAt0
73621,test-DarkFlameAura_Arm
79689,TRL-Hero_Sword_Defaul
79886,Magnon-BowShot_Releas
79967,Magnon-BowShot_Buildu
87504,test-DarkBeam_GroundF
87548,test-DarkBeam_GrndFX_Emi
87631,test-DarkBeam_ShockWve_0
88786,test-DarkBeam_Ini
88816,test-DarkBeam_Impc
88893,test-DarkBeam_FrntFl
92259,test-DarkBeam_AfterF
102964,Hero-Sword_Impact_Defaul
108210,test-Darkflame_0
110935,FXTest_DarkFlame_Impact_0
