id,value
159787,NPC_Grunt_Sword_0
159826,NPC_SK_Fis
204804,Player_Fist
205082,Bow_Kne
214892,NPC_Mura_Axe_0
236363,NPC_Defender_Spear_0
236376,NPC_Defender_Shield_0
237807,NPC_Berserker_Scythe_0
237810,NPC_Berserker_Scythe_Left_0
240756,Player_Das
244939,Player_MirrorBlade
249514,Player_Spea
249740,NPC_Gonguan_Club_0
252471,NPC_Gonguan_Mesh_0
256117,NPC_ScourgeKnight_Mesh_0
257821,NPC_Mura_Right_Hand_0
258809,NPC_Berserker_Mace_0
259328,NPC_Bomber_Right_Arm_0
260758,NPC_Thraan_Mesh_0
271822,NPC_Gunner_Blowgun_0
285591,NPC_Mura_TreeStaff_0
305946,NPC_Massariol_Arms_0
305947,NPC_Massariol_Legs_0
328481,NPC_Jottun_Hammer_0
335223,Player_Hamme
335229,Player_Swor
360786,TMP_Trap_Spikes_0
362661,Trap_SpinningBlade
363837,Trap_SlidingBlade
363838,Trap_SlidingBlades_Doubl
384515,M0_Novarrean_Swor
394173,Player_Unarme
418989,NPC_Niskar
438820,Player_Staf
439754,NPC_Jottun_OC
442725,Meteor_Projectil
442762,NiskaruProjectile_OC
444351,Player_Defens
444353,Antelope_Defens
444356,Chicken_Defens
444361,NPC_Jottun_DC
444362,Niskaru_Defens
444363,Human_Defens
444522,Defaul
444578,Gonguan_Defens
465140,Massariol_Defens
467223,Thraan_Defens
473414,Smashable_Small_Defens
476520,Player_Dagger
494651,Boggart_DC
494655,Boggart_OC
508682,Brownie_DC
509106,Brownie_OC
509871,Giant_Spider_Defens
509881,Giant_Spider_Offens
520726,Tra
520727,Trap_Proximity_OC
537887,Murghan_Trident_OC
541134,Empty_OC
541364,jwats_tes
541365,Shiel
543184,NPC_Barghest_OC
543185,NPC_Barghest_DC
544315,NPC_GiantSpider_OC
544616,Player_Sword2
580034,TMP_Trap_Pendulu
588773,NPC_Troll_DC
588785,NPC_Troll_OC
589249,NPC_Troll_Club_OC
591254,NPC_GiantRat_DC
591272,NPC_Sprite_DC
596132,NPC_GiantRat_OC
599620,NPC_Sprite_OC
600094,Player_Magic_Lung
610214,Kobold_Stick_OC
625256,NPC_Kobold_Javelin_Projectile_OC
652740,Smashable_Small_Offens
658392,Niskaru_Hunter_OC
658425,Niskaru_Hunter_DC
673099,Smashable_Medium_Defens
673100,Smashable_Medium_Offens
673112,Smashable_Large_Defens
673113,Smashable_Large_Offens
673122,Smashable_XLarge_Defens
673123,Smashable_XLarge_Offens
695961,Trap_Arrow_OC
712919,Bolgan_DC
717740,Bolgan_Sword_OC
718700,Bolgan_OC
720894,Leanashe_DC
721981,Fear_Gorta_OC
721983,Fear_Gorta_DC
721985,Fear_Gorta_Axe_OC
725576,Leanashe_OC
727233,Bolgan_Shield_OC
753453,Chicken_Overlord_Offens
756644,QA_RayM_BVT_CollisionPro
761069,Ettin_OC
1243635,Ettin_Hammer_OC
1271945,Player_Chakra
1286152,Balor_offens
1291628,balor_defens
1294184,Bogeyman_DC
1295616,test_balor_left_han
1298865,balor_head_defens
1301920,Bogeyman_OC
1309478,Ettin_DC
1313051,NPC_Spear_OC
1317814,Bogeyman_Ammo_DC
1326241,NPC_OC
1326307,NPC_DC
1327925,NPC_Sorcerer_SpellRune_OC
1331785,Banshaen_DC
1331787,Banshaen_OC
1334725,NPC_Sorcerer_BubbleShield_DC
1340911,Trap_Pendulum_OC
1342817,Weapon_Bow_OC
1388879,Kobold_Dagger_OC
1392293,ammo_basi
1395030,DOK_MEL_Ladder_DC
1423374,NPC_Thresh_DC
1431367,NPC_Thresh_OC
1441387,Player_Offens
1446742,TRP_MagicalMine0
1461312,TRP_Beartra
1461681,TRP_PoisonPool0
1461703,TRP_PoisonWater_1x
1470465,TRP_Plant_Snapper0
1496869,TRP_Blades_ammo01_OC
1515617,Tirnoch_OC
1515618,Tirnoch_DC
1536594,NPC_Explodapod_OC
1553334,smashable_tirnoch_prismere_smal
1553335,smashable_tirnoch_prismere_mediu
1553336,smashable_tirnoch_prismere_larg
1602642,Bear_DC
1602643,Bear_OC
1602661,Wolf_OC
1602662,Wolf_DC
1609707,Cow_DC
1609708,Cow_OC
1612333,Sceptre_Ground_Projectil
1622206,Chicken_Overlord_DC
1623689,NPC_SplinterOfFate_OC
1652780,TRP_Fire01_Collisio
1683622,RootOnly_DC
1696657,RainingArrow
1730940,Balor_Malwyn_offens
1733430,EchoesOfFat
1738125,GEN_sparringdummy_01_DC
1777832,NPC_Tilera_Shield_DC
1793061,WoS_LightningMagic_DeviceDC
1793778,Trap_FallingSpike_OC
1794219,Trap_FallingPile_OC
1802339,WOS_Spiderweb_Door_DC
1815127,GiantSpider_Small_DC
1821006,TUA_Prismere_Chantry_Crystal_DC
1892329,GNO_CollapsingTower_OC
1899700,Arrow_OC
1915031,DLC1_RootGolem_DC
1918032,DLC1_Scarab_OC
1918033,DLC1_Scarab_DC
1924299,WAR_Barrier_OC
1924300,WAR_Barrier_DC
1932944,SonsOfLaz_Sword_OC
1939311,DLC1_RootGolem_OC
1944228,DLC2_Kollossae_OC
1944230,DLC2_Kollossae_DC
1953697,DLC1_Boggart_Ammo_OC
1955641,DLC1_TRP_Fishhead_Spike_0
1985412,DLC2_Pteryx_OC
1995253,DLC1_Grimjaw_DC
1995260,DLC1_Grimjaw_Hamme
2000833,DLC1_Grimjaw_OC
2012849,DLC2_Pteryx_DC
2077313,NPC_Spear_KOLL_OC
2090224,DLC2_NPC_Sprite_OC
2099342,DLC2_Kollossae_Statue_OC
2101224,DLC2_OBJ_UpwardBlast_OC
2111664,DLC1_RockMonster_Weapon_OC
2119227,DLC3_TRP_Plant_Snapper01_Defensiv
