id,value
477022,tmp_na_pathing1_region
477023,tmp_na_pathingtestbreg1
477024,tmp_na_pathingtestareg1
477867,int_dal_canneroc_house02
477997,int_dal_canneroc_house01
478015,int_cty_ysa_hallofthehunt
478018,dgn_cav_prismerebasin
478021,dgn_cav_shininglabyrinth
478028,dgn_dvg_theblackenedhall
478032,dgn_cav_whisperingcaves
478036,dgn_fca_houseofpride
478037,dgn_cav_glasspillarcaves
478049,dgn_cav_splitrockdepths
478050,dgn_dvg_agnurfarhol
478054,dgn_dvg_cannrane
478062,dgn_cav_fellfirepit
478067,dgn_cav_luckymine
478068,dgn_cav_echoinglightmine
478072,dgn_str_bonnlach
478075,dgn_hol_adarus
478079,int_dal_guelmuinlodge
478080,dgn_cav_shattertiermines
478084,dgn_cav_ironholdpassage
478085,out_pln_prototype
478086,int_cty_adessa_ouetstebiccrietlabs
478087,dgn_str_stebiclab
478091,dgn_cav_wellofgreaterdidenhil
478094,dgn_cav_tulan
478098,out_dal_tran_south_02_to_south_03_a
478102,dgn_cav_shaderivercaves
478104,dgn_cav_stonecandlemines
478106,dgn_dvg_yumy
478107,dgn_dvg_aodh
478109,dgn_cav_tearscottermines
478113,dgn_str_dolvearne
478115,dgn_cav_darkglowcaverns
478117,dgn_cav_sevenwidowmine
478122,dgn_str_dolvewayle
478123,dgn_dvg_hurvarsdoorsill
478125,dgn_cav_sanctuarygrotto
478131,dgn_hol_uduath
478134,dgn_fca_castleyolvan
478136,dgn_hol_cathrus
478139,tmp_na_qatravelautomation
478142,dgn_hol_arduath
478143,dgn_hol_gorguath
478144,dgn_cav_brigandhallcaverns
478158,out_poe_north_01
478159,out_poe_north_02
478160,out_poe_north_03
478161,out_poe_north_04
478162,out_poe_south_01
478163,out_poe_south_02
478164,out_poe_south_03
478165,out_poe_south_04
478166,out_poe_tran_north_01_to_north_02
478167,out_poe_tran_north_02_to_north_03
478168,out_poe_tran_north_03_to_north_04_b
478169,out_poe_tran_north_00_to_north_01
478170,out_poe_tran_north_01_to_south_01
478171,out_poe_tran_north_02_to_south_02
478172,out_poe_tran_north_03_to_south_03
478173,out_poe_tran_north_04_to_south_04
478174,out_poe_tran_south_01_to_south_02
478175,out_poe_tran_south_02_to_south_03
478176,out_poe_tran_south_03_to_south_04
478177,int_dal_canneroc_inn
481164,out_poe_north_00
481166,out_det_north_01
481168,out_klu_west_03
481169,cty_ysa
481171,cty_melsenshir
481172,int_dal_gorhart_inn
481173,dmo_m1_tran_south_west
481205,dmo_m1_tran_north_west
481206,dmo_m1_north_south
481223,dgn_hol_brunuath
481264,dmo_m1_north
482407,tmp_na_qacombatautomation
482421,tmp_na_qacliffsarea
482446,tmp_na_qaautomation_region
485379,dmo_na_combattest
485380,tmp_na_combattest_region
485417,int_dal_canneroc_house02_region
485418,int_dal_canneroc_house01_region
485419,int_dal_canneroc_inn_region
485420,cty_melsenshir_region
485422,out_dal_north_01
485423,out_dalentarth_region
485425,out_dal_north_02
485545,tmp_na_qa_dng_well
485557,tmp_na_qa_dng_cliffs
485812,int_dal_sthadwynsperpetualmission
485813,int_dal_sthadwynsperpetualmission_region
485867,tmp_na_footstep_test
485967,out_dal_tran_north_01_to_west_01
485968,out_dal_tran_north_02_to_windemere
485969,out_dal_tran_north_02_to_south_02
486023,out_dal_tran_north_01_to_north_02
486024,out_dal_tran_south_01_to_south_02
486025,out_dal_tran_south_03_to_south_04
486026,out_dal_tran_north_04_to_south_04
486027,tmp_na_audiospace
486028,tmp_na_audiospace2
486037,out_dal_tran_north_02_to_north_03
486038,dmo_m1_south
486046,out_dal_south_02
486047,out_dal_south_03
486048,out_dal_west_01
486049,out_dal_tran_north_03_to_north_04
486058,out_dal_tran_north_03_to_south_03_b
486078,out_det_south_00
486079,out_det_south_02
486080,out_ala_north_01
486083,out_ala_south_01
486096,out_det_tran_south_00_to_south_01
486097,out_det_tran_south_01_to_south_02
486100,out_det_tran_west_01_to_south_01
486104,out_det_tran_west_01_to_south_00
486105,out_klu_west_02
486106,out_klu_west_04
486107,out_klu_east_01
486108,out_klu_east_02
486115,out_klu_tran_west_01_to_east_01
486116,out_klu_tran_west_02_to_east_02
486119,out_klu_tran_east_01_to_east_02
486123,out_klu_tran_west_01_to_west_02
486124,out_klu_tran_west_02_to_west_03
486125,out_klu_tran_west_03_to_west_04
486132,cty_rathir
486133,int_dal_ballads_courtofenchantments
486134,int_dal_stodwigsperpetualmissionmain
486135,dgn_cav_sundurcaverns
486136,out_det_south_01
486137,int_dal_yolvan_thelibrary
486138,out_dal_tran_south_02_to_south_03_b
486143,dmo_na_dangerroom
486144,dmo_na_unibox
486146,tmp_na_clobberabletest
486158,out_poe_skycrown_top
486159,dgn_str_rathircatacombs
486168,int_dal_greaterdidenhil_baker
486169,int_dal_greaterdidenhil_houseoftrade
486170,int_poe_acatha_derfelshouse
486171,int_dal_littledidenhil_kalthouse
486172,int_dal_greaterdidenhil_luminitsahouse
486173,int_dal_littledidenhil_inn
486175,int_cty_rathir_chamberoftrade
486178,int_dal_littledidenhil_healer
486184,war_int_vil_warehouse
486185,out_dal_south_01
