id,value
610639,FirstDecalEve
703721,Decal_FX_BloodSplat_0
716712,Decal_FX_Scorch_0
1320121,Decal_FX_Spell_Lightning_0
1321138,Decal_FX_Sprite_Champ_Lightning_0
1321685,Decal_FX_Staff_Fire_Ball_0
1322554,Decal_FX_Sceptre_Lightning_Proj_0
1322608,Decal_FX_Sceptre_Fire_Proj_0
1322628,Decal_FX_Bow_Fire_Proj_0
1322697,Decal_FX_Bow_Lightning_Proj_0
1324597,Decal_FX_Spell_Quake_0
1341633,Decal_FX_Spell_Quake_Scorch_0
1347497,Decal_FX_Spell_Quake_Attack_0
1349816,Decal_FX_Chakram_Ice_Proj_0
1353217,Decal_FX_Balor_Claw_Smash_Crack_0
1384517,Decal-FX_Sorcerer_RuneTrap_Explo_0
1388897,Decal_FX_BloodSplat_0
1388901,Decal_FX_BloodSplat_0
1388904,Decal_FX_BloodSplat_0
1388951,Decal_Static_BloodSplat_0
1388954,Decal_Static_BloodSplat_0
1388962,Decal_Static_BloodSplat_0
1388964,Decal_Static_BloodSplat_0
1432179,Decal_FX_Wrath_launch_Crack_0
1445245,Decal_FX_FrostTrap_0
1451691,Decal_FX_Ice_Proj_Big_0
1472264,Decal_Staff_Fire_Spec_AOE_0
1520918,Decal_FX_SlimeSplat_0
1584787,Decal-FX_Meteor_Expl_0
1584915,Decal-FX_Meteor_Expl_0
1607755,Decal_FX_Reckoning_Ente
1610694,Decal_FX_Niskaru_Portal_0
1722691,Decal_FX_EHarmony_Ic
1728460,Decal-FX_EHarmony_Fir
1728502,Decal_FX_Sceptre_Ice_Proj_0
1751192,Decal_FX_BloodSplat_01_Me
1843981,Decal-FX_Scorch_0
1879056,Decal_FX_Scorch_01_larg
1879530,Decal_FX_SlimeSplat_01_smal
1907948,Decal_FX_BloodSplat_02_me
1907949,Decal_FX_BloodSplat_01_S
1907950,Decal_FX_BloodSplat_0
1909981,Decal_FX_Ice_Proj_Med_0
1909982,Decal_FX_Scorch_01_Me
1910189,Decal_FX_Storm_Small_0
1921228,Decal_FX_BloodSplat_02_Med
1921229,Decal_FX_BloodSplat_01_Med
1924052,Decal_FX_Scorch_01_Sm
1924055,Decal_FX_Ice_Sml_0
1974688,DLC1_Decal_FX_Cracks_02_M
1975629,DLC1_Decal_FX_Cracks_01_L
1975805,DLC1_Decal_FX_Scarab_Spore_Imp_0
2025810,Decal-FX_Scorch_0
2073335,DLC1_Decal_FX_VIne_Crack_L
2082880,DLC2_Decal-FX_Scorch_0
2119275,DLC2_Primos_Battle_Rock_Crac
