id,value
16738,LGQNEW
16740,LGQNEW1
16742,LGQNEW1
16869,LGQNEW2
16870,LGQNEW2
16923,LGQNEW2
16925,LGQNEW2
17309,LGQNEW2
17318,TESTEXAMPLE
17321,TESTEXAMPLE
17373,LGQNEW3A
17375,LGQNEW3B
17695,Ye
17696,N
21374,GREETIN
166627,Nothin
197545,TESTQE_Taib
197547,TESTQE_Wif
197549,TESTQE_DarkGod
197553,TESTQE_Kidnappe
197610,TESTQE_DetectHidde
197612,TESTQE_Intimidatio
197635,TESTQE_Agre
197637,TESTQE_Declin
197871,HELL
197872,GOODBY
204463,Test_Shrubber
204596,AgreeTOPI
204597,DeclineTOPI
204955,Test_Yes_ForPric
206050,MercantileTOPI
206051,MedicineTOPI
206227,NevermindTOPI
208006,ResearchTOPI
208112,InvestmentTOPI
208123,HelpTOPI
208125,DismissTOPI
208564,RobberyTOPI
208819,DetectHiddenTOPI
208875,MinersTOPI
208968,AlchemyTOPI
208976,RefuseTOPI
209370,tempTOPI
209647,RumorsTOPI
210541,GreavesTOPI
212115,SpellbindingTOPI
212231,BargainTOPI
213518,DisagreeTOPI
213947,ThievesTOPI
214441,NextTOPI
214531,CurseTOPI
215017,CampTOPI
215029,KidnappedTOPI
218244,FearTOPI
221956,BlacksmithingTOPI
230357,WifeTOPI
230371,ArtifactTOPI
230444,DreamTOPI
230638,YesTOPI
230639,NoTOPI
231651,ScholarTOPI
232227,DontKnowTOPI
232236,GoTOPI
237298,InterruptTOPI
238799,TradeTOPI
239238,MagicTOPI
240126,PotionTOPI
241445,BrotherTOPI
244872,RescueTOPI
245348,HealerTOPI
249639,TreasureTOPI
250348,EnoughTOPI
256271,TraderTOPI
260776,WeaponsmithTOPI
261600,BooksTOPI
275966,JobTOPI
275970,AccidentTOPI
276070,EnemiesTOPI
276331,DiscoveryTOPI
276479,YortakTOPI
279362,MeTOPI
283571,HomeTOPI
291383,BribeTOPI
328623,JottunTOPI
331260,WorkTOPI
331314,ExperimentsTOPI
337474,VillageTOPI
337476,ExpeditionTOPI
