id,value
254597,standard0
536477,90 degree standar
536518,Intimidation_Standar
541128,Unsociable_Standar
1466417,Gnome_Standar
1492921,Ohnstand_Jai
1499232,Tulan_Jai
1511324,Dreamworl
1520499,Skycrow
1523305,Nyril
1609275,Prison_Clos
1612788,Prison_Mediu
1612828,Prison_Lon
1716069,Crown_Cloud
1720848,Meditatio
1783394,Sociabl
1992253,Kollossae_standar
2014733,Kollossae_Prisone
2018101,Throne_Playe
2045391,DLC1_DedKel_Dailogu
2073839,Ethene_Standar
2085430,Gnome_Thron
2090757,DLC1_AkaraTree_Dialogu
2097410,DLC2_Kollossae_Distanc
