id,value
249112,StatusEffect_Fir
258314,Loo
258490,StatusEffect_Berser
264796,Ghos
275871,StatusEffect_Lightnin
275872,StatusEffect_Ic
275873,StatusEffect_Bleedin
275874,StatusEffect_Poiso
275876,StatusEffect_Char
275877,StatusEffect_Petrif
357672,Stealt
439746,SlowTim
443628,ManaShiel
456812,Invisibl
524860,StatusEffect_Stu
537073,Healin
572791,Enrage
577198,UnEnrage
607380,SpriteChampionFlam
607381,SpriteChampionFros
607382,SpriteChampionStor
619870,SpriteBoostFlam
619871,SpriteBoostFros
619872,SpriteBoostStor
639366,Fate_RightArm_Stage
639367,Fate_RightArm_Stage
639368,Fate_RightArm_Stage
639370,Fate_RightArm_Stage
645587,Fate_BothArms_Stage
645592,Fate_BothArms_Stage
645593,Fate_BothArms_Stage
645594,Fate_BothArms_Stage
668861,Reckoning_Effect
672505,Reckoning_NP
673843,Fate_Hammer_Stage
673844,Fate_Hammer_Stage
673845,Fate_Hammer_Stage
673846,Fate_Hammer_Stage
1275047,Ambient_Boggar
1292508,Ambient_Boggart_Plaguebeare
1316317,Ambient_Sorcere
1410363,WarCr
1410370,Terro
1426390,Weapon_Flaming_RightHan
1426755,Wrat
1437744,Sorcery_SummonFamiliar_IsFamilia
1443560,Ambient_Boggart_Tainte
1448304,Ambient_Thres
1473626,BattleFrenz
1474162,MarkOfFlam
1491377,Ambient_Jottun_Runelor
1497825,Ambient_NiskaruHunte
1511194,MarkOfFlame_Prim
1511195,MarkOfFlame_Execut
1520014,Dagger_Hold_Special_F
1534884,Just_Fram
1539444,PlayerAbility_Adrenaline_Surg
1539722,Sorcery_SummonFamiliar_BuffAur
1544113,PlayerAbility_Envenomed_Edg
1561902,BladeHonin
1566170,Might_Vengeanc
1579979,PlayerAbility_EtherealGuar
1604526,Ambient_FaerGort
1605019,Sceptre_Block_Special_Execute_Ic
1606127,Ambient_Banshae
1621894,Ambient_Niskaru_Tyran
1621895,Ambient_Niskaru_Horrino
1622191,Ambient_Co
1625275,Quest_BalladsEnchantmen
1635052,Sceptre_Block_Special_Execute_Lightnin
1635053,Sceptre_Block_Special_Execute_Fir
1647538,Ambient_Tirnoc
1650806,PlayerAbility_Celerit
1653016,Quest_HouseOfBallads_WindemereDoo
1671352,StatusEffect_Froze
1674258,Splinter_Weapon_Warrio
1674273,Splinter_Weapon_Mag
1674278,Splinter_Weapon_Rogu
1682227,Quest_HouseOfBallads_MaidOfWindemer
1683756,StatusEffect_Invincibilit
1702836,DestinyBuff_Merciles
1704611,Curse_BloodSacrific
1708968,Ambient_DaughterOfLa
1710710,Ambient_Gadflow_Projectio
1715516,Quest_SQ61_Bleeding_Ambien
1761630,FX_Execution_Smal
1761939,FX_Execution_Larg
1763172,DestinyBuff_Merciless_Impac
1763494,React_StaffDelay_Ic
1763495,React_StaffDelay_Fir
1763496,React_StaffDelay_Lightnin
1784027,FX_Execution_Mediu
1792967,Player_Fate_Rewarde
1794277,Player_Fate_Ful
1802148,NPC_BulwarkStunne
1813824,NPC_BulwarkStunned_Larg
1824625,Additive_WeaponPus
1838512,Ambient_NPC_FX_Remove_On_Deat
1896468,Fate_Splinter_Ambient_F
1926973,NPC_QuestEssential_Dea
1926996,StatusEffect_IncapFS
1934045,Activate_Impact_1_VeryLigh
1934047,Activate_Impact_2_Ligh
1934048,Activate_Impact_3_Norma
1934052,Activate_Impact_4_Heav
1934053,Activate_Impact_5_VeryHeav
1957447,Quest_Possessed_F
1960626,StatusEffect_Prima
2005666,NPC_Sleepin
2008281,NPC_Sheathing_HideDuringActivit
2015381,SoundEvent_VeryLou
2015383,SoundEvent_Lou
2015385,SoundEvent_Mediu
2015388,SoundEvent_Quie
2031993,Ambient_Maiden_Windemer
2038901,NPC_Props_HideDuringContextReac
2053805,React_PlayersManaDrai
2064417,Sceptre_Block_Special_Execute_Prima
2078811,DLC1_Effect_MagicStu
2083907,DLC1_Baronett_Imag
2089602,DLC2_SpriteChampionPrima
2119958,DLC2_Kahrunk_
2119959,DLC2_Kahrunk_
2128917,DLC2_SpriteBoostPrima
2129854,DLC2_Primos_Curse_Triggered_F
