id,value
398799,obsolete_enc_specific_boggarts_l
398800,obsolete_enc_specific_boggarts_m
398801,obsolete_enc_specific_boggarts_s
400603,old_enc_grasslands_barghest_e_m
401386,obsolete_enc_specific_jottun_s
401387,obsolete_enc_specific_jottun_m
401388,obsolete_enc_specific_jottun_l
401389,obsolete_enc_specific_barghest_s
401390,obsolete_enc_specific_barghest_m
401391,obsolete_enc_specific_barghest_l
401392,obsolete_specific_kobolds_l
401393,obsolete_specific_kobolds_m
401394,obsolete_specific_kobolds_s
401422,obsolete_specific_ettins_s
401423,obsolete_specific_ettins_m
401424,obsolete_specific_ettins_l
401428,obsolete_enc_caves_kobolds_e_s
401429,obsolete_enc_caves_kobolds_e_m
401430,old_dontuse_enc_caves_kobolds_e_l
440934,obsolete_enc_specific_bears_s
440935,enc_specific_bears
440936,obsolete_enc_specific_bears_l
440937,obsolete_specific_giantspiders_l
440938,obsolete_specific_giantspiders_m
440939,obsolete_specific_giantspiders_s
440940,obsolete_specific_brownies_l
440941,obsolete_specific_brownies_m
440942,obsolete_specific_brownies_s
440943,obsolete_enc_specific_sprites_l
440944,obsolete_enc_specific_sprites_m
440945,obsolete_enc_specific_sprites_s
440946,obsolete_enc_specific_sprites_l_hard
440947,obsolete_enc_specific_sprites_m_hard
520239,obsolete_enc_specific_trolls_s
520240,obsolete_enc_specific_trolls_m
557141,enc_forest_bandits_s
557142,enc_forest_bandits_m
557143,enc_forest_bandits_l
595449,enc_unseelieguards_s_01
601096,obsolete_enc_specific_niskaru_s
601097,enc_specific_niskarutyrant
616712,obsolete_enc_specific_giantrats_s
616713,obsolete_enc_specific_giantrats_m
616714,obsolete_enc_specific_giantrats_l
621397,enc_quest_kv03_mages_s
621398,enc_quest_kv03_mages_m
621399,enc_quest_kv03_mages_l
654493,enc_quest_hm06_boggarts
654494,enc_quest_hm06_trolls
654495,enc_quest_hm06_sprites
654571,enc_quest_hm06_kobolds
664631,old_dontuse_specific_murghan_l
664632,enc_specific_murghan
664633,old_dontuse_specific_murghan_s
670722,obsolete_enc_specific_sprites_frost_m_hard
677794,obsolete_enc_specific_sprites_flame_m_hard
677795,obsolete_enc_specific_sprites_flame_l_hard
680149,obsolete_enc_specific_bolgans_l
680150,obsolete_enc_specific_bolgans_m
680151,obsolete_enc_specific_bolgans_s
692435,obsolete_enc_specific_sonsoflaz_s
692436,obsolete_enc_specific_sonsoflaz_m
692437,obsolete_enc_specific_sonsoflaz_l
693009,enc_specific_niskaruhorrinox
694471,obsolete_enc_specific_niskaruhunters_m
694472,obsolete_enc_specific_niskaruhunters_s
701749,obsolete_enc_specific_sprites_frost_s_hard
