id,value
6311,arrow_horizontal
6313,cone
6314,cube
6395,bow01
6403,pickaxe01
6404,pickaxe02
7054,odv-flora-fern01
7083,for_flora_twistgreen01
7084,for_flora_twistgreen02
7085,for_flora_twistgreen03
18664,fx-magiccircle
131797,35
131799,50
208860,20
208861,25
208862,30
208863,38
228301,plane
230804,reagent_breezerose
232095,gb_10m_ruler
244769,pathing_marker
253058,gen_campfire01
253059,gen_campfire02
254053,int_shelf02
254083,int_bed01
254084,int_table01
254085,int_table_long
254091,int_chair01
254372,int_bar
276651,int_chair02
277261,int_chair03
277263,int_chair04
278875,int_shelf_large
283125,reagent_blazebloom
293241,int_chandelier_01
300406,merc_ho_desk_01
300407,merc_ho_desk_02
300411,merc_ho_sign_bracket_02
300414,merc_ho_table_ornate_01
300415,merc_ho_table_ornate_02
300416,merc_ho_table_ornate_03
300417,merc_ho_trough
300418,merc_ho_urn_stone
300419,merc_ho_wallcrest
300421,merc_ho_wallmace
300422,merc_ho_wallswords
300423,merc_ho_walltsai
300424,merc_ho_weaponrack_01
300490,merc_ho_shelf_wooden_01
300491,merc_ho_shelf_wooden_02
300716,merc_ho_cart_wagon_01
300718,merc_ho_painting_wall_01
300720,merc_ho_painting_wall_02
300721,merc_ho_painting_wall_03
300772,for_grain_sacks_01
300773,for_grain_sacks_02
300774,for_grain_sacks_03
300775,for_grain_sacks_04
300776,for_grain_sacks_05
300777,for_grain_sacks_06
300778,for_grain_sacks_07
300795,merc_ho_pewter_dish
300796,merc_ho_pewter_goblet
300797,merc_ho_pewter_tankard
300829,merc_ho_crates_01
300830,merc_ho_crates_02
300831,merc_ho_crates_03
300832,merc_ho_crates_04
301051,merc_ho_chandelier_iron_chain
301053,merc_ho_chandelier_iron_small
301054,merc_ho_chandelier_iron_table
301055,merc_ho_chandelier_iron_wall
301056,merc_ho_cauldron_hanging
301057,merc_ho_fireplaceirons
301405,majestic_arms
301406,majestic_head
301407,majestic_legs
301469,merc_ho_banners_tapestries
301470,merc_ho_banners_tapestries_01
301474,merc_ho_bed_inn_carved_big
301477,merc_ho_beer_keg_01
301478,merc_ho_beer_keg_02
301479,merc_ho_beer_keg_with_stand
301484,merc_ho_brazier_01
301491,merc_ho_bottles
301496,merc_ho_carpet_burgundy_square
301497,merc_ho_carpet_red_damask
301498,merc_ho_carpet_red_damask_roll
301499,merc_ho_mailbox01
321246,gb_hall3way
321247,gb_hall4way
321254,gb_hallcorner
321296,gb_rooml1mid
321369,gb_door
340232,for_flora_tree01
343974,for_flora_treelarge01
343975,for_flora_treesmall01
344766,for_ruins_column01
344977,for_flora_grassfern01
345926,for_flora_grassfern02
353290,for_flora_tree02
357318,for_flora_mushroom_cup01
357319,for_flora_mushroom_fungus01
357320,for_flora_mushroom_fungus02
357911,for_flora_treefern01
358025,m0_city_castle_interior_doorexit
358132,for_house
359268,for_flora_treeroot01
359323,for_stone_wall_post
361337,for_lamp_01
362570,for_stone_wall_wall
363221,for_flora_leafcover01
365453,for_flora_vine01
365461,for_ruins_base01
365462,for_ruins_base02
365463,for_ruins_base03
365464,for_ruins_columnruined01
365467,for_ruins_column_piece01
365469,for_ruins_pillarsmall01
365470,for_ruins_pillarsmall02
365471,for_ruins_pillarsmall03
365472,for_stone_goblin
365534,bird_vvs_skel
365540,antelope_skel
365948,for_flora_vine02
365949,for_flora_vine03
365950,for_flora_vine04
366251,for_flora_treeroot02
366252,for_flora_treeroot03
366253,for_flora_treeroot04
366271,for_flora_treeroot05
366273,for_stone_wall_wall2
366274,for_stone_wall_post2
366500,for_ruins_columnwall01
366503,for_ruins_columnwall02
367334,for_ruins_basewall01
368814,for_stone_goblinbusted
368818,for_moth_large_01
368843,for_ruins_basewallbroken01
368864,for_ruins_wallrubble01
368874,for_stone_chain
369235,for_stone_chainbroke02
369236,for_stone_chainbroke01
375013,for_ruins_block01
375014,for_ruins_block02
375015,for_ruins_block03
375016,for_ruins_block04
375117,for_house_support
375384,for_livingvine
377117,for_flora_treelow01
377118,for_flora_treelow02
378421,m0_bridgearching
378603,for_horizonline01
393858,for_flora_treelarge02
400408,for_river_fall01
400409,for_river_fall02
400410,for_river_fall03
400411,for_river_leanleft01
400412,for_river_leanright01
400413,for_river_smalldrop01
400414,for_river_smallstraight01
400415,for_river_straight01
400416,for_river_turnleft01
400417,for_river_turnright01
402877,m0_lootbag
405705,for_house_cottage
405712,for_ruins_platform1x1_01
405713,for_ruins_platform2x2_01
405714,for_ruins_platformshort_01
405728,merc_ho_shelf_wooden_burnt
405793,for_ruins_platform2x4_01
405794,for_ruins_platform2x6_01
405795,for_ruins_platform4x4_01
405796,for_ruins_platform4x6_01
410102,for_rock_cliff01
410924,for_rock_cliff02
411037,for_ruins_walllarge_01
411038,for_ruins_wallmedium_01
411039,for_ruins_basewall02
411562,for_rock_cliff03
412139,niskaru_skele
412155,for_rock_stone01
413496,chicken_skel
414260,for_well
414899,for_rock_cliff04
414982,trapdoor
417424,for_cottage_stairs
417743,for_waterwheel
418151,for_flora_treefallen01
418236,for_flora_treestump01
418286,for_rock_stone02
418287,for_rock_stone03
418462,for_rock_stone04
418547,for_ruins_mosaic01
418553,for_flora_treefallen02
418672,for_cottage_chimney
418679,for_flora_grasslong01
419041,for_flora_twist01
419045,for_ruins_arch01
419058,for_flora_twist02
419059,for_flora_twist03
419089,for_flora_treefallen03
419740,for_cottage_entrance
420716,for_flora_mushroom_glowing01
420841,for_doober_web_02
420921,for_doober_web_pod_01
421003,for_flora_mushroom_glowing02
421029,for_flora_mushroom_glowing03
421096,for_doober_web_03
421303,for_doober_web_01
421306,for_doober_web_04
421308,for_doober_web_05
421309,for_doober_web_06
421697,m0_boat
422319,for_cottage_dormer_a
422322,for_cottage_dormer_b
422323,for_cottage_sidewall
422575,for_doober_web_07
422604,for_ruins_stairs01
422609,for_doober_web_tunnel_01
422663,for_doober_web_pod_02
423891,for_fountain_center01
423892,for_fountain_corner01
423894,for_fountain_perimeter01
423895,for_fountain_pillar01
423896,for_fountain_ushape01
423897,for_fountain_wall01
423898,for_fountain_whole01
424102,for_ruins_waterplane01
424106,for_bridge_arched
424132,for_fountain_waterplane01
424188,for_fountain_waterfall01
424781,for_rock_riverbank01
424877,for_rock_riverbank02
424914,for_rock_riverbank03
424996,for_rock_stone05
425331,for_cottage_trellis
426005,for_cart_hut01
426858,for_cart_open01
427021,for_fauna_fish_01
427147,for_doober_web_08
427148,for_doober_web_09
427167,for_doober_web_10
427259,for_doober_web_11
427641,for_ruins_basewall01_low
427642,for_ruins_basewall02_low
429848,for_woodpile
429869,for_house_small
429907,for_flora_treebranch01
429981,for_brazier_01
429982,for_brazier_02
430029,for_barrel
430031,for_barrel_with_stand
430377,for_flora_treelog01
430759,for_fountain_statue01
430885,for_dock
430933,for_woodpile_log_a
430934,for_woodpile_log_b
430935,for_woodpile_log_c
431138,for_cottage_wall
431139,for_cottage_wallcorner
431181,for_cottage_wallstairs
431271,for_cottage_outhouse
432477,for_cottage_ruined01
432690,for_cottage_ruined02
438546,staff_default
438821,for_tower
438822,for_windmill
441524,for_rubble_pile01
441590,for_door
441690,for_rock_mountain01
441863,for_rubble_pile02
442785,for_ruins_torchbrazier01
442976,for_rubble_pile03
442977,for_rubble_pile_small01
443322,for_rock_caveentrance
443323,for_rock_cavestraight
443401,for_rock_caveroom
443403,for_rock_caveend
444584,for_well02
446628,for_rubble_wood_lg01
446629,for_rubble_wood_lg02
446631,for_rubble_wood_sm01
446633,for_rubble_wood_sm02
446634,for_rubble_wood_sm03
446635,for_rubble_wood_sm04
447780,for_bonepile_bonea
447781,for_bonepile_boneb
447782,fau_carcass01
447783,for_bonepile_corpseb
447784,for_bonepile_corpsec
447785,for_bonepile_corpsed
447786,for_bonepile_flesha
447787,for_bonepile_fleshb
447788,for_bonepile_lumpa
447789,for_bonepile_lumpb
447790,for_bonepile_plain
447791,for_bonepile_corpsea
449427,for_river_pond
449428,for_sacrificial_column
450643,for_entrance_gate
450826,for_ruins_arch_broken01
451872,for_village_planterring
452099,for_river_fallfree01
452169,for_chest01
452184,for_village_windowboards
452194,for_village_doormarker
452352,for_river_fallfree02
452471,for_river_fallfree03
452781,for_river_splash
453831,for_ruins_stairs_large01
454132,for_rock_cavearch
456813,human_skel
464113,min_rockbreaker
465907,min_cart01
465908,min_rockcrusher
467100,human_skel_npc
467121,for_house_wall
469516,int_vil_large
470410,tmp_ladder
473690,daggers_default
474042,int_vil_small
475459,int_vil_large_room
477546,int_vil_chandelier
477555,int_vil_small_room
477561,int_vil_small_stairs_down
477563,int_vil_small_stairs_up
477565,int_vil_small_wall
477567,int_vil_wall_lamp
477578,int_vil_wall_ring
478081,nca_tmppiece01
478156,nca_stalagmite01
479451,int_vil_large_wall_lower
479502,int_vil_large_wall_upper
479503,int_vil_small_dividingwall
479575,nca_stalagmite02
479576,nca_stalagmite03
