id,value
155111,Alars_haste_path_0
155112,Ancestral_Runes_path_0
155114,dark_flame_circle_0
155115,drowe test arc pat
155116,drowe test circle pat
155117,Kerrod_ground_pound_0
155118,Spell_Quake_Attack_02_rin
155119,Sorcerer_Shield_Pattern_0
155120,tengri_portal_smoke_ring_0
1340822,Hero-Water_splash_tors
1340992,Spell_Quake_Attack_03_Ven
1351620,Summoner_Fire_Ring_0
1353148,Sorcerer_AOE_Fire_Rin
1353205,Boss_Balor_Claw_Slam_0
1364797,Boss_Balor_Collapse_Dus
1379375,Boss_Balor_Collapse_Impact_Debri
1386119,Boss_Balor_Collapse_0
1386243,Boss_Balor_Claw_Sla
1388783,Sorcerer_Cyclone_Pattern_
1388818,Sorcerer_Cyclone_Pattern_
1388819,Sorcerer_Cyclone_Pattern_
1388820,Sorcerer_Cyclone_Pattern_
1390244,Sorcerer_Cyclone_Pattern_
1390249,Sorcerer_Cyclone_Pattern_
1430979,Hero-Wrath_Slam_01_Patter
1451009,Staff_Fire_Chg_AOE_Fire_Ring_0
1464160,Staff_Special_Fire_Rin
1466672,Staff_Ice_chg_special_AOE_0
1473113,Warcry_AOE_Ring_0
1520872,FXMesh-Banshaen_CallStorm_Cast_01_Rin
1579041,Reckon_AOE_Ring_0
1591782,Summoner_Fire_Ring_0
1808103,WOS_Magiceenergy_Top_base_0
1988079,DLC1_Rock_Monster_Spik
2020996,DLC1_FXMesh_Deadkel_teleport_star
2021557,DLC1_FXMesh_Deadkel_tele_finish0
2025473,War_Barrier_Repel_patter
2034677,Well_transport_SQ0
2080238,DLC1_Altar_Edge_Smok
2111182,DLC2_Primal_Chakram_Idl
2119172,DLC2_Primos_Battle_Rock_Emerg
2128029,DLC2_Jottun_Ice_AO
