id,value
7883,invali
7884,uninite
7885,AimingContro
7886,BigBattleRadialLeftStic
7887,BigBattleRadialRightStic
7888,CameraContro
7889,CheatsPlaceObjLeftStic
7890,CheatsRightStic
7891,ConversationMenuLeftStic
7892,LedgerLeftStic
7893,LedgerRadialRightStic
7894,MovementContro
7895,radialmenucontro
7896,RadialMenuLeftStic
16897,TeleportPlacementLeftStic
77324,AimingControl_RightStic
358739,alchemy_mode_primar
417069,Blacksmith_LeftStic
417070,Blacksmith_RightStic
1540086,RightTrigge
1540088,LeftTrigge
