id,value
7898,modalwindowmod
7901,AbilitySelectMod
7902,AimingMod
7903,AncestorShardMenuMod
7904,BattleofRovennaCombatMod
7905,BattleResultsMod
7906,BattleStartMod
7907,BattleWinMod
7908,BigBattlePlanMod
7909,CheatMod
7910,CinematicMod
7911,CombatTestMenuMod
7912,CompanionSelectMod
7913,ConversationMod
7914,DangerRoom_Control
7915,DangerRoom_Disable
7916,DangerRoom_DisabledWithCamer
7917,DangerRoom_Men
7918,DangerRoom_NoSlowAttac
7919,DeathMod
7920,DemoCinematicMod
7921,DemoInventoryWi
7922,DemoPlayerCit
7923,DemoPlayerWal
7924,EmptyMod
7925,FreeCameraCheatMod
7926,invali
7927,inventorywi
7928,KingdomWindowMod
7929,LedgerMod
7930,LedgerRadia
7931,MagicMod
7932,MajestyAttackMod
7933,MarqueeMod
7934,MotionSetWi
7935,oppAttackMod
7936,PauseMod
7937,QuickPaus
7938,radialmenumod
7939,radialmenumodeAncesto
7940,radialmenumodeMagi
7941,SpellAimingMod
7942,TutorialTipMod
7943,uninite
14990,PlayerMele
14991,PlayerRange
14992,PlayerMagi
16896,TeleportPlacementMod
20301,WeaponSelectMod
21772,BlockingMod
24506,MerchantMod
77714,controllerCommonMod
128742,ElementalMod
151000,alchemy_mod
166261,FastTravelWinMod
191488,FreeCameraTeleportCheatMod
214183,level_alert_mod
245948,Exp_Summary_Danger_Room_Mod
249604,usable_items_radial_mod
255276,universal_information_window_mod
265455,loot_popup_mod
406637,alchemy_analyze_minigame_mod
416447,BlacksmithMod
432479,spell_selection_radial_mod
438126,MercuryBaseControlMode_
460132,MercuryBaseControlMode_
460135,PlayerMelee_SingleWeapo
460155,PlayerMagic_SingleWeapo
479328,BookMod
542711,SagecraftMod
560904,MessageBoxMod
723913,quest_alert_mod
1301710,LockpickingMinigameMod
1362557,pc_weapon_
1362680,pc_weapon_
1362746,pc_magic_
1362919,pc_magic_
1362921,pc_magic_
1362922,pc_magic_
1366228,pc_bas
1444589,ScrollMod
1546068,Player Fate Mash 
1546073,Player Fate Mash 
1546076,Player Fate Mash 
1546077,Player Fate Mash 
1612399,AggressiveMod
1643551,pc_magic_
1643552,pc_magic_
1643555,pc_magic_
1643556,pc_magic_
1643557,pc_magic_
1643558,pc_magic_
1769583,AlwaysOnCheat
1796027,PlayerConsoleRangedSlot
1796028,PlayerConsoleRangedSlot
