id,value
531601,itemset_warrior_16
550302,itemset_warrior_01
550303,itemset_warrior_02
550304,itemset_warrior_03
550305,itemset_warrior_04
550306,itemset_warrior_05
550307,itemset_warrior_06
550308,itemset_warrior_07
550309,itemset_warrior_08
550310,itemset_warrior_09
550311,itemset_warrior_10
550312,itemset_warrior_11
550313,itemset_warrior_12
550314,itemset_warrior_13
550315,itemset_warrior_14
550316,itemset_warrior_15
550317,itemset_rogue_01
550318,itemset_rogue_02
550319,itemset_rogue_03
550320,itemset_rogue_04
550321,itemset_rogue_05
550322,itemset_rogue_12
550323,itemset_rogue_07
550324,itemset_rogue_08
550325,itemset_rogue_09
550326,itemset_rogue_10
550327,dlc1_itemset_rogue_11
550328,itemset_rogue_06
550334,itemset_mage_01
550336,itemset_mage_02
550337,itemset_mage_03
550339,itemset_mage_04
550340,itemset_mage_05
550342,itemset_mage_06
550343,itemset_mage_07
550345,itemset_mage_08
550346,itemset_mage_09
550348,itemset_mage_10
550350,itemset_mage_11
550352,itemset_mage_12
1550755,itemset_warrior_17
1550756,itemset_warrior_18
1550757,itemset_rogue_13
1550758,itemset_mage_13
1550759,itemset_mage_14
1782578,dmo_ea3_shadowskinset
1821424,dmo_e3_warriorset
1911641,itemset_warrior_entitlement01
1911642,itemset_rogue_entitlement01
1911643,itemset_mage_entitlement01
1911650,itemset_warrior_entitlement02
1915798,itemset_bonus_01
1986034,dlc1_itemset_warrior_01
1986035,dlc1_itemset_warrior_02
1987535,dlc1_itemset_rogue_01
1987719,dlc1_itemset_rogue_02
1987771,dlc1_itemset_mage_01
1987772,dlc1_itemset_mage_02
2025524,dlc2_itemset_mage_01
2025525,dlc2_itemset_mage_02
2025526,dlc2_itemset_warrior_01
2025527,dlc2_itemset_warrior_02
2025528,dlc2_itemset_rogue_01
2025529,dlc2_itemset_rogue_02
2084693,mightpack_itemset_warrior
2084731,finessepack_itemset_rogue
2084774,sorcerypack_itemset_mage
