id,value
353402,Loot_1_Fodder_Al
353403,loot_01_common_equipmen
353404,loot_all_common_armo
353405,loot_all_common_armor_nec
353411,loot_all_common_weapon
353413,loot_all_common_wpn_longbow
353414,loot_all_common_wpn_1h_sword
353415,loot_all_common_wpn_hammer
353416,loot_02_infrequent_equipmen
353417,loot_04_unique_equipmen
353418,loot_all_unique_armo
353419,loot_warrior_unique_armor_fee
353420,loot_warrior_unique_armor_hea
353421,loot_warrior_unique_armor_leg
353422,loot_warrior_unique_armor_tors
353423,loot_warrior_unique_armor_hand
353424,loot_all_unique_armor_nec
353425,loot_all_unique_weapon
353426,loot_all_unique_wpn_1h_sword
353428,loot_all_unique_wpn_hammer
353430,loot_all_unique_wpn_longbow
353431,loot_npc_quest_item
353432,loot_npc_specifi
353434,loot_03_rare_equipmen
353435,loot_all_misc_item
353436,loot_all_books_skil
353438,loot_all_alchemyitem
353439,loot_all_treasur
353440,MT_Merchandise_Al
353441,MT_Unibo
353455,Loot_3_Minion_Al
353456,Loot_2_Underling_Al
353457,Loot_4_Captain_Al
353458,Loot_5_Champion_Al
353459,Loot_Tier1_Container_Al
353460,loot_containers_specifi
353461,loot_container_quest_item
353462,Loot_Tier2_Container_Al
353463,Loot_Tier3_Container_Al
353465,Loot_6_Boss_Al
353468,DEV_loot_container_And
378881,loot_container_grave
380559,loot_container_des
411535,loot_all_common_wpn_faeblade
420800,loot_all_blacksmithin
421310,affix_all_infrequent_wpn_1h_sword
421339,loot_all_infrequent_weapon
421340,loot_all_infrequent_armo
421341,loot_all_rare_weapon
421343,loot_all_rare_armo
421601,affix_all_infrequent_wpn_longbow
421603,affix_all_infrequent_wpn_hammer
421613,loot_all_unique_wpn_faeblade
421622,affix_warrior_infrequent_armor_fee
421623,affix_warrior_infrequent_armor_hand
421625,affix_warrior_infrequent_armor_leg
439194,loot_all_unique_armor_rin
439195,loot_all_common_armor_rin
448352,TMP_M1_loot_all_bookshel
457221,DEV_TR01_Loottabl
474491,loot_all_unique_wpn_staff
474492,loot_all_common_wpn_staff
476646,MT_Muffins_Al
483154,MT_Poems_Al
483157,MT_Maps_Al
483162,MT_MonsterBox_Al
489735,loot_all_unique_wpn_dagger
489736,loot_all_common_wpn_dagger
489738,affix_all_infrequent_wpn_dagger
491865,Loot_Barrel
503113,affix_warrior_rare_armor_fee
503123,loot_pinata_infrequent_and_rare_test_tabl
503158,loot_all_alchemyitems_reagent
503159,loot_all_alchemyitems_potion
503187,loot_all_alchemyitems_potions_healthman
503188,loot_all_alchemyitems_potions_damag
503189,loot_all_alchemyitems_potions_skil
503332,affix_warrior_rare_armor_hand
503357,affix_warrior_rare_armor_leg
503364,affix_all_rare_wpn_1h_sword
503380,affix_all_rare_wpn_dagger
503390,affix_all_rare_wpn_hammer
503848,affix_all_rare_wpn_longbow
503857,affix_all_infrequent_wpn_faeblade
503858,affix_all_rare_wpn_faeblade
503910,affix_all_infrequent_wpn_staff
503932,affix_all_rare_wpn_staff
504069,affix_warrior_infrequent_armor_hea
504292,affix_mage_infrequent_armor_hea
504349,affix_mage_rare_armor_hea
504350,affix_warrior_rare_armor_hea
504471,affix_mage_infrequent_armor_rob
504537,affix_warrior_infrequent_armor_tors
504539,affix_mage_rare_armor_rob
504542,affix_warrior_rare_armor_tors
504572,affix_all_infrequent_armor_nec
504613,affix_all_rare_armor_nec
504614,affix_all_infrequent_armor_rin
504668,affix_all_rare_armor_rin
508823,loot_all_book
508825,loot_all_books_lor
518324,loot_all_common_wpn_1h_swords_socket
520686,loot_pinata_sagecraft_test_tabl
520687,loot_pinata_alchemy_test_tabl
528481,loot_all_sagecraft_item
529026,loot_all_sagecraft_items_gem
529027,loot_all_sagecraft_items_gems_rar
529028,loot_all_sagecraft_items_gems_uncommo
529029,loot_all_sagecraft_items_gems_commo
534887,loot_salvage_1hswor
534888,loot_salvage_2hswor
534890,loot_salvage_mau
534891,loot_salvage_dagger
534892,loot_salvage_faeblade
534893,loot_salvage_chakra
534894,loot_salvage_bo
534895,loot_salvage_staf
534896,loot_salvage_sceptr
535031,loot_salvage_helm
535032,loot_salvage_cuiras
535033,loot_salvage_gauntlet
535034,loot_salvage_chausse
535035,loot_salvage_greave
535036,loot_salvage_cap
535037,loot_salvage_armo
535038,loot_salvage_glove
535039,loot_salvage_legging
535040,loot_salvage_boot
535041,loot_salvage_circlet
535042,loot_salvage_robe
535043,loot_salvage_handwrap
535045,loot_salvage_shoe
535046,loot_salvage_shiel
535047,loot_salvage_buckle
535351,loot_salvage_1hsword_cor
535354,loot_salvage_1hsword_support_buffe
535357,loot_salvage_2hsword_cor
535361,loot_salvage_2hsword_support_buffe
535362,loot_salvage_armor_cor
535364,loot_salvage_armor_support_buffe
535365,loot_salvage_boots_cor
535367,loot_salvage_boots_support_buffe
535368,loot_salvage_bow_cor
535370,loot_salvage_bow_support_buffe
535371,loot_salvage_buckler_cor
535373,loot_salvage_buckler_support_buffe
535374,loot_salvage_caps_cor
535376,loot_salvage_caps_support_buffe
535377,loot_salvage_chakram_cor
535379,loot_salvage_chakram_support_buffe
535380,loot_salvage_chausses_cor
535382,loot_salvage_chausses_support_buffe
535383,loot_salvage_circlets_cor
535385,loot_salvage_circlets_support_buffe
535387,loot_salvage_cuirass_cor
535389,loot_salvage_cuirass_support_buffe
535390,loot_salvage_daggers_cor
535395,loot_salvage_daggers_support_buffe
535396,loot_salvage_faeblades_cor
535398,loot_salvage_faeblades_support_buffe
535399,loot_salvage_gauntlets_cor
535401,loot_salvage_gauntlets_support_buffe
535402,loot_salvage_gloves_cor
535404,loot_salvage_gloves_support_buffe
535405,loot_salvage_greaves_cor
535407,loot_salvage_greaves_support_buffe
535408,loot_salvage_handwraps_cor
535410,loot_salvage_handwraps_support_buffe
535411,loot_salvage_helms_cor
535413,loot_salvage_helms_support_buffe
535414,loot_salvage_leggings_cor
535416,loot_salvage_leggings_support_buffe
535417,loot_salvage_maul_cor
535419,loot_salvage_maul_support_buffe
535434,loot_salvage_shield_cor
535436,loot_salvage_shield_support_buffe
535437,loot_salvage_shoes_cor
535439,loot_salvage_shoes_support_buffe
535445,loot_salvage_staff_cor
535449,loot_salvage_staff_support_buffe
535452,loot_salvage_robes_cor
535454,loot_salvage_robes_support_buffe
535455,loot_salvage_sceptre_cor
535457,loot_salvage_sceptre_support_buffe
542223,loot_all_sagecraft_items_shard
543133,loot_salvage_ques
547877,loot_all_common_wpn_daggers_socket
547878,loot_all_common_wpn_hammers_socket
547879,loot_all_common_wpn_longbows_socket
547880,loot_all_common_wpn_faeblades_socket
547882,loot_all_common_wpn_staffs_socket
548086,loot_all_socketed_armo
548087,loot_all_common_weapons_sockete
548088,loot_all_equipment_sockete
553189,loot_salvage_staff_ques
555979,MT_Dalentarth_Alchemist
556267,MT_GeneralGood
559502,loot_all_unique_wpn_2h_sword
559503,loot_all_common_wpn_2h_swords_socket
559504,loot_all_common_wpn_2h_sword
559506,affix_all_rare_wpn_2h_sword
559507,affix_all_infrequent_wpn_2h_sword
563580,affix_warrior_infrequent_armor_shiel
563584,affix_warrior_rare_armor_shiel
563613,affix_rogue_rare_armor_shiel
563614,affix_rogue_infrequent_armor_shiel
563615,affix_mage_rare_armor_shiel
563616,affix_mage_infrequent_armor_shiel
563688,loot_warrior_common_armor_shiel
563690,loot_rogue_common_armor_shiel
563691,loot_mage_common_armor_shiel
563692,loot_mage_unique_armor_shiel
563693,loot_rogue_unique_armor_shiel
563694,loot_warrior_unique_armor_shiel
573706,TMP_Loot_All_VerticalSlice0
573709,TMP_Loot_Weapons_VerticalSlice0
574883,SQ34_Merchant_loo
584399,loot_mage_common_armor_hea
584400,loot_warrior_common_armor_hea
584401,loot_rogue_common_armor_hea
584421,loot_mage_common_armor_fee
584422,loot_warrior_common_armor_fee
584423,loot_rogue_common_armor_fee
584424,loot_mage_common_armor_hand
584425,loot_rogue_common_armor_hand
584426,loot_warrior_common_armor_hand
584428,loot_rogue_common_armor_leg
584429,loot_warrior_common_armor_leg
584430,loot_mage_common_armor_rob
584431,loot_rogue_common_armor_tors
584432,loot_warrior_common_armor_tors
584447,loot_mage_common_armo
584448,loot_rogue_common_armo
584449,loot_warrior_common_armo
585053,loot_mage_common_armor_sockete
585054,loot_rogue_common_armor_sockete
585055,loot_warrior_common_armor_sockete
585056,loot_mage_common_armor_feet_socket
585057,loot_rogue_common_armor_feet_socket
585058,loot_warrior_common_armor_feet_socket
585059,loot_mage_common_armor_hands_socket
585060,loot_rogue_common_armor_hands_socket
585061,loot_warrior_common_armor_hands_socket
585062,loot_mage_common_armor_robe_socket
585064,loot_mage_common_armor_head_socket
585065,loot_rogue_common_armor_torso_socket
585066,loot_rogue_common_armor_legs_socket
585067,loot_rogue_common_armor_head_socket
585068,loot_warrior_common_armor_torso_socket
585069,loot_warrior_common_armor_legs_socket
585070,loot_warrior_common_armor_head_socket
586804,loot_pinata_unique_test_tabl
587783,loot_container_faememoria
604993,DEV_test_quest_tabl
623491,affix_rogue_infrequent_armor_fee
623492,affix_rogue_infrequent_armor_hand
623493,affix_rogue_infrequent_armor_leg
623494,affix_rogue_infrequent_armor_tors
623495,affix_rogue_infrequent_armor_hea
623496,affix_mage_infrequent_armor_fee
623497,affix_mage_infrequent_armor_hand
623500,affix_mage_rare_armor_hand
623501,affix_mage_rare_armor_fee
623502,affix_rogue_rare_armor_tors
623503,affix_rogue_rare_armor_hea
623504,affix_rogue_rare_armor_leg
623505,affix_rogue_rare_armor_hand
623506,affix_rogue_rare_armor_fee
623507,loot_rogue_unique_armor_tors
623508,loot_rogue_unique_armor_fee
623509,loot_rogue_unique_armor_hand
623510,loot_rogue_unique_armor_hea
623511,loot_rogue_unique_armor_leg
623512,loot_mage_unique_armor_rob
623513,loot_mage_unique_armor_fee
623514,loot_mage_unique_armor_hand
623515,loot_mage_unique_armor_hea
623517,loot_all_unique_wpn_sceptre
623518,loot_all_unique_wpn_chakram
623519,loot_warrior_unique_armo
623520,loot_mage_unique_armo
623521,loot_rogue_unique_armo
623522,loot_mage_infrequent_armo
623523,loot_rogue_infrequent_armo
623524,loot_warrior_infrequent_armo
623525,affix_all_infrequent_wpn_sceptre
623526,affix_all_infrequent_wpn_chakram
623527,affix_all_rare_wpn_sceptre
623528,affix_all_rare_wpn_chakram
623529,loot_all_common_wpn_sceptre
623530,loot_all_common_wpn_chakram
633227,Loot_Limited_Consumable
644197,loot_all_trap
665979,KV09_MysticHamme
665981,KV03_SternHel
665984,KV06_AuspiceGauntlet
665985,KV10_SeekersPlat
668359,loot_salvage_support_buffed_rivet
668465,loot_salvage_support_buffed_hilt
668639,loot_salvage_support_buffed_handle
668640,loot_salvage_support_buffed_fulcru
668641,loot_salvage_support_buffed_shaft
669670,loot_salvage_support_buffed_binding
669671,loot_salvage_support_buffed_gri
669672,loot_salvage_support_buffed_tri
669740,loot_salvage_support_buffed_linin
669788,loot_salvage_support_buffed_string
681381,loot_all_clothin
687448,HM06_ShieldOfBallad
687550,TR08_ShadowskinArmorSe
721121,HM01_FaebladesOfSon
733026,critter_skin_commo
772137,loot_daggers_unique0
1257251,loot_SQ16_Garane
1379835,Loot_Trash_Al
1384258,loot_all_alchemyitems_potions_restoratio
1493358,loot_cty_ysa_st
1493359,loot_ffq60_faeblad
1527276,HV02_Bandit
1546645,loot_all_giantrat
1590188,critter_skin_infrequen
1590189,critter_skin_rar
1604610,loot_warrior_rare_armo
1604611,loot_rogue_rare_armo
1604612,loot_mage_rare_armo
1609154,loot_all_common_wpn_chakrams_socket
1609155,loot_all_common_wpn_sceptre_socket
1691752,loot_all_common_armor_shields_sockete
1691754,loot_mage_common_armor_shield_socket
1691755,loot_rogue_common_armor_shield_socket
1691756,loot_warrior_common_armor_shield_socket
1722262,loot_all_peasant_pocket
1758105,EA3_loot_salvage_hamme
1758106,EA3_loot_salvage_swor
1761012,loot_chakram_unique0
1761176,loot_mirrorblades_unique1
1761360,loot_mage_unique10_shiel
1761402,loot_warrior_unique10_shiel
1761470,loot_longbow_unique1
1761543,loot_mage_unique06_fee
1761600,loot_mage_unique06_hand
1761631,loot_mage_unique06_tors
1761781,loot_staff_unique1
1761814,loot_mage_unique07_hea
1761842,loot_mage_unique09_shiel
1761907,loot_mirrorblades_unique0
1761960,loot_sceptre_unique0
1762001,loot_rogue_unique06_hea
1762014,loot_rogue_unique06_leg
1763086,loot_warrior_unique09_tors
1763104,loot_sword2h_unique1
1763135,loot_sword2h_unique1
1763340,loot_greathammer_unique1
1763349,loot_warrior_unique10_hea
1763365,loot_staff_unique1
1763373,loot_rogue_unique10_shiel
1764159,loot_warrior_unique09_fee
1764199,loot_warrior_unique09_leg
1764522,loot_warrior_unique10_hand
1764564,loot_rogue_unique06_hand
1764593,loot_sword2h_unique1
1764607,loot_sword1h_unique1
1764631,loot_mirrorblades_unique0
1764636,loot_warrior_unique09_hand
1764637,loot_sword1h_unique1
1764645,loot_rogue_unique11_shiel
1764654,loot_rogue_unique07_fee
1773523,loot_KVSQ02_AnruBesi
1773559,loot_mage_unique06_hea
1773829,loot_warrior_unique09_hea
1773932,loot_amulet_unique34_0
1773933,loot_amulet_unique34_0
1773934,loot_amulet_unique34_0
1775953,loot_staff_unique1
1776055,loot_mage_unique11_shiel
1781062,loot_sq06_containe
1784589,loot_rogue_unique09_shiel
1784686,loot_mage_unique12_shiel
1786224,DMO_EA3_SafeLoo
1786374,DMO_EA3_Armor_Al
1786375,DMO_EA3_Weapons_Al
1786376,DMO_EA3_Weapons_Commo
1786377,DMO_EA3_Weapons_Infrequen
1786378,DMO_EA3_Weapons_Rar
1786379,DMO_EA3_Weapons_Uniqu
1807509,loot_sword1h_unique1
1807515,loot_staff_unique1
1807519,loot_daggers_unique0
1829569,loot_trap_elemental_fir
1829570,loot_trap_elemental_ic
1829571,loot_trap_elemental_lightnin
1829573,loot_trap_elemental_poiso
1833517,loot_footlocke
1844262,loot_salvage_talisma
1844263,loot_salvage_talisman_cor
1844265,loot_salvage_talisman_support_buffe
1862139,loot_all_components_infrequen
1862140,loot_all_components_rar
1862141,loot_all_components_cor
1862550,loot_all_components_uncommo
1886126,loot_greathammer_unique1
1887432,loot_warrior_unique10_tors
1894915,affix_all_infrequent_armor_neck_MQ0
1894936,MQ01_Trol
1896201,loot_mirrorblades_unique1
1896233,SQ67_Khlera
1896380,loot_warrior_unique10_fee
1896392,loot_warrior_unique10_leg
1896405,loot_greathammer_unique1
1899302,HM05_Armo
1924038,MQ16_Rewar
1924041,MQ05_Rewar
1924042,MQ09_Rewar
1924049,MQ13_Rewar
1924050,MQ14_Rewar
1932410,loot_warrior_set15_tors
1932432,loot_warrior_set15_leg
1932488,loot_warrior_set15_hea
1932505,loot_warrior_set15_hand
1932515,loot_warrior_set15_fee
1932564,loot_rogue_set12_hea
1932577,loot_rogue_set12_hand
1932578,loot_rogue_set12_fee
1932579,loot_rogue_set12_tors
1932580,loot_rogue_set12_leg
1932700,loot_warrior_set14_fee
1932701,loot_warrior_set14_hand
1932702,loot_warrior_set14_hea
1932703,loot_warrior_set14_leg
1932704,loot_warrior_set14_tors
1932723,MQ16_ArmorSetRewar
1933122,loot_mage_set14_fee
1933123,loot_mage_set14_hand
1933124,loot_mage_set14_tors
1933125,loot_mage_set14_hea
1933294,loot_shard_tier
1933445,loot_warrior_set16_fee
1933455,loot_warrior_set16_hea
1933456,loot_warrior_set16_hand
1933457,loot_warrior_set16_leg
1933458,loot_warrior_set16_tors
1933479,loot_mage_set11_fee
1933480,loot_mage_set11_hand
1933481,loot_mage_set11_hea
1933482,loot_mage_set11_tors
1934003,loot_mage_set12_hea
1934004,loot_mage_set12_hand
1934005,loot_mage_set12_fee
1934006,loot_mage_set12_tors
1949100,DLC1_shipwreck_gold_bonu
1949163,DLC1_loot_all_material
1949192,DLC1_loot_all_foo
1949197,DLC1_loot_all_warrio
1949367,DLC1_loot_all_rogu
1949377,DLC1_loot_all_mag
1949417,DLC1_loot_shipwreck0
1949418,DLC1_loot_shipwreck0
1949419,DLC1_loot_shipwreck0
1949420,DLC1_loot_shipwreck0
1949421,DLC1_loot_shipwreck0
1949422,DLC1_loot_shipwreck0
1949423,DLC1_loot_shipwreck0
1949424,DLC1_loot_shipwreck0
1949425,DLC1_loot_shipwreck0
1949426,DLC1_loot_shipwreck1
1968844,loot_gorhart_blacksmithing_containe
1969013,DLC1_loot_diplomacy_dverg
1969014,DLC1_loot_diplomacy_ljosalfa
1969015,DLC1_loot_diplomacy_varan
1969265,DLC1_loot_diplomacy_varani_bi
1969267,DLC1_loot_diplomacy_ljosalfar_bi
1969268,DLC1_loot_diplomacy_dverga_bi
1977223,loot_warrior_dlc1_unique01_hea
1978089,loot_warrior_dlc1_unique01_tors
1978175,loot_warrior_dlc1_unique01_hand
1978331,loot_warrior_dlc1_unique01_leg
1981633,loot_warrior_dlc1_unique01_fee
1981675,loot_rogue_dlc1_unique01_tors
1981717,loot_rogue_dlc1_unique01_hand
1981871,loot_rogue_dlc1_unique01_leg
1981942,loot_rogue_dlc1_unique01_fee
1981979,loot_rogue_dlc1_unique01_hea
1982080,loot_mage_dlc1_unique01_hea
1984935,loot_mage_dlc1_unique01_tors
1984962,loot_mage_dlc1_unique01_hand
1984989,loot_mage_dlc1_unique01_fee
1985455,loot_warrior_dlc1_set01_hea
1985461,loot_warrior_dlc1_set01_tors
1985462,loot_warrior_dlc1_set01_hand
1985463,loot_warrior_dlc1_set01_leg
1985464,loot_warrior_dlc1_set01_fee
