id,value
12842,c:/unit4projects/koar/root/content/design/scripts_engine/conditionmgr.lua
12886,c:/unit4projects/koar/root/content/design/types/worldobjects/chest.lua
12892,c:/unit4projects/koar/root/content/design/types/worldobjects/lever.lua
13016,c:/unit4projects/koar/root/content/design/scripts/npcs/npc.lua
13046,c:/unit4projects/koar/root/content/design/types/locations/arrow_hit_location.lua
13082,c:/unit4projects/koar/root/content/design/types/locations/miss_location.lua
13095,c:/unit4projects/koar/root/content/design/types/locations/wanderlocation.lua
13118,c:/unit4projects/koar/root/content/design/types/ammo/spellammo.lua
13129,c:/unit4projects/koar/root/content/design/spaces/scripts/dangerroom.lua
13150,c:/unit4projects/koar/root/content/design/scriptlibrary/common/gamestate/constants.lua
13151,c:/unit4projects/koar/root/content/design/scriptlibrary/common/gamestate/gamestate.lua
13153,c:/unit4projects/koar/root/content/design/scriptlibrary/common/benchmark.lua
13154,c:/unit4projects/koar/root/content/design/scriptlibrary/common/cameralibrary.lua
13155,c:/unit4projects/koar/root/content/design/scriptlibrary/common/characterlibrary.lua
13156,c:/unit4projects/koar/root/content/design/scriptlibrary/common/cinematiclibrary.lua
13157,c:/unit4projects/koar/root/content/design/scriptlibrary/common/conversations.lua
13158,c:/unit4projects/koar/root/content/design/scriptlibrary/common/factionslibrary.lua
13160,c:/unit4projects/koar/root/content/design/scriptlibrary/common/inputlibrary.lua
13164,c:/unit4projects/koar/root/content/design/scriptlibrary/common/soundlibrary.lua
13165,c:/unit4projects/koar/root/content/design/scriptlibrary/common/standardlibrary.lua
13166,c:/unit4projects/koar/root/content/design/scriptlibrary/common/stat_tracker.lua
13167,c:/unit4projects/koar/root/content/design/scriptlibrary/common/timelibrary.lua
13169,c:/unit4projects/koar/root/content/design/scriptlibrary/animations/animattacks.lua
13170,c:/unit4projects/koar/root/content/design/rules/companion.lua
13171,c:/unit4projects/koar/root/content/design/rules/player/player.lua
13172,c:/unit4projects/koar/root/content/design/rules/player/playerinput.lua
13451,c:/unit4projects/koar/root/content/ui/scripts/action_win.lua
13470,c:/unit4projects/koar/root/content/ui/scripts/cinematic_paused_win.lua
13476,c:/unit4projects/koar/root/content/ui/scripts/conversation_menu.lua
13481,c:/unit4projects/koar/root/content/ui/scripts/danger_win.lua
13483,c:/unit4projects/koar/root/content/ui/scripts/gameenginestartup.lua
13484,c:/unit4projects/koar/root/content/ui/scripts/general_alert_win.lua
13486,c:/unit4projects/koar/root/content/ui/scripts/ingameuistartup.lua
13488,c:/unit4projects/koar/root/content/ui/scripts/loading_screen.lua
13489,c:/unit4projects/koar/root/content/ui/scripts/location_alert.lua
13490,c:/unit4projects/koar/root/content/ui/scripts/loot_summary.lua
13491,c:/unit4projects/koar/root/content/ui/scripts/lore_summary.lua
13493,c:/unit4projects/koar/root/content/ui/scripts/main_menu.lua
13497,c:/unit4projects/koar/root/content/ui/scripts/minimap_win.lua
13500,c:/unit4projects/koar/root/content/ui/scripts/quest_update_summary.lua
13503,c:/unit4projects/koar/root/content/ui/scripts/resurrection_alert.lua
