id,value
12842,conditionmgr
12886,chest
12892,lever
13016,npc
13046,arrow_hit_location
13082,miss_location
13095,wanderlocation
13118,spellammo
13129,dangerroom
13150,constants
13151,gamestate
13153,benchmark
13154,cameralibrary
13155,characterlibrary
13156,cinematiclibrary
13157,conversations
13158,factionslibrary
13160,inputlibrary
13164,soundlibrary
13165,standardlibrary
13166,stat_tracker
13167,timelibrary
13169,animattacks
13170,companion
13171,player
13172,playerinput
13451,action_win
13470,cinematic_paused_win
13476,conversation_menu
13481,danger_win
13483,gameenginestartup
13484,general_alert_win
13486,ingameuistartup
13488,loading_screen
13489,location_alert
13490,loot_summary
13491,lore_summary
13493,main_menu
13497,minimap_win
13500,quest_update_summary
13503,resurrection_alert
13505,script_window_registry
13511,abilities_win
13515,factions_win
13517,inventory_win
13519,kingdom_win
13520,ledger_win
13522,lore_win
13523,options_win
13525,quests_win
13526,radial_menu_ledger
13528,button_rose_tools
13529,common_tools
13530,key_table
13531,menu_tools
13532,summary_repeater_helper
13535,cheats
13537,dangercontent
13538,dangermanager
13949,root
24541,merchant_win
25052,city_sign
72683,sign_win
77766,message_box_win
99957,spacecommon
109403,blockandattack
109404,behaviorcommon
109549,idle_behavior
109550,combat_behavior
109551,combat_idle_behavior
109552,noncombat_behavior
109574,melee_combat_behavior
109588,melee_combat_approach_behavior
109613,melee_attack_behavior
110793,parry
110946,wander_behavior
120838,block_talent
123697,behaviormgr
128232,legrandquestspace
128241,uicontrollercommon
128274,combat_tool_win
128717,danger_stage_win
142466,dmo_na_unibox
147711,atk_hmr_3
147712,atk_hmr_2
147713,atk_hmr_1
147725,atk_swd_1
147726,atk_swd_2
147727,atk_swd_3
148022,atk_palmstones_1
148025,atk_palmstones_2
148027,atk_palmstones_3
149093,atk_palmstones_4
149094,atk_palmstones_5
149095,atk_hmr_4
149846,alchemy_reagent
150180,alchemy_win
150185,alchemylibrary
154276,playerdodge
154922,atk_swd_4
156558,atk_gnt_1
156559,atk_gnt_2
156560,atk_gnt_3
157240,ranged_combat_behavior
157242,ranged_special_attack
157441,melee_combat_stepback_behavior
158256,state_knocked_down
159275,circle_to_assigned_slot
160366,state_knockeddown
160830,atk_swd_fatality_1
161657,check_for_better_slot
163799,na_unibox_try_followers
165977,skills_win
165984,fast_travel_win
166018,follow_basic
166476,follow_combat
166614,na_unibox_detection_training
166969,ranged_maintain_range
167306,prototpye_hidden_trap_flame
169068,empty_script
169132,prototype_hidden_door
178612,death_enter
178613,death_exit
179129,ranged_combat_idle_behavior
187107,item_information_template
189974,volumetexttrigger
192940,atk_bow_1
193949,target_win
196279,modulevariablestorage
196571,map_manager
197229,sprint
197328,test_qe_newdialogtest
198124,alchemy_atk_armor_buff
200570,hiddenobjects
202082,door
203701,prototype_flame_trap
204991,lockedobjects
205139,enemy
205567,mercantilelibrary
211904,ambient
212030,xp_notification_win
228229,qaautomation
228243,qa_automation_quest
233153,magic_fissure_slam
237030,forge
237033,workbench
237445,bed
237535,reagentsource
237609,interact_behavior
237611,activity_behavior
237757,activity_goto_behavior
237759,activity_interact_behavior
238943,protector_behavior
238945,move_to_protect_behavior
240298,ranged_dodge_attack
241582,atk_spr_silhouette
241722,berserk_behavior
249501,usable_items_radial
251340,trapscript_acid
251923,celebrate_behavior
252447,knockback_behavior
254994,universal_information_window
255329,universal_information_window_manager
256061,npc_services_manager
256247,na_unibox_merchants
256462,test_defaultaudio
256627,barber_win
256628,blacksmith_win
256629,healer_win
256630,spellbinder_win
256631,trainer_win
257508,skill_books
257547,skill_book_alchemy_01
257561,skill_book_blacksmithing_01
257570,skill_book_detecthidden_01
257601,skill_book_mercantile_01
263045,target_win_manager
263401,dmo_na_combatgridtests
264716,loot_popup_manager
264717,loot_popup
269236,alchemyformula
269722,skill_buffs
269731,alchemy_skill_buff_alchemy_1
269732,alchemy_skill_buff_alchemy_2
269733,alchemy_skill_buff_ancientk_1
269734,alchemy_skill_buff_ancientk_2
269735,alchemy_skill_buff_blacksmithing_1
269736,alchemy_skill_buff_blacksmithing_2
269852,alchemy_skill_buff_inspiration_1
269853,alchemy_skill_buff_inspiration_2
269854,alchemy_skill_buff_intimidation_1
269860,alchemy_skill_buff_intimidation_2
269861,alchemy_skill_buff_lockpicking_1
269862,alchemy_skill_buff_lockpicking_2
269863,alchemy_skill_buff_medicine_1
269864,alchemy_skill_buff_medicine_2
269865,alchemy_skill_buff_mercantile_1
269866,alchemy_skill_buff_mercantile_2
269933,alchemy_skill_buff_spellbinding_1
269934,alchemy_skill_buff_spellbinding_2
269935,alchemy_skill_buff_detecth_1
269936,alchemy_skill_buff_detecth_2
269966,quest_update_summary_window
270044,lore_summary_window
270045,level_alert_manager
271528,character_win
271892,magic_haste
272893,magic_haste_2
272894,magic_haste_3
272895,magic_haste_4
272896,magic_haste_5
272897,magic_haste_6
272898,magic_haste_7
276369,load_win
276378,save_win
276835,partylibrary
277146,portraitmanager
277986,alchemy_buffs
278037,alchemy_att_buff_finesse_1
278038,alchemy_att_buff_finesse_2
278039,alchemy_att_buff_intellect_1
278040,alchemy_att_buff_intellect_2
278041,alchemy_att_buff_might_1
278043,alchemy_att_buff_might_2
278413,effects_win
280182,nyi_usable_items
286719,game_quest_alert
292137,lever_wocavern_01
299372,scriptlink_summon10
299418,summon_library
299820,scriptlink_summon
304192,scriptlink_movenpcsonvolumeenter
319979,behavior
320346,goto_waypoints_behavior
323270,lever_wocavern_multitarget
327509,script_strict_behavior
