id,value
386885,SKY
573544,LORE
618353,Buff
658091,FAB
723859,PATH
742615,TASK
931268,sound
990032,UIXml
1018473,QUEST
1377070,DECAL
1468935,REGION
1553223,motion
1624250,Shader
1678089,TALENT
2198879,ITEMSET
2221865,Ragdoll
2241773,SIMTYPE
2273203,TEXTURE
2322006,HATESET
2345577,PATHSET
2351260,CLUSTER
2495217,TERRAIN
2562756,ABILITY
2567982,FACTION
2639251,fabslot
2820823,FXACTOR
2857696,VIGNETTE
3291722,BEHAVIOR
3404355,MATERIAL
3698445,SIMSPACE
3976307,MOTIONSET
4224298,ENCOUNTER
4226615,VOICETYPE
4258573,FXPATTERN
4298523,ANIMATION
4631400,LuaScript
4642583,LOOTTABLE
4885289,MOTIONTREE
4914096,CINEMATIC
5611880,ARTSETAMMO
6350273,ACHIEVEMENT
6660064,DIALOGAUDIO
7174600,Interaction
7191476,EFFECTSTATE
7681154,COLLISIONSET
7733906,BEHAVIORTREE
7822895,MONSTERGROUP
8856244,DIALOG_TOPIC
10609420,PHYSICSACTION
10984767,terrain_patch
11968503,InputDeviceMode
12227593,PLAYER_ABILITY
12903413,PLATFORM_SHADER
13200475,RUMBLE_SEQUENCE
13418723,GlobalObjectRef
13922954,CINEMATIC_SCENE
14234476,lua_script_path
14798443,CAMERACONTROLLER
15527383,COLLISION_PROFILE
16308835,TerrainPaletteSet
17585416,DIALOGUECAMERASET
17684611,InputDeviceAction
19277320,InputDeviceControl
21213777,InputDeviceSequence
23192683,WEAPON_EFFECT_TABLE
26797077,ragdoll_bone_mappings
31062568,COLLISION_EFFECT_TABLE
42634413,ACTIVE_SUMMONING_ENCOUNTER
79819349,DYNAMIC_CHARACTER_WEAPON_FX_TABLE
