id,value
5088,InvalidFXPat
5091,camera_throne_eye_pat
5092,camera_throne_focus_pat
5095,drowe test spline pat
5096,Fire-BeaconStartup_FlameStrea
5097,FireBall-TrebuchetPath0
5098,gauntlet_test_0
5099,heal_helix_0
5100,heal_helix_0
5102,pheonix_circle_path_0
5103,pheonix_circle_path_0
5105,pheonix_helix_0
5106,pheonix_helix_0
5107,pheonix_left_path_0
5108,pheonix_left_path_0
5109,pheonix_right_path_0
5110,pheonix_right_path_0
5112,tengri_dust_circl
156296,test-splin
156508,test-Helix0
198193,MagicShield_Circl
277259,Path-Helix_Spher
693098,FXPath_Fate_Hammer_0
693099,FXPath_Fate_Hammer_0
693232,FXPath_FateShift_Dagger_0
693233,FXPath_FateShift_Dagger_0
693300,FXPath_FateShift_Dagger_
693301,FXPath_FateShift_Dagger_
