id,value
2138287,tmp_testdungeon_01
2138291,tmp_testdungeon_01_space_02
2138323,tmp_testdungeon_01
2140008,ao_21_dgn_slave_market_space_01
2150007,ao_23_dgn_caer_anlan_space_01
2160006,test_levelscaling_0_0
2160009,test_levelscaling_0_1
2160012,test_levelscaling_0_2
2160019,test_levelscaling_1_0
2160050,test_levelscaling_0_0
2160051,test_levelscaling_0_1
3010003,ao_11_dgn_path_prison
4000005,ao_12_dgn_ancient_ruin_space
5000006,ao_33_dgn_madding_wind_space_01
5010004,ao_33_dgn_madding_wind_space_02
6000007,ao_45_dgn_ancient_tower
7000005,ao_43_dgn_icy_cave_space_01
8000007,ao_41_ext_skalds_smithy_space_01
8000015,ao_41_ext_skalds_smithy_space_02
8010003,ao_41_ext_skalds_smithy_space_02
8010005,ao_41_ext_skalds_smithy_space_01
8020003,ao_41_ext_skalds_smithy_space_03
8030003,ao_41_ext_skalds_smithy_space_04
9000006,ao_36_dgn_bolthole_space_01
10000007,ao_46_ext_decayed_estate
10010004,ao_35_ext_madding_wind
10020003,ao_20_cty_resettlement_camp
10100003,ao_30_cty_gale_crossing
10200003,ao_mithros_space_03
11000007,ao_10_ext_path_to_camp_space_01_start
11000009,ao_10_ext_path_to_camp_space_01_start
11000010,ao_10_ext_path_to_camp_space_02_river
11000011,ao_10_ext_path_to_camp_space_03_lakes
11100002,ao_10_ext_path_to_camp_space_02_river
11200002,ao_10_ext_path_to_camp_space_03_lakes
11300002,ao_10_ext_path_to_camp_space_04_bridge
