id,value
8640,color_onl
8641,debug_fon
8642,depth_alpha_tes
8643,depth_leaf_alpha_tes
8644,depth_leaf_soli
8645,depth_soli
8646,depth_trunk_alpha_tes
8647,depth_trunk_soli
8648,depth_veggie_alpha_tes
8649,depth_veggie_soli
8650,depth_weighted_alpha_tes
8651,depth_weighted_soli
8652,fla
8653,flat_mas
8656,postproc_colo
8658,postproc_color_transitio
8659,postproc_combin
8661,postproc_distor
8663,postproc_downsample_2
8664,postproc_downsample_4
8666,postproc_gaussian_filte
8670,shadow_alpha_tes
8671,shadow_appl
8672,shadow_soli
8673,shadow_weighted_alpha_tes
8674,shadow_weighted_soli
8675,simple_colo
8676,simple_constan
8677,simple_leaf_norma
8678,simple_masked_textur
8679,simple_material_constan
8680,simple_norma
8681,simple_po
8682,simple_textur
8683,simple_texture_alph
8684,simple_trunk_norma
8685,simple_veggie_norma
8686,simple_weighted_material_constan
8687,simple_weighted_norma
8688,simple_weighted_po
8689,weightedfla
8690,PostProcAncesto
8691,set_
8692,set_z_mas
8693,CharacterRi
8696,CharacterRimEdito
8699,WeightedCharacterRi
8702,WeightedCharacterRimEdito
8705,DistortionBufferWrit
8706,WeightedDistortionBufferWrit
8707,Dot
8710,Dot3Edito
8711,Dot3Offse
8718,WeightedDot
8721,WeightedDot3Edito
8725,GlassMetalEdito
8727,GlassMetalSoli
8728,WeightedGlassMeta
8729,WeightedGlassMetalEdito
8730,CyclicObjectHighligh
8731,InteractionObjectHighligh
8732,BasicHighligh
8733,WeightedCyclicObjectHighligh
8734,WeightedInteractionObjectHighligh
8735,BasicWeightedHighligh
8736,god_ray
8741,DistortionShiel
8742,EnergyShiel
8744,WeightedDistortionShiel
8745,WeightedEnergyShiel
8750,RockEdito
8752,RockSoli
8753,WeightedRoc
8754,WeightedRockEdito
8756,Standar
8757,WeightedStandar
8768,TerrainDebu
8770,TerrainEdito
8772,TerrainSoli
8776,TreeLea
8777,TreeLeafEdito
8782,TrunkDot
8783,TrunkDot3Edito
8784,VeggieChea
8785,VeggieCheapEdito
8787,Wate
8789,WaterEdito
8791,WaterRefractio
12442,vertexblen
12443,vertexblendedito
12444,weightedvertexblen
12445,weightedvertexblendedito
12565,textureblen
12566,textureblendedito
12567,weightedtextureblen
12568,weightedtextureblendedito
12723,texturemultiplymas
12724,texturemultiplymaskedito
12725,weightedtexturemultiplymas
12726,weightedtexturemultiplymaskedito
14234,ScrollingFla
14235,ScrollingFlatEdito
14236,WeightedScrollingFla
14237,WeightedScrollingFlatEdito
14239,TextureBlendAndDeca
14240,TextureBlendAndDecalEdito
