id,value
197327,test_qe_newdialogtest
228242,qa_automation_quest
256246,na_unibox_merchants
256461,test_defaultaudio
345823,npc_barks
361668,m0_sq06
385370,tmp_na_qa_chris
425982,m0_sq06_fin
438799,sq01
439682,sq07
439722,sq08
440729,sq04
441373,sq03
441938,sq02
443633,sq06
449611,sq06_fin
451270,sq07_fin
457008,tr01
457555,sa01
457589,hm01
457913,hm02
457947,tr02
459834,tr_shell
460774,tr01_fin
461580,sa02
462341,sa01_fin
462518,kv01_fin
462590,tr21
463777,nqd_village_gloaming
463779,nqd_village_gloaminggibberish
464124,tr02_fin
464173,kv_nqd
467721,hm03
467723,hm04
467725,hm05
467727,kv03
467744,tr03
467838,sa03
472454,sa04
473306,kv04
473411,tr05
480115,hm_nqd
482242,kv05
482304,generic_crime
482961,tr03_fin
484880,sa05
488226,tr05_fin
490214,dev_dialogtestquest
493013,kv06
494374,tr06
495487,ffq03
495779,sa_nqd
497709,hm06
497711,hm07
501490,tr07
501659,kv07
502665,sa06
503476,tr08
507502,sa08
508141,sq51
510295,ffq04
511220,u01
512340,u02
514318,u02_fin
518702,sq15
521261,sq10
521903,sq23
521918,sq13
522390,sq19
522638,sq16
523508,sq12
525551,sq17
527393,sq21
527628,kv10
528134,sq18
528652,sq14
529073,sq11
531658,ffq05
533430,sq22
534119,sq18_fin
536841,nqd_friendlyencounters
540334,ffq07
540798,kvsq02
544275,hp_b1
544277,sq25
544947,lore
545731,sq26
545970,hp02
548108,sq27
549550,mq02
549586,sq29
550127,ffq08
550922,ffq08_fin
550941,mq_nqd
551297,ffq09
552051,hp_nqd
553300,canneroc_nqd
555899,mq03
555901,mq04
557095,sq36
557394,sq30_fin
557500,hv01
561141,hv_nqd
563881,mq05
565638,hv02
567350,sq31
570082,mq06
570084,mq07
570086,mq08
571972,hv03
572878,hv04
574307,sq34
574868,hv06
576353,sq46
576439,sq35
578057,sq46_fin
579416,sq44
580435,sq44_fin
583289,hv07
587818,fp01
588388,sq54
589490,sq54_fin
589493,nqd_village_whitestone
589563,ffq51
589911,mq09
589915,mq10
589917,mq11
589922,mq13
589924,mq14
589926,mq15
589928,mq16
589931,mq17
590003,sq61
590984,sq52
591256,sq57
592526,sq53
592788,sq52_53_nqd
593901,sq58
594735,sq62
596224,nqd_city_rathir
596269,sq59
597592,sq55
597663,ffq999
598316,sq60
599193,sq56
599442,sq63
599770,ffq998
600351,fp02
601392,npc_trainers
601903,sq56_fin
611155,dev_unibox_healer
611596,sq69
611613,sq66
611656,kv01
612500,chulskiquest
613083,mq01
616680,u03
620218,fp03
622047,fp04_
623746,fp05
628550,sq67
630218,npc_serviceproviders
630966,sq65
639212,fp06
639641,fp07
639988,gorhart_nqd
642866,lelandpost_nqd
644738,ffq10
646884,glendara_nqd
649344,u03_fin
650491,fp08
659587,nqd_village_tirinsrest
660016,tmp_testdialoguequest
662564,tr20
663188,ffq13
664995,ffq14
667426,u04
670349,kv10_fin
690387,ls02
695267,sq23_fin
695918,sq15_fin
695920,sq08_fin
709955,ls03
710522,ffq15
710527,ffq17
712255,qa_kitteh_testquest_01
712358,emaire_nqd
717566,ffq18
717593,ayten_nqd
717986,ls05
718072,acf01
718074,ls06
725343,dev_escapeprisonquest
731979,nqd_region_menetyre
734522,ffq20
734524,ffq21
735988,ffq22
744464,vmc_nqd
747916,ffq23
747925,ffq24
747927,ffq25
747929,ffq26
747931,ffq27
749396,apotyre_nqd
749750,ffq23_a
749752,ffq23_b
749754,ffq23_c
749937,ls08
750161,ffq29
751643,ffq30
755442,sq30
756361,ffq80
759942,ffq81
760709,ffq31
760711,ffq32
760713,ffq33
760715,ffq34
790086,sq29_fin
843163,ffq33_fin
1164038,ffq35
1164089,ffq36
1241289,sq41
1251244,sq50
1252336,sidhe_nqd
1252458,sq75
1253016,nqd_city_adessa
1254943,sq83
1257091,sq84
1259900,hv_arena
1260381,sq47
1260457,sq49
1260567,sq76
1262645,sq77
1269299,sq86
1272538,sq87
1272540,sq85
1272546,sq88
1272808,sq89
1274232,ffq47
1278069,nqd_village_didenhil
1286766,qa01
1292772,nqd_region_drownedforest
1293651,sq78
1297481,sq79
1297506,nqd_followers
1304720,ffq49
1307600,allestar_nqd
1307633,fp_nqd
1308608,sq09
1309621,nqd_region_hollowlands
1310054,sq97
1310217,sq100
1310265,sq102
1310280,sq103
1310284,sq104
1310302,sq80
1310306,sq82
1310318,sq91
1310324,sq92
1310335,sq93
1312052,kandrian_nqd
1312476,tmp_na_qa_will
1313479,twilightpass_nqd
1313561,sq105
1315638,ffq52
1320107,sq95
1322367,sq96
1324179,sq99
1327544,sq107
1331671,fenaster_nqd
1332203,sq108
1333132,ffq53
1335981,sq109
1339422,sq81
1340321,ffq56
1340739,sq110
1340845,melsenshir_nqd
1345958,nqd_warsworn_ironfastkeep
1348769,qa_quest_nqd
1352899,sq111
1354229,kvsq01
1363142,sq112
1364459,nqd_city_melsenshir_bossbattle
1366813,nqd_region_lorcarane
1367283,haxhi_nqd
1370376,ffq04_fin
1373915,npc_crime
1373934,npc_combat
1373948,npc_stealth
1373968,npc_misc
1374340,nqd_region_caeledcoast
1375390,ffq114
1375392,ffq115
1379398,u01_fin
1382473,sq114
1386000,sq115
1387464,ls11
1388321,sq116
1388507,sq117
1388540,sq118
1388542,ffq116
1392303,sq118_fin
1396296,ls12
1397136,ls13
1427802,ls_odarath
1428859,sq120
1431131,sq68
1443829,sq124
1453969,sq123
1458189,sq122
1458195,sq121
1471185,sq125
1476188,sq62_fin
1484914,ffq59
1485448,sq126
1490841,nqd_city_ysa
1491990,ffq60
1499776,ffq61
1499778,ffq62
1500402,dmo_gdc
1500406,dmo_gdc_start
1507672,ffq64
1511548,ffq66
1511550,ffq67
1521231,sq127
1523728,sq128
1533374,kvsq03
1536957,kvsq04
1539079,kvsq06
1540101,kvsq07
1540497,kvsq08
1540679,kvsq09
1541247,kvsq10
1556445,sq133
1561073,nqd_region_highfulgen
1562820,nqd_region_amaura
1565116,sq94
1568843,sq137
1568849,sq138
1568851,sq139
1573776,ffq71
1574824,nqd_region_redmarches
1576008,sq140
1577264,sq141
1577266,sq142
1577269,sq143
1583001,sq131
1600024,sq144
1604643,nqd_region_tywilicoast
1610759,sq145
1611749,sq146
1611923,sq147
1619339,ffq69
1621030,keening_nqd
1621227,trsq01
1624284,ffq82
1632212,sq149
1633037,trsq02
1633336,hvsq_01
1637499,sq150
1646483,ffq83
1646577,trsq03
1648626,sq151
1652781,ffq84
1655270,ffq85
1657001,tmp_na_qa_kstar
1666047,nqd_city_rathir_citizens
1666270,hv08
1695620,hmsq01
1695866,hmsq02
1695875,sq152
1698817,hmsq03
1698819,hmsq04
1700657,nqd_region_talarane
1704224,sq153
1717109,dmo_rathir_start
1722692,nqd_city_adessa_citizens
1727647,dev_emotiontestquest
1743353,nyralim_nqd
1747110,fp_nqd_citizens
1759742,cursewood_nqd
1762903,shadowpass_nqd
1772558,alserund_nqd
1774240,nqd_villages_prisons
1781623,dmo_e3_start
1789094,ffq45
1800351,sasq01
1800355,sasq02
1800357,sasq03
1825868,sq154
1832710,nqd_region_dalentarth
1850718,ffq04_deer2
1859132,sq155
1862841,nqd_orbocant
1873825,hv08_post
1874989,dev_persuasiontest
1875108,ffq34_fin
1875838,nqd_village_didenhil_jail
1913467,pcq01
1937060,dlc1_mq01
1937065,dlc2_mq01
1937439,dlc1_mq_nqd
1937843,hv_fightboard
1940147,dlc2_mq_nqd
1941540,dlc1_nqd_grayvhalkeep
1941670,dlc1_mq02
1943584,dlc1_mq03
1944003,dlc2_sq04
1944005,dlc2_sq05
1944007,dlc2_sq06
1944009,dlc2_sq07
1944017,dlc2_mq02
1944329,dlc2_sq01
1946261,dlc1_mq04
1947421,dlc2_sq02
1947504,dlc2_idylla_nqd
1948054,dlc2_mq03
1948551,dlc2_teethofnaros_nqd
1949151,dlc1_mq05
1952628,dlc1_mq06
1953032,dlc2_sq03
1953038,dlc2_mq04
1954626,dlc1_sq02
1957623,dlc1_sq04
1958912,dlc1_nqd_gallowsend
1959071,dlc2_mq05
1960535,dlc2_sq08
1961287,dlc1_sq01
1962117,dlc1_sq05
1962515,dlc1_sq06
1962959,dlc2_mq06
1963058,dlc2_ffq01
1963060,dlc2_ffq02
1963062,dlc1_sq03
1963532,dlc1_ffq01
1964884,dlc2_idylla_nqd_citizens
1965163,dlc1_sq07
1966401,dlc2_sq09
1973951,dlc2_ffq03
1974695,dlc2_ffq04
1981711,dlc2_sq10
1985675,ffq86
1985677,ffq87
1985679,ffq88
1987173,dlc2_sq11
1987402,dlc2_idylla_jobboard_nqd
1988191,dlc2_sq12
1991431,dlc1_ph01a
1991466,dlc2_sq13
1991469,dlc2_sq14
1991492,dlc1_ph02a
1993117,dlc1_ph03a
1993119,dlc1_ph04a
1993121,dlc1_ph05a
1993123,dlc1_ph06a
1993963,dlc1_sq08
2001870,dlc1_ph06b
2005688,dlc1_ph04b
2008982,dlc1_ph03b
2009109,dlc1_ph05b
2012226,dlc1_ph02b
2016809,dlc1_ph01b
2019736,dlc2_npc_barks
2023654,dlc1_ph07a
2026652,dlc1_ph07b
2027828,dlc2_sq16
2028142,dlc2_sq17
2031986,dlc1_npc_barks
2098782,dlc2_primos_fight
2150021,ao_testquest_01
2600001,ao_mq_020
2601000,ao_sq_ss_001
2601100,ao_sq_mw_001
