id,value
405828,jottun_vvs
1437778,human_skel
1439354,human_skel_f
1441409,troll_skel
1444763,murghan_skel
1444776,barghest_skel
1448089,banshaen_skel
1472328,bolgan_skel
1525568,bogeyman_skel
1526281,gnome_skel
1527215,brownie_skel
1531010,sprite_skel
1534386,niskaru_skel
1536596,leanashe_skel
1537173,thresh_skel
1538565,niskaruhunter_skel
1807094,giant_rat_skel
1881334,boggart_skel
1882946,wolf_skel
1883531,bear_skel
1898042,spider_skel
1904785,antelope_skel
1925835,ettin_skel
1966109,dlc1_scarab_skel
1967051,dlc1_rockmonster_skel
1982132,dlc2_kollossae_male_skel
1985663,dlc2_kollossae_female_skel
1986602,dlc2_pteryx_skel
