id,value
80066,tmp_na_combattest_region
80645,tmp_na_pathing1_region
126588,audiotestregion
137547,dmo_na_dangerunibox_region
159917,tmp_na_footstep_region
228192,tmp_na_qaautomation_region
249232,tmp_na_clobberabletestregion
431608,out_dalentarth_region
432701,dmo_m1
442005,dgn_hol_brunuath_region
445393,dgn_cav_waterhalldown_region
454303,out_detyre_region
454305,out_plainsoferathell_region
455235,out_alabastra_region
455659,out_klurikon_region
456035,cty_ysa_region
456067,cty_adessa_region
456132,cty_rathir_region
456164,cty_melsenshir_region
458154,int_dal_yolvan_thelibrary_region
458680,dgn_tmp_ncatest
458812,int_dal_gorhartinn_region
459096,int_dal_ballads_courtofenchantments_region
459244,int_dal_stodwigsperpetualmissionmain_region
459696,dgn_cav_sundurcaverns_region
463469,dgn_hol_arduath_region
463913,int_cty_ysa_hallofthehunt_region
464385,dgn_hol_gorguath_region
464968,int_dal_guelmeinlodge_region
465142,dgn_cav_shattertiermines_region
467938,dgn_cav_brigandhallcaverns
467951,int_dal_ballads_houseofaccolades_region
468420,out_pln_prototype
468911,dgn_cav_ironholdpassage_region
469046,dgn_hol_uduath_region
469608,tmp_interior_tests
469683,int_cty_adessa_ouetstebiccrietlabs_region
470117,dgn_str_stebiclab_region
470424,dgn_cav_wellofgreaterdidenhil_region
471620,dgn_cav_tulan_region
473662,dgn_cav_overgrownthicket_region
473664,dgn_cav_shaderivercaves_region
473672,dgn_cav_stonecandlemines_region
473676,dgn_dvg_yumy_region
473679,dgn_fca_castleyolvan_region
473683,dgn_hol_cathrus_region
473685,dgn_dvg_aodh_region
473689,dgn_cav_tearscottermines_region
473702,dgn_dvg_vlaskersforge_region
473704,dgn_cav_shardfall_region
473711,dgn_str_dolvearne_region
473715,dgn_cav_darkglowcaverns_region
473720,dgn_cav_sevenwidowmine_region
473724,dgn_dvg_cathedraloftheworld_region
473731,dgn_str_dolvewayle_region
473734,dgn_dvg_hurvarsdoorsill_region
473738,dgn_cav_sanctuarygrotto_region
473762,dgn_dvg_cavernsofingress_region
473771,dgn_cav_splitrockdepths_region
473773,dgn_dvg_agnurfarhol_region
473785,dgn_dvg_cannrane_region
473801,dgn_cav_fellfirepit_region
473812,dgn_cav_luckymine_region
473819,dgn_cav_echoinglightmine_region
473830,dgn_str_bonnlach_region
473840,dgn_hol_adarus_region
473862,dgn_dvg_theblackenedhall_region
473874,dgn_cav_whisperingcaves_region
473883,dgn_fca_houseofpride_region
473886,dgn_cav_glasspillarcaves_region
473895,dgn_cav_glowlodecavern_region
473897,dgn_cav_prismerebasin_region
473903,dgn_cav_shininglabyrinth_region
474790,tmp_na_qaautomation_dng_region
475087,int_dal_canneroc_inn_region
475452,int_dal_canneroc_house01_region
475453,int_dal_canneroc_house02_region
481321,int_dal_greaterdidenhil_houseoftrade_region
481322,int_dal_littledidenhil_healer_region
481323,int_dal_greaterdidenhil_baker_region
481871,int_poe_acatha_derfelshouse_region
481907,int_dal_littledidenhil_kalthouse_region
481917,int_dal_greaterdidenhil_luminitsahouse_region
481948,int_dal_littledidenhil_inn_region
483855,int_cty_rathir_chamberoftrade_region
483918,int_cty_rathir_tr05catacombs_region
