id,value
7982,dmo_na_combattest
7984,dmo_na_dangerroom
80646,tmp_na_pathingtestareg1
80689,tmp_na_pathingtestbreg1
124626,tmp_na_audiospace
125172,tmp_na_audiospace2
139619,dmo_na_unibox
159923,tmp_na_footstep_test
228191,tmp_na_qacombatautomation
249245,tmp_na_clobberabletest
431638,out_dal_north_01
431639,out_dal_north_02
431640,out_dal_north_03
431641,out_dal_north_04
431642,out_dal_south_01
431643,out_dal_south_02
431644,out_dal_south_03
431645,out_dal_south_04
431646,out_dal_west_01
431647,out_dal_tran_north_01_to_north_02
431648,out_dal_tran_north_02_to_north_03
431649,out_dal_tran_north_03_to_north_04
431650,out_dal_tran_north_01_to_west_01
431651,out_dal_tran_north_02_to_windemere
431652,out_dal_tran_south_01_to_south_02
431653,out_dal_tran_south_02_to_south_03_b
431654,out_dal_tran_south_03_to_south_04
431655,out_dal_tran_north_02_to_south_02
431656,out_dal_tran_north_03_to_south_03_b
431657,out_dal_tran_north_04_to_south_04
434017,dmo_m1_south
435916,dmo_m1_west
437380,dmo_m1_north
437478,dmo_m1_tran_south_west
437524,dmo_m1_tran_north_west
437539,dmo_m1_north_south
442002,dgn_hol_brunuath
445392,dgn_cav_waterhalldown
454306,out_poe_north_01
454307,out_poe_north_02
454308,out_poe_north_03
454309,out_poe_north_04
454311,out_poe_south_01
454312,out_poe_south_02
454313,out_poe_south_03
454314,out_poe_south_04
454315,out_poe_tran_north_01_to_north_02
454316,out_poe_tran_north_02_to_north_03
454317,out_poe_tran_north_03_to_north_04_b
454320,out_poe_north_00
454321,out_poe_tran_north_00_to_north_01
454323,out_poe_tran_north_01_to_south_01
454324,out_poe_tran_north_02_to_south_02
454325,out_poe_tran_north_03_to_south_03
454326,out_poe_tran_north_04_to_south_04
454327,out_poe_tran_south_01_to_south_02
454328,out_poe_tran_south_02_to_south_03
454329,out_poe_tran_south_03_to_south_04
454813,out_det_north_01
454932,out_det_south_00
454933,out_det_south_01
454934,out_det_south_02
455527,out_ala_north_01
455532,out_ala_south_01
455551,out_det_tran_south_00_to_south_01
455552,out_det_tran_south_01_to_south_02
455559,out_det_tran_west_01_to_south_01
455579,out_det_tran_west_01_to_south_00
455678,out_klu_west_01
455978,out_klu_west_02
455979,out_klu_west_03
455980,out_klu_west_04
455981,out_klu_east_01
455982,out_klu_east_02
456062,cty_ysa
456159,cty_rathir
456191,cty_melsenshir
458118,int_dal_yolvan_thelibrary
458643,out_klu_tran_west_01_to_east_01
458644,out_klu_tran_west_02_to_east_02
458647,out_klu_tran_east_01_to_east_02
458651,out_klu_tran_west_01_to_west_02
458652,out_klu_tran_west_02_to_west_03
458653,out_klu_tran_west_03_to_west_04
458671,dgn_tmp_ncatest
458811,int_dal_gorhart_inn
459099,int_dal_ballads_courtofenchantments
459243,int_dal_stodwigsperpetualmissionmain
459695,dgn_cav_sundurcaverns
462350,tmp_na_qatravelautomation
463470,dgn_hol_arduath
463915,int_cty_ysa_hallofthehunt
464384,dgn_hol_gorguath
464927,int_dal_guelmuinlodge
465143,dgn_cav_shattertiermines
467883,int_dal_ballads_houseofaccolades
467939,dgn_cav_brigandhallcaverns
468902,dgn_cav_ironholdpassage
468905,out_pln_prototype
469045,dgn_hol_uduath
469610,war_int_vil_warehouse
469774,int_cty_adessa_ouetstebiccrietlabs
470078,dgn_str_stebiclab
470423,dgn_cav_wellofgreaterdidenhil
471619,dgn_cav_tulan
472736,out_dal_tran_south_02_to_south_03_a
472784,tmp_na_qacliffsarea
473661,dgn_cav_overgrownthicket
473663,dgn_cav_shaderivercaves
473671,dgn_cav_stonecandlemines
473675,dgn_dvg_yumy
473678,dgn_fca_castleyolvan
473682,dgn_hol_cathrus
473684,dgn_dvg_aodh
473688,dgn_cav_tearscottermines
473701,dgn_dvg_vlaskersforge
473703,dgn_cav_shardfall
473710,dgn_str_dolvearne
473714,dgn_cav_darkglowcaverns
473719,dgn_cav_sevenwidowmine
473723,dgn_dvg_cathedraloftheworld
473730,dgn_str_dolvewayle
473732,dgn_dvg_hurvarsdoorsill
473737,dgn_cav_sanctuarygrotto
473761,dgn_dvg_cavernsofingress
473770,dgn_cav_splitrockdepths
473772,dgn_dvg_agnurfarhol
473784,dgn_dvg_cannrane
473799,dgn_cav_fellfirepit
473811,dgn_cav_luckymine
473818,dgn_cav_echoinglightmine
473829,dgn_str_bonnlach
473839,dgn_hol_adarus
473861,dgn_dvg_theblackenedhall
473870,dgn_cav_whisperingcaves
473882,dgn_fca_houseofpride
473885,dgn_cav_glasspillarcaves
473894,dgn_cav_glowlodecavern
473896,dgn_cav_prismerebasin
473902,dgn_cav_shininglabyrinth
474791,tmp_na_qa_dng_well
474792,tmp_na_qa_dng_cliffs
475230,int_dal_canneroc_inn
475463,int_dal_canneroc_house01
475603,int_dal_canneroc_house02
481312,int_dal_littledidenhil_healer
481318,int_dal_greaterdidenhil_baker
481686,int_dal_greaterdidenhil_houseoftrade
481870,int_poe_acatha_derfelshouse
481904,int_dal_littledidenhil_kalthouse
481938,int_dal_greaterdidenhil_luminitsahouse
482078,int_dal_littledidenhil_inn
483820,int_cty_rathir_chamberoftrade
483821,out_poe_skycrown_top
483919,dgn_str_rathircatacombs
485446,int_dal_sthadwynsperpetualmission
492992,out_klu_isleofeamonn
493831,out_dal_tran_north_02_to_north_03_a
494309,int_cty_rathir_salibrary
494311,int_cty_rathir_samainhall
494321,int_cty_rathir_sadormitory
494762,dgn_tmp_ncatest02
496147,int_cty_ysa_samainhall
496666,dgn_str_windemerecastle
497631,int_dal_ballads_hobgrounds
497637,int_dal_ballads_summersanctuary
498292,out_dal_dgn_summersend
499212,int_dal_summersend_thechantry
501956,int_dal_summersend_belltower
506201,int_poe_archsagedreamworld
507430,int_poe_archsagedreamworld_grounds
508006,dgn_str_forbiddenhall
508755,int_cty_adessa_library
524859,int_dal_gorhart_alchemistshop
526856,dgn_cav_crownofclouds
527154,dgn_cav_crownofcloudsexterior
527567,dgn_tmp_fho_test
530028,out_det_prototype
534455,tmp_na_brandoland
537846,tmp_na_qaunloadtestspace_01
537848,tmp_na_qaunloadtestspace_02
537850,tmp_na_qaunloadtestspace_03
537852,tmp_na_qaunloadtestspace_04
542861,dgn_dvg_yumytheatreoffate
543269,dgn_cav_adessamine
544632,dgn_hol_bristlethorn
544656,dgn_hol_syl
544730,dgn_hol_cranalt
545629,dgn_dvg_damalroc
545663,dgn_dvg_mullrane
546681,out_poe_tran_north_03_to_north_04_a
546796,dgn_cav_brandycove
548120,dgn_cav_skoria
549272,int_gno_interior_warehouse
549319,dgn_hol_rundamir
549780,dgn_wellofsouls_lab
551272,dgn_hol_caertosai
551283,dgn_tmp_fho_piecetest02
551680,out_poe_tran_south_01_to_south_02_a
553133,dgn_str_kandrian
559256,dgn_cav_seasons_tunnel
562955,dgn_cav_huntermine
563128,dgn_cav_coilsbain
563860,int_poe_ayten_inn
566759,dgn_tmp_sho_test
566841,dgn_fca_gastyr
568078,dgn_hol_sinsear
568450,int_cty_ysa_courtofsummer
568509,dgn_dvg_mordustorr
568533,dgn_hol_shadowthorn
568562,dgn_str_corganhold
568706,out_dal_nyralim
569531,int_det_whitestone_inn
569843,dgn_hol_rahnil
576364,dgn_cav_saltwellcaverns
579082,dgn_cav_haxhidam
581457,dgn_hol_gloamthicket
581461,dgn_hol_primorida
587431,dgn_hol_tinehil
587593,dgn_hol_provinghalls
591072,int_det_whitestone_mayorshouse
592487,int_cty_adessa_wylehome
592490,int_cty_adessa_teinirhome
592492,int_poe_emaire_hagnihome
592494,int_cty_adessa_questhouse1
592500,int_cty_adessa_questhouse2
592510,int_det_hollowlands_motusmining
592512,int_cty_adessa_lollyrshome
592515,int_cty_adessa_papyrushouse
592529,int_cty_adessa_longroadstorehouse
592531,int_cty_adessa_jiennehome
592594,int_cty_adessa_domuspolitica
592607,int_cty_adessa_dartansstore
592609,int_cty_adessa_praetoriangarrison
592626,int_cty_adessa_armory
592656,int_cty_adessa_basilicanoscere
592658,int_cty_adessa_forum
592660,int_cty_adessa_hospitalisquarters
593224,cty_adessa_the_isles
595065,dgn_cav_thetenderspath
596464,int_cty_rathir_tavern
597813,int_cty_rathir_barracks
598233,cty_adessa_walls
