id,value
1477,Alars_Haste_enter_distortion_pop_01_emitter_tas
1478,Alars_Haste_enter_distortion_pop_01_particle_tas
1479,Alars_Haste_enter_ring_01_emitter_tas
1480,Alars_Haste_enter_ring_01_particle_tas
1481,Alars_Haste_enter_sparkles_01_emitter_tas
1482,Alars_Haste_enter_sparkles_01_particle_tas
1483,Alars_Haste_pop_rings_01_emitter_tas
1484,Alars_Haste_pop_rings_01_particle_tas
1485,Door_DOK_INT_Hidden_Debris_emitter_tas
1486,Door_DOK_INT_Hidden_Debris_particle_tas
1489,ambient_dust_2_emitter_tas
1490,ambient_dust_2_particle_tas
1493,Door_DOK_INT_Hidden_Dust_emitter_tas
1494,Door_DOK_INT_Hidden_Dust_particle_tas
1495,Ambient_Fog_01_emitter_tas
1496,Ambient_Fog_01_particle_tas
1505,ambi_fog_02_emitter_tas
1506,ambi_fog_02_particle_tas
1507,Ambient_Dust_Motes_01_emitter_tas
1508,Ambient_Dust_Motes_01_particle_tas
1509,Ambient_Dust_Motes_02_emitter_tas
1510,Ambient_Dust_Motes_02_particle_tas
1513,Ambient_Moth_01_emitter_tas
1514,Ambient_Moth_01_particle_tas
1515,Ambient_Dust_Motes_03_emitter_tas
1516,Ambient_Dust_Motes_03_particle_tas
1566,Ancestral_Runes_FX_01_emitter_tas
1567,Ancestral_Runes_FX_01_particle_tas
1584,Bow_Default_Arrow_Trail_tas
1587,Hero-Battle_Frenzy_Start_streak_emitter_tas
1588,Hero-Battle_Frenzy_Start_streak_particle_tas
1589,Hero-Battle_Frenzy_Start_wave_emitter_tas
1590,Hero-Battle_Frenzy_Start_wave_particle_ta
1620,Status-Blood_player_01_mist_emitter_tas
1622,Status-Blood_player_01_splat_emitter_tas
1679,Env-BurningAsh_01_A_emitter_tas
1680,Env-BurningAsh_01_A_particle_tas
1681,CameraThroneRoomPa
1682,camera_aimin
1683,camera_comba
1684,camera_combat_locke
1685,camera_combat_ne
1686,camera_conv_forward_left_hig
1687,camera_gam
1688,camera_game_locke
