id,value
2849,special_barfade
2850,special_deferred
2852,special_edgeblend
2854,special_null
2855,special_null_normal
2859,special_white
2900,achieve_icons
2907,controller_360_sheet
2909,controller_art_360
2911,controller_ps3_sheet
2913,core_helptext_icons
2914,core_tools
2925,help_icons_large
2926,help_icons_small
2932,menu_misc
2934,mp_assets
2935,playback
3026,back_sky_cube
3027,bottom_sky_cube
3028,cldmap2
3030,editor_white
3031,front_sky_cube
3032,fullscreen_mask
3038,left_sky_cube
3039,moon
3044,right_sky_cube
3053,stars
3054,sun
3055,sungradient
3056,sun_glow
3057,top_sky_cube
3058,water512
3059,water_normal_big_01
3060,water_normal_detail_01
3061,water_normal_detail_02
3073,blood_test
3075,fire_3
3077,glow_blur_05
3078,glow_blur_06
3079,laser_sun
3081,reactor_1
3083,sand_smoke_bw
3084,sand_smoke_white
3085,streaks_1
3086,sun_rays
3099,par_distortion_01_d
3106,par_fire_ball_02_d
3141,par_distortion_02_d
3142,par_dust_cloud_01_d
3167,par_distortion_ring_01_d
3168,par_ring_streaks_01_d
3175,par_noise_05_d
3182,trl-sword_flamey
3223,center_screen_shadow
3231,controller
3238,face_button_4way_blackout
3240,face_button_a
3241,face_button_b
3242,face_button_back
3243,face_button_ls
3244,face_button_rs
3245,face_button_start
3246,face_button_x
3247,face_button_y
3248,faction_alerts
3255,inventory_checkmark
3304,loot_entry
3318,master_expander
3321,master_slot
3322,master_slot_hilite
3328,minimap_frame
3329,minimap_generic_grid
3330,minimap_hilite
3331,minimap_icons
3332,minimap_mask
3339,ro_gradient
3340,shadowbar_pieces
3342,spells_01
3350,portal_back
3351,portal_front
3353,catacombs_floor_test_diffuse
3354,catacombs_floor_test_normal
3355,dirt_test_diffuse
3356,dirt_test_normal
3359,jungle_ground_cover_diffuse
3360,jungle_ground_cover_diffuse_03
3361,jungle_ground_cover_dot3
3362,jungle_ground_cover_dot3_03
3363,jungle_moss_rock_diffuse
3364,jungle_moss_rock_dot3
3365,jungle_river_bed_diffuse
3366,jungle_river_bed_dot3
3367,jungle_rock_prefab_dot3
3368,jungle_ruins_base
3369,jungle_ruins_base_dot_3
3370,jungle_ruins_stones
3371,jungle_ruins_stones_dot3
3372,jungle_stonepath
3373,jungle_stonepath_dot3
3374,weathered_ground_02
3455,ghaisu_diffuse
3456,ghaisu_normal
3479,conny_body_diffuse_512
3486,gancha_body_diffuse
3487,gancha_body_normals
3488,gancha_head_diffuse
3489,gancha_head_normals
3503,hat_farmer_diffuse
3504,hat_farmer_normal
3505,hat_robinhood_diffuse
3506,hat_robinhood_normal
3507,hat_soldier_diffuse
3508,hat_soldier_normal
3511,nfemale_arms01_diffuse
3512,nfemale_arms01_normals
3514,klu_flora_grass01_n
3516,nfemale_hair01
3517,nfemale_hair01_normals
3518,nfemale_hair02
3519,nfemale_hair03
3520,for_flora_grass01_n
3521,dlc2_ton_flora_bush01_n
3522,nfemale_head01
3523,nfemale_head01_normals
3525,dlc2_ton_flora_bush01_s
3526,nfemale_legs01
3527,nfemale_legs01_normals
3528,nfemale_legs02
3529,nfemale_legs03
3531,fho_leaf01_n
3532,nfemale_torso01
3533,nfemale_torso01_normals
3534,nfemale_torso02
3535,nfemale_torso03
3536,nchild_arms01_diffuse
3537,nchild_arms01_normal
3538,nchild_arms02_diffuse
3539,nchild_arms02_normal
3540,nchild_hair01_diffuse
3541,nchild_hair01_normal
3542,nchild_hair02_diffuse
3543,nchild_hair02_normal
3544,nchild_head01_diffuse
3545,nchild_head01_normal
3546,nchild_head02_diffuse
3547,nchild_head02_normal
3548,nchild_leg01_diffuse
3549,nchild_leg01_normal
3550,nchild_leg02_diffuse
3551,nchild_leg02_normals
3552,nchild_torso01_diffuse
3553,nchild_torso01_normal
3554,nchild_torso02_diffuse
3555,nchild_torso02_normal
3594,mirror_portal_alpha
3689,tmp_m1_si-throne_room-scaffolding_d
3690,tmp_m1_si-throne_room-scaffolding_n
3711,plasterdebris_d
3712,plasterdebris_n
3713,roadruin01_d
3846,stonehuman_clr
3847,stonehuman_nm
3848,towerdoor_clr
3849,towerdoor_nm
3850,tower_clr
3851,tower_nm
3852,wall2_clr
3853,wall2_nm
3854,wall_clr
3855,wall_nm
3856,butterfly_1
3857,fab_temp
3947,tmp_m1_odv-ruin-brick-uneven_n
3952,tmp_m1_odv-ruins-brick-uneven_d
3958,tmp_m1_odv-stone_wall02_d
3959,tmp_m1_odv-stone_wall02_n
4002,blanknormal
4047,simple_cube_null
4048,special_uninited_cube
4049,spacesky2
4050,water_cube5
15685,alpha_blend_01
16599,magic_select_10way
19962,weapon_select
20233,ledger_quest_log
22657,healthbars
72699,odv-river_base_d
72700,odv-river_base_n
72701,odv-river_detail_n
72702,odv-river_froth_d
73322,par_electric_04_2x2_a
74596,face_buttons_underlay
76219,arial12_0_0
76220,arial12_1_0
76221,arial12_3_0
76225,ms_shell_dlg10_32_0
76374,arial12_3_1
78057,hero_base_hands
78058,hero_base_pants
78112,hero_base_hands_normal
78113,hero_base_pants_normal
78238,hero_pitfighter_gauntlet
