id,value
1621394,debugwin
1621395,ability_bar
1621396,aggressive_mode_win
1621397,alchemy_win
1621398,barber_win
1621399,behavior_debug_win
1621400,blacksmith_win
1621401,book_win
1621402,boss_sync_prompt
1621403,boss_win
1621405,buff_win
1621406,button_mash_win
1621407,button_rose_win
1621408,character_face_gen_win
1621409,character_gen_base_win
1621410,character_gen_win
1621411,cheats_menu
1621412,common_controller_win
1621413,conversation_menu
1621414,crimemockup
1621415,damage_text_win
1621416,danger_stage_win
1621417,danger_win
1621418,destiny_alert_win
1621419,dispel_win
1621420,faction_alert
1621421,fast_travel_win
1621422,fateweaver_win
1621423,forge_win
1621424,game_action_win
1621425,game_clock_win
1621427,game_minimap_win
1621428,game_quest_alert
1621429,game_scene
1621430,gdc_splash_outro
1621431,general_alert_win
1621432,healer_win
1621434,item_information_template
1621435,item_slider_window
1621436,ledger_win
1621437,level_up_reminder_win
1621438,loading_screen
1621439,location_alert
1621440,lockpick_win
1621441,lockpicking_minigame_win
1621442,loot_popup
1621443,loot_summary
1621445,lorestone_travel_win
1621446,magic_select_win
1621447,main_menu
1621448,merchant_win
1621449,message_box_win
1621451,mockups
1621452,narrative_zone_transition
1621454,pause_screen
1621455,pc_profile_select_win
1621457,player_hud_bars
1621458,quest_billboard
1621459,quest_icon_win
1621461,quest_update_summary
1621462,random_top_menu_sprites
1621463,ranged_target_win
1621464,region_transition_win
1621465,repair_win
1621466,resurrection_alert
1621467,ribbon_win
1621468,sagecraft_win
1621469,save_restore_win
1621470,score_win
1621471,sign_win
1621472,spell_cast_win
1621474,spellbinder_win
1621475,splash_win
1621476,stash_win
1621477,target_win
1621478,timer_win
1621479,trainer_win
1621480,tutorial_win
1621481,universal_information_window
1621482,usable_item_radial
1621483,vs_bink_window
1621485,worldmap_win
1621486,xp_notification_win
1621488,scenewin
1621489,warnwin
1621521,trackeddatawin
1621522,soundcategorymixerwin
1621844,abilities_stylesheet
1621845,alchemy_stylesheet
1621846,hud_stylesheet
1621848,lore_stylesheet
1621849,mercury
1621850,pause_menu_stylesheet
1621851,skills_stylesheet
1621852,default
1621882,core_tools
1621956,icon_texs
1622193,interface
1622194,debuggraphmgrwin
1622195,console_expanded
1622197,logwin
1622207,achievement_win
1650829,options_win
1653751,inventory_win
1656817,hov_arena_win
1659343,abilities_win
1659407,logmanager
1660103,logmodifier
1660828,lore_win
1660829,skills_win
1660831,destinies_win
1661668,twists_win
1661673,quests_win
1665935,tooltip_win
1682184,twist_alert_win
1685971,dispel_win_2
1691516,hov_arena_hud_win
1711506,pc_active_weapon_win
1713109,dispel_splash
1714937,lockpicking_splash
1717195,effects_win
1749152,ledger_achievements_win
1755572,subtitle_win
1755730,moves_win
1770065,stats_win
1824674,cinematic_paused_win
1829361,dlc_win
1850858,manual_win
1889002,credits_win
1896614,cty_adessa
1896615,cty_bhaile
1896616,cty_mel_senshir
1896617,cty_mel_senshir_siege
1896618,cty_rathir
1896619,cty_ysa
1896620,dgn_detyre_cave
1896621,dgn_erathi_ruin
1896622,dgn_fae_castle
1896623,dgn_natural_cave
1896624,dgn_prismere_cave
1896625,dgn_stronghold
1896626,dgn_well_allestar
1896627,dgn_well_dannestar
1896628,int_court_of_summer
1896629,int_dokkalfar
1896630,int_fae
1896631,int_generic
1896632,int_gnome
1896633,int_rathir_sa_chapterhouse
1896634,int_warsworn_stronghold
1896635,misc_game_intro
1896636,misc_generic
1896637,out_alabastra
1896638,out_dalentarth
1896639,out_detyre
1896640,out_erathell
1896641,out_esharra
1896642,out_house_of_ballads
1896643,out_house_of_valor
1896644,out_klurikon
1896645,out_traveler_dalentarth
1896646,out_traveler_detyre
1896647,out_traveler_erathell
1900646,save_restore_animation_win
1903506,account_win
1909272,dgn_fae_hollow
1927389,tos_win
1927981,cutscene_title_win
1932160,stall_win
1933218,loading_screen_no_script
1936762,ui_layers_win
1953603,alert_stylesheet
1953673,title_bar_stylesheet
1953804,frames_stylesheet
1953870,selectable_buttons_stylesheet
2006410,world_map_art_de
2006413,world_map_art_en
2006417,world_map_art_es
2006421,world_map_art_fr
2006423,world_map_art_it
2031173,name_win
2044671,controller_disconnect_win
2049985,dlc1_worldmap_overlay_de
2049986,dlc1_worldmap_overlay_en
2049987,dlc1_worldmap_overlay_es
2049988,dlc1_worldmap_overlay_fr
2049989,dlc1_worldmap_overlay_it
2049990,dlc2_worldmap_overlay_de
2049991,dlc2_worldmap_overlay_en
2049992,dlc2_worldmap_overlay_es
2049993,dlc2_worldmap_overlay_fr
2049994,dlc2_worldmap_overlay_it
2113793,int_caves_dlc1
2113794,int_keep_dlc1
2113795,out_dark_harbor_dlc1
2113796,out_gallows_dlc1
2113797,out_keep_court_dlc1
2113798,out_keep_dlc1
2113799,int_fasting_dlc1
2115090,int_hyperion_dlc2
2115091,int_sewers_basic_dlc2
2115092,int_sewers_idylla_dlc2
2115093,int_southern_passage_dlc2
2115094,out_andronikos_dlc2
2115095,out_idylla_dlc2
2115096,out_lykeios_dlc2
2115097,out_teeth_dlc2
2138271,dlc1_worldmap_overlay_jp
2138272,dlc2_worldmap_overlay_jp
2138273,world_map_art_jp
