id,value
618932,voicetype_humanmale_wise
620624,voicetype_humanmale_default01
620625,voicetype_humanmale_default02
620651,voicetype_humanmale_brute
620652,voicetype_humanmale_arrogant
620653,voicetype_humanmale_sly
620658,voicetype_humanfemale_sly
620659,voicetype_humanfemale_wise
620660,voicetype_humanfemale_brute
620661,voicetype_humanfemale_default02
620662,voicetype_humanfemale_default01
620663,voicetype_humanfemale_arrogant
620709,voicetype_alfarmale_wise
620710,voicetype_alfarmale_sly
620711,voicetype_gnomemale_default01
620712,voicetype_alfarmale_default02
620713,voicetype_alfarmale_default01
620714,voicetype_alfarmale_arrogant
620715,voicetype_alfarfemale_wise
620716,voicetype_alfarfemale_sly
620717,voicetype_gnomefemale_default01
620718,voicetype_alfarfemale_default02
620719,voicetype_alfarfemale_default01
620720,voicetype_alfarfemale_arrogant
620903,voicetype_faemale_default01
620904,voicetype_faemale_default02
620910,voicetype_faemale_wise
620911,voicetype_faefemale_wise
620912,voicetype_faefemale_default02
620913,voicetype_faefemale_default01
621107,voicetype_tuathamale_brute
621108,voicetype_tuathamale_assassin
621109,voicetype_tuathafemale_cruel
621114,voicetype_gnomemale_wise
621115,voicetype_gnomemale_stern
621116,voicetype_gnomefemale_stern
621117,voicetype_gnomefemale_wise
621118,voicetype_unique_alynshir
621119,voicetype_unique_fomorushugues
621120,voicetype_unique_gadflow
691106,voicetype_unique_agarth
720339,voicetype_unique_nyralim
728439,voicetype_unique_titarion
733154,voicetype_unique_ventrinio
1230619,voicetype_unique_ciarasydanus
1230620,voicetype_unique_jubalcaledus
1294824,voicetype_unique_tirnoch
1357564,voicetype_unique_tinedelfric
1360824,voicetype_unique_ostordura
1366904,voicetype_faemale_default03
1366905,voicetype_faefemale_default03
1371700,voicetype_alfarfemale_default03
1371701,voicetype_alfarmale_default03
1371702,voicetype_humanfemale_default03
1371704,voicetype_humanmale_default03
1388891,voicetype_unique_gwynanwy
1415569,voicetype_unique_grimonwig
1423247,voicetype_unique_hallamthewhite
1423319,voicetype_unique_maidofwindemere
1423321,voicetype_unique_kingwencen
1499781,voicetype_unique_bisarane
1499785,voicetype_unique_taibreah
1699521,voicetype_alfarfemale_default04
1699522,voicetype_alfarfemale_noble
1699524,voicetype_alfarfemale_common
1699532,voicetype_alfarmale_default04
1699533,voicetype_alfarmale_noble
1699534,voicetype_alfarmale_common
1699698,voicetype_faemale_stern
1699700,voicetype_faefemale_stern
1699702,voicetype_tuathamale_leader
1699705,voicetype_tuathafemale_brute
1699708,voicetype_gnomefemale_default02
1699709,voicetype_gnomefemale_crafty
1699710,voicetype_gnomemale_default02
1699711,voicetype_gnomemale_crafty
1699712,voicetype_humanfemale_default04
1699715,voicetype_humanfemale_common
1699717,voicetype_humanfemale_noble
1699718,voicetype_humanmale_default04
1699719,voicetype_humanmale_common
1699720,voicetype_humanmale_noble
1699732,voicetype_unique_generaltilera
1699733,voicetype_unique_cydan
1699734,voicetype_unique_malwyn
1699741,voicetype_unique_grimshaw
1699746,voicetype_unique_templaroctienne
1826083,voicetype_villainmale_fighter
1826086,voicetype_villainmale_rogue
1826087,voicetype_villainmale_mage
1826088,voicetype_villainfemale_fighter
1826089,voicetype_prisonermale
1826090,voicetype_prisonerfemale
1826093,voicetype_alfarfemale_arrogant_c
1826094,voicetype_alfarfemale_arrogant_b
1826095,voicetype_alfarfemale_common_c
1826096,voicetype_alfarfemale_common_b
1826097,voicetype_alfarfemale_default01_b
1826099,voicetype_alfarfemale_default01_c
1826100,voicetype_alfarfemale_default02_b
1826101,voicetype_alfarfemale_default02_c
1826102,voicetype_alfarfemale_default03_b
1826103,voicetype_alfarfemale_default03_c
1826104,voicetype_alfarfemale_default04_b
1826105,voicetype_alfarfemale_default04_c
1826106,voicetype_alfarfemale_noble_b
1826107,voicetype_alfarfemale_noble_c
1826108,voicetype_alfarfemale_sly_b
1826109,voicetype_alfarfemale_sly_c
1826110,voicetype_alfarfemale_wise_b
1826111,voicetype_alfarfemale_wise_c
1826382,voicetype_alfarmale_arrogant_b
1826383,voicetype_alfarmale_arrogant_c
1826388,voicetype_alfarmale_common_b
1826389,voicetype_alfarmale_common_c
1826390,voicetype_alfarmale_default01_b
1826392,voicetype_alfarmale_default01_c
1826395,voicetype_alfarmale_default02_b
1826396,voicetype_alfarmale_default02_c
1826397,voicetype_alfarmale_default03_b
1826398,voicetype_alfarmale_default03_c
1826419,voicetype_alfarmale_default04_b
1826421,voicetype_alfarmale_default04_c
1826425,voicetype_alfarmale_noble_b
1826429,voicetype_alfarmale_noble_c
1826432,voicetype_alfarmale_sly_b
1826433,voicetype_alfarmale_sly_c
1826434,voicetype_alfarmale_wise_b
1826435,voicetype_alfarmale_wise_c
1826436,voicetype_faefemale_default01_b
1826437,voicetype_faefemale_default01_c
1826438,voicetype_faefemale_default02_b
1826439,voicetype_faefemale_default02_c
1826440,voicetype_faefemale_default03_b
1826441,voicetype_faefemale_default03_c
1826442,voicetype_faefemale_stern_b
1826443,voicetype_faefemale_stern_c
1826444,voicetype_faefemale_wise_b
1826446,voicetype_faefemale_wise_c
1826452,voicetype_gnomefemale_crafty_b
1826454,voicetype_gnomefemale_crafty_c
1826457,voicetype_gnomefemale_default01_b
1826459,voicetype_gnomefemale_default01_c
1826460,voicetype_gnomefemale_default02_b
1826461,voicetype_gnomefemale_default02_c
1826462,voicetype_gnomefemale_stern_b
1826465,voicetype_gnomefemale_stern_c
1826467,voicetype_gnomefemale_wise_b
1826470,voicetype_gnomefemale_wise_c
1826471,voicetype_faemale_default01_c
1826472,voicetype_faemale_default01_b
1826473,voicetype_faemale_default02_b
1826475,voicetype_faemale_default02_c
1826481,voicetype_faemale_stern_b
1826496,voicetype_faemale_stern_c
1826504,voicetype_faemale_wise_b
1826508,voicetype_faemale_wise_c
1826549,voicetype_faemale_default03_b
1826550,voicetype_faemale_default03_c
1826607,voicetype_villainfemale_rogue
1826608,voicetype_villainfemale_mage
1826609,voicetype_gnomemale_crafty_b
1826610,voicetype_gnomemale_crafty_c
1826612,voicetype_gnomemale_default01_b
1826615,voicetype_gnomemale_default01_c
1826616,voicetype_gnomemale_default02_b
1826617,voicetype_gnomemale_default02_c
1826618,voicetype_gnomemale_stern_b
1826659,voicetype_gnomemale_stern_c
1826660,voicetype_gnomemale_wise_b
1826663,voicetype_gnomemale_wise_c
1826667,voicetype_humanfemale_arrogant_b
1826668,voicetype_humanfemale_arrogant_c
1826696,voicetype_humanfemale_brute_b
1826698,voicetype_humanfemale_brute_c
1826701,voicetype_humanfemale_common_b
1826702,voicetype_humanfemale_common_c
1826703,voicetype_humanfemale_default01_b
1826704,voicetype_humanfemale_default01_c
1826705,voicetype_humanfemale_default02_b
1826706,voicetype_humanfemale_default02_c
1826707,voicetype_humanfemale_default03_b
1826713,voicetype_humanfemale_default04_b
1826714,voicetype_humanfemale_default04_c
1826717,voicetype_humanfemale_noble_b
1826718,voicetype_humanfemale_noble_c
1826719,voicetype_humanfemale_sly_b
1826720,voicetype_humanfemale_sly_c
1826721,voicetype_humanfemale_wise_b
1826722,voicetype_humanfemale_wise_c
1826739,voicetype_humanmale_arrogant_b
1826742,voicetype_humanmale_arrogant_c
1826743,voicetype_humanmale_brute_b
1826745,voicetype_humanmale_brute_c
1826746,voicetype_humanmale_common_b
1826747,voicetype_humanmale_common_c
1826750,voicetype_humanmale_default01_b
1826753,voicetype_humanmale_default01_c
1826756,voicetype_humanmale_default02_b
1826758,voicetype_humanmale_default02_c
1826759,voicetype_humanmale_default03_b
1826775,voicetype_humanmale_default04_b
1826776,voicetype_humanmale_default04_c
1826777,voicetype_humanmale_noble_b
1826778,voicetype_humanmale_default03_c
1826779,voicetype_humanmale_noble_c
1826780,voicetype_humanmale_sly_b
1826781,voicetype_humanmale_sly_c
1826782,voicetype_humanmale_wise_b
1826783,voicetype_humanmale_wise_c
1829346,voicetype_guardmale
1829348,voicetype_guardfemale
1829349,voicetype_guardfaemale
1829355,voicetype_guardfaefemale
1839236,voicetype_guardgnomefemale
1839237,voicetype_guardgnomemale
1884883,voicetype_creature_ettin
1901390,voicetype_unique_encel
1901391,voicetype_unique_guran
1902455,tech_only_lorestones
1936832,dlc2_voicetype_unique_anokatos
1936833,dlc2_voicetype_unique_secandra
1936835,dlc2_kollossaemale_guard
1936837,dlc2_voicetype_unique_ethene
1936838,dlc2_kollossaefemale_guard
1936839,dlc2_kollossaefemale_villain
1936840,dlc2_kollossaemale_villain
1936841,dlc2_kollossaemale_default_01
1936842,dlc2_kollossaemale_default_02
1936843,dlc2_kollossaemale_default_03
1936844,dlc2_kollossaefemale_default_01
1936845,dlc2_kollossaefemale_default_02
1936846,dlc2_kollossaefemale_default_03
1936847,dlc2_kollossaemale_haughty
1936848,dlc2_kollossaefemale_haughty
1936849,dlc2_kollossaemale_pious
1936852,dlc2_kollossaefemale_pious
1936853,dlc2_kollossaemale_doubting
1936854,dlc2_kollossaefemale_doubting
1937103,dlc2_voicetype_unique_helyccrosse
1937406,dlc2_voicetype_alfarmale_mercenary
1937407,dlc2_voicetype_varanifem_mercnry
1960532,tech_only_cinematics
1964932,dlc1_voicetype_unique_akara
1964933,dlc1_voicetype_unique_deadkel
1964934,dlc1_voicetype_unique_brattigan
1964936,dlc1_voicetype_unique_aldermalloi
1964938,dlc1_voicetype_unique_quay
1993094,dlc1_voicetype_castawaymale_01
1993095,dlc1_voicetype_castawaymale_02
1993096,dlc1_voicetype_castawayfemale_01
1993097,dlc1_voicetype_castawayfemale_02
1993098,dlc1_voicetype_castawaymale_devout
1993099,dlc1_voicetype_castawayfemale_devout
1993103,dlc1_voicetype_castawaymale_gruff
1993104,dlc1_voicetype_castawayfemale_gruff
