id,value
618932,VoiceType_HumanMale_Wis
620624,VoiceType_HumanMale_Default0
620625,VoiceType_HumanMale_Default0
620651,VoiceType_HumanMale_Brut
620652,VoiceType_HumanMale_Arrogan
620653,VoiceType_HumanMale_Sl
620658,VoiceType_HumanFemale_Sl
620659,VoiceType_HumanFemale_Wis
620660,VoiceType_HumanFemale_Brut
620661,VoiceType_HumanFemale_Default0
620662,VoiceType_HumanFemale_Default0
620663,VoiceType_HumanFemale_Arrogan
620709,VoiceType_AlfarMale_Wis
620710,VoiceType_AlfarMale_Sl
620711,VoiceType_GnomeMale_Default0
620712,VoiceType_AlfarMale_Default0
620713,VoiceType_AlfarMale_Default0
620714,VoiceType_AlfarMale_Arrogan
620715,VoiceType_AlfarFemale_Wis
620716,VoiceType_AlfarFemale_Sl
620717,VoiceType_GnomeFemale_Default0
620718,VoiceType_AlfarFemale_Default0
620719,VoiceType_AlfarFemale_Default0
620720,VoiceType_AlfarFemale_Arrogan
620903,VoiceType_FaeMale_Default0
620904,VoiceType_FaeMale_Default0
620910,VoiceType_FaeMale_Wis
620911,VoiceType_FaeFemale_Wis
620912,VoiceType_FaeFemale_Default0
620913,VoiceType_FaeFemale_Default0
621107,VoiceType_TuathaMale_Brut
621108,VoiceType_TuathaMale_Assassi
621109,VoiceType_TuathaFemale_Crue
621114,VoiceType_GnomeMale_Wis
621115,VoiceType_GnomeMale_Ster
621116,VoiceType_GnomeFemale_Ster
621117,VoiceType_GnomeFemale_Wis
621118,VoiceType_Unique_AlynShi
621119,VoiceType_Unique_FomorusHugue
621120,VoiceType_Unique_Gadflo
691106,VoiceType_Unique_Agart
720339,VoiceType_Unique_Nyrali
728439,VoiceType_Unique_Titario
733154,VoiceType_Unique_Ventrini
1230619,VoiceType_Unique_CiaraSydanu
1230620,VoiceType_Unique_JubalCaledu
1294824,VoiceType_Unique_Tirnoc
1357564,VoiceType_Unique_TineDelfri
1360824,VoiceType_Unique_OstOrdur
1366904,VoiceType_FaeMale_Default0
1366905,VoiceType_FaeFemale_Default0
1371700,VoiceType_AlfarFemale_Default0
1371701,VoiceType_AlfarMale_Default0
1371702,VoiceType_HumanFemale_Default0
1371704,VoiceType_HumanMale_Default0
1388891,VoiceType_Unique_GwynAnw
1415569,VoiceType_Unique_GrimOnwi
1423247,VoiceType_Unique_HallamtheWhit
1423319,VoiceType_Unique_MaidofWindemer
1423321,VoiceType_Unique_KingWence
1499781,VoiceType_Unique_Bisaran
1499785,VoiceType_Unique_Taibrea
1699521,VoiceType_AlfarFemale_Default0
1699522,VoiceType_AlfarFemale_Nobl
1699524,VoiceType_AlfarFemale_Commo
1699532,VoiceType_AlfarMale_Default0
1699533,VoiceType_AlfarMale_Nobl
1699534,VoiceType_AlfarMale_Commo
1699698,VoiceType_FaeMale_Ster
1699700,VoiceType_FaeFemale_Ster
1699702,VoiceType_TuathaMale_Leade
1699705,VoiceType_TuathaFemale_Brut
1699708,VoiceType_GnomeFemale_Default0
1699709,VoiceType_GnomeFemale_Craft
1699710,VoiceType_GnomeMale_Default0
1699711,VoiceType_GnomeMale_Craft
1699712,VoiceType_HumanFemale_Default0
1699715,VoiceType_HumanFemale_Commo
1699717,VoiceType_HumanFemale_Nobl
1699718,VoiceType_HumanMale_Default0
1699719,VoiceType_HumanMale_Commo
1699720,VoiceType_HumanMale_Nobl
1699732,VoiceType_Unique_GeneralTiler
1699733,VoiceType_Unique_Cyda
1699734,VoiceType_Unique_Malwy
1699741,VoiceType_Unique_Grimsha
1699746,VoiceType_Unique_TemplarOctienn
1826083,VoiceType_VillainMale_Fighte
1826086,VoiceType_VillainMale_Rogu
1826087,VoiceType_VillainMale_Mag
1826088,VoiceType_VillainFemale_Fighte
1826089,VoiceType_PrisonerMal
1826090,VoiceType_PrisonerFemal
1826093,VoiceType_AlfarFemale_Arrogant_
1826094,VoiceType_AlfarFemale_Arrogant_
1826095,VoiceType_AlfarFemale_Common_
1826096,VoiceType_AlfarFemale_Common_
1826097,VoiceType_AlfarFemale_Default01_
1826099,VoiceType_AlfarFemale_Default01_
1826100,VoiceType_AlfarFemale_Default02_
1826101,VoiceType_AlfarFemale_Default02_
1826102,VoiceType_AlfarFemale_Default03_
1826103,VoiceType_AlfarFemale_Default03_
1826104,VoiceType_AlfarFemale_Default04_
1826105,VoiceType_AlfarFemale_Default04_
1826106,VoiceType_AlfarFemale_Noble_
1826107,VoiceType_AlfarFemale_Noble_
1826108,VoiceType_AlfarFemale_Sly_
1826109,VoiceType_AlfarFemale_Sly_
1826110,VoiceType_AlfarFemale_Wise_
1826111,VoiceType_AlfarFemale_Wise_
1826382,VoiceType_AlfarMale_Arrogant_
1826383,VoiceType_AlfarMale_Arrogant_
1826388,VoiceType_AlfarMale_Common_
1826389,VoiceType_AlfarMale_Common_
1826390,VoiceType_AlfarMale_Default01_
1826392,VoiceType_AlfarMale_Default01_
1826395,VoiceType_AlfarMale_Default02_
1826396,VoiceType_AlfarMale_Default02_
